region,parameter,x_mm,radius_mm
HEAD,0.0,0.0,0.0
HEAD,0.002,2.1258465203783268e-07,0.000966131251691361
HEAD,0.004,9.004147852106442e-07,0.0019316651316523506
HEAD,0.006,2.138015385193332e-06,0.002896668612050228
HEAD,0.008,3.9991278467406236e-06,0.0038612077148145185
HEAD,0.01,6.556712618227e-06,0.004825347515778355
HEAD,0.012,9.882951846186608e-06,0.005789152148819812
HEAD,0.014,1.404925201985318e-05,0.006752684810003248
HEAD,0.016,1.9126246615699948e-05,0.007716007761720642
HEAD,0.018,2.5183798741979553e-05,0.008679182336832934
HEAD,0.02,3.2291003783264e-05,0.00964226894281136
HEAD,0.022,4.05161920449845e-05,0.01060532706587879
HEAD,0.024,4.992693139797148e-05,0.011568415275151076
HEAD,0.026,6.0590029922994395e-05,0.012531591226778377
HEAD,0.028,7.257153855530179e-05,0.013494911668086506
HEAD,0.03,8.593675372916099e-05,0.014458432441718263
HEAD,0.032,0.00010075022002239831,0.015422208489774783
HEAD,0.034,0.00011707573280093874,0.016386293857956855
HEAD,0.036,0.00013497634086334585,0.017350741699706296
HEAD,0.038,0.00015451434908536206,0.018315604280347238
HEAD,0.04,0.000175751321064448,0.019280932981227517
HEAD,0.042,0.00019874808176432285,0.020246778303859986
HEAD,0.044,0.00022356472015950412,0.021213189874063842
HEAD,0.046,0.0002502605918798476,0.022180216446106002
HEAD,0.048,0.00027889432185508725,0.02314790590684241
HEAD,0.05,0.00030952380695937505,0.024116305279859376
HEAD,0.052,0.00034220621865582084,0.025085460729614917
HEAD,0.054,0.00037699800564103286,0.026055417565580136
HEAD,0.056,0.0004139548964896568,0.02702622024638049
HEAD,0.058,0.00045313190229891615,0.027997912383937184
HEAD,0.06,0.0004945833193331518,0.028970536747608477
HEAD,0.062,0.0005383627316683632,0.029944135268331035
HEAD,0.064,0.0005845230138367463,0.030918749042761276
HEAD,0.066,0.0006331163334712346,0.03189441833741669
HEAD,0.068,0.0006841941539500395,0.03287118259281721
HEAD,0.07,0.0007378072370411891,0.03384908042762648
HEAD,0.072,0.0007940056455470688,0.034828149642793294
HEAD,0.074,0.0008528387459489613,0.03580842722569285
HEAD,0.076,0.0009143552110515864,0.036789949354268124
HEAD,0.078,0.00097860302262764,0.03777275140117121
HEAD,0.08,0.0010456294740623364,0.03875686793790465
HEAD,0.082,0.0011154811729979443,0.03974233273896278
HEAD,0.084,0.0011882040439783318,0.04072917878597305
HEAD,0.086,0.0012638433310935007,0.041717438271837395
HEAD,0.088,0.001342443600624133,0.04270714260487356
HEAD,0.09,0.001424048743686123,0.043698322412956396
HEAD,0.092,0.0015087019788751243,0.04469100754765927
HEAD,0.094,0.0015964458549110859,0.04568522708839535
HEAD,0.096,0.001687322253282792,0.04668100934655897
HEAD,0.098,0.0017813723908924046,0.047678381869666976
HEAD,0.1,0.0018786368227000005,0.04867737144550001
HEAD,0.102,0.001979155444368112,0.049678004106243914
HEAD,0.104,0.0020829674949062694,0.05068030513263105
HEAD,0.106,0.0021901115593155364,0.05168429905808161
HEAD,0.108,0.0023006255712330536,0.052690009672845
