region,parameter,x_mm,radius_mm
HEAD,0.0,0.0,0.0
HEAD,0.0005,1.2697020060583822e-08,0.00024159251490644956
HEAD,0.001,5.1575133813682265e-08,0.00048314452030433165
HEAD,0.0015,1.1781261276874352e-07,0.0007246570794069211
HEAD,0.002,2.1258465203783268e-07,0.000966131251691361
HEAD,0.0025,3.370633729181905e-07,0.0012075680929027066
HEAD,0.003,4.924178254747917e-07,0.0014489686550579702
HEAD,0.0035,6.798139911229037e-07,0.0016903339864501657
HEAD,0.004,9.004147852106442e-07,0.0019316651316523506
HEAD,0.0045,1.1553800596015426e-06,0.0021729631315216746
HEAD,0.005,1.445866605257094e-06,0.0024142290232034174
HEAD,0.0055,1.7730281548193209e-06,0.0026554638401350412
HEAD,0.006,2.138015385193332e-06,0.002896668612050228
HEAD,0.0065,2.5419759201298775e-06,0.0031378443649829274
HEAD,0.007,2.9860543328079123e-06,0.0033789921212713987
HEAD,0.0075,3.47139214841715e-06,0.0036201128995622584
HEAD,0.008,3.9991278467406236e-06,0.0038612077148145185
HEAD,0.0085,4.570396864737247e-06,0.004102277578303643
HEAD,0.009,5.18633159912436e-06,0.004343323497625574
HEAD,0.0095,5.848061408960315e-06,0.004584346476700794
HEAD,0.01,6.556712618227e-06,0.004825347515778355
HEAD,0.0105,7.313408518412426e-06,0.005066327611439938
HEAD,0.011,8.119269371093265e-06,0.00530728775660388
HEAD,0.0115,8.97541241051743e-06,0.005548228940529238
HEAD,0.012,9.882951846186608e-06,0.005789152148819812
HEAD,0.0125,1.0842998865438845e-05,0.006030058363428209
HEAD,0.013,1.1856661636031075e-05,0.0062709485626598685
HEAD,0.0135,1.2925045308721714e-05,0.00651182372117713
HEAD,0.014,1.404925201985318e-05,0.006752684810003248
HEAD,0.0145,1.5230380893934492e-05,0.006993532796526469
HEAD,0.015,1.6469528046223776e-05,0.007234368644504038
HEAD,0.0155,1.7767786585310905e-05,0.007475193314066289
HEAD,0.016,1.9126246615699948e-05,0.007716007761720642
HEAD,0.0165,2.0545995240391836e-05,0.007956812940355685
HEAD,0.017,2.202811656346684e-05,0.008197609799245185
HEAD,0.0175,2.3573691692667186e-05,0.00843839928405217
HEAD,0.018,2.5183798741979553e-05,0.008679182336832934
HEAD,0.0185,2.6859512834217737e-05,0.00891995989604112
HEAD,0.019,2.8601906103605063e-05,0.009160732896531722
HEAD,0.0195,3.0412047698357074e-05,0.009401502269565178
HEAD,0.02,3.2291003783264e-05,0.00964226894281136
HEAD,0.0205,3.42398375422734e-05,0.00988303384035367
HEAD,0.021,3.62596091810726e-05,0.010123797882693046
HEAD,0.0215,3.8351375929671384e-05,0.010364561986752029
HEAD,0.022,4.05161920449845e-05,0.01060532706587879
HEAD,0.0225,4.2755108813414184e-05,0.0108460940298512
HEAD,0.023,4.5069174553432735e-05,0.011086863784880841
HEAD,0.0235,4.7459434618165134e-05,0.011327637233617077
HEAD,0.024,4.992693139797148e-05,0.011568415275151076
HEAD,0.0245,5.24727043230297e-05,0.011809198805019894
HEAD,0.025,5.509778986591798e-05,0.012049988715210447
HEAD,0.0255,5.780322154419737e-05,0.012290785894163653
HEAD,0.026,6.0590029922994395e-05,0.012531591226778377
HEAD,0.0265,6.345924261758352e-05,0.012772405594415557
HEAD,0.027,6.641188429596975e-05,0.013013229874902188
HEAD,0.0275,6.944897668147128e-05,0.013254064942535409
HEAD,0.028,7.257153855530179e-05,0.013494911668086506
HEAD,0.0285,7.578058575915332e-05,0.013735770918805016
HEAD,0.029,7.907713119777864e-05,0.013976643558422699
HEAD,0.0295,8.246218484157386e-05,0.014217530447157642
HEAD,0.03,8.593675372916099e-05,0.014458432441718263
HEAD,0.0305,8.95018419699705e-05,0.014699350395307396
HEAD,0.031,9.315845074682386e-05,0.014940285157626278
HEAD,0.0315,9.69075783185161e-05,0.015181237574878655
HEAD,0.032,0.00010075022002239831,0.015422208489774783
HEAD,0.0325,0.00010468736827696048,0.015663198741535496
HEAD,0.033,0.00010872001258441359,0.015904209165896226
HEAD,0.0335,0.0001128491395332726,0.016145240595111084
HEAD,0.034,0.00011707573280093874,0.016386293857956855
HEAD,0.0345,0.00012140077315628224,0.01662736977973711
HEAD,0.035,0.00012582523846222467,0.01686846918228617
HEAD,0.0355,0.0001303501036783218,0.017109592883973214
HEAD,0.036,0.00013497634086334585,0.017350741699706296
HEAD,0.0365,0.00013970491917786844,0.017591916440936384
HEAD,0.037,0.0001445368048868425,0.01783311791566142
HEAD,0.0375,0.00014947296136218565,0.01807434692843038
HEAD,0.038,0.00015451434908536206,0.018315604280347238
HEAD,0.0385,0.0001596619256499654,0.018556890769075133
HEAD,0.039,0.00016491664576430125,0.018798207188840305
HEAD,0.0395,0.00017027946125396974,0.019039554330436213
HEAD,0.04,0.000175751321064448,0.019280932981227517
HEAD,0.0405,0.00018133317126367286,0.019522343925154187
HEAD,0.041,0.00018702595504462325,0.019763787942735485
HEAD,0.0415,0.00019283061272790298,0.020005265811074074
HEAD,0.042,0.00019874808176432285,0.020246778303859986
HEAD,0.0425,0.000204779296737484,0.02048832619137474
HEAD,0.043,0.00021092518936635936,0.02072991024049533
HEAD,0.0435,0.00021718668850787752,0.020971531214698327
HEAD,0.044,0.00022356472015950412,0.021213189874063842
HEAD,0.0445,0.0002300602074618251,0.02145488697527967
HEAD,0.045,0.00023667407070112882,0.021696623271645225
HEAD,0.0455,0.0002434072273119892,0.021938399513075708
HEAD,0.046,0.0002502605918798476,0.022180216446106002
HEAD,0.0465,0.000257235076143596,0.022422074813894893
HEAD,0.047,0.00026433158899815887,0.02266397535622893
HEAD,0.0475,0.00027155103649707666,0.022905918809526638
HEAD,0.048,0.00027889432185508725,0.02314790590684241
HEAD,0.0485,0.0002863623454507095,0.023389937377870693
HEAD,0.049,0.00029395600482882517,0.02363201394894991
HEAD,0.0495,0.0003016761947032617,0.023874136343066597
HEAD,0.05,0.00030952380695937505,0.024116305279859376
