time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,center_x_mm,center_y_mm,center_z_mm,head_x_mm,head_y_mm,head_z_mm,tail_x_mm,tail_y_mm,tail_z_mm,B_x_T,B_y_T,B_z_T,axis_x,axis_y,axis_z,tangent_x,tangent_y,tangent_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,directed_tilt_deg,robot_phase_deg,delta_s_mm,Vt_mm_s,contact_state
0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666580412714,-3.533553463685733,-9.833964583199306,-6.41276858236309,-3.806964209277926,-9.293836599804548,-0.0019882955673857,-0.0053173734554316,0.0082323884913301,0.9647382600215763,-0.11887423721399708,0.2348382536498942,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36237457089361,0.0,0.0,0.0,NONE
9.999949725170154e-06,0.0002999984917551046,-7.468174204281857,-3.6769180159621104,-9.550745259306462,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.63166657831854,-3.5335534594833744,-9.83396458967729,-6.412768584258631,-3.8069642130805663,-9.2938365939445,-0.0019830537836358015,-0.0053115253329653,0.00823742645306926,0.9647382582869176,-0.1188742406944313,0.2348382590142568,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362374911432768,-7.259052338928735e-07,1.5329959524024162e-12,6.122436042455684e-07,NONE
1.9999899450340308e-05,0.0005999969835102092,-7.46817420424984,-3.67691801588915,-9.550745259432903,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666547037202,-3.533553396763128,-9.83396468646712,-6.412768612572919,-3.80696426983505,-9.293836506387441,-0.0019777695458584816,-0.005305604798993286,0.008242510705415974,0.9647382323757754,-0.11887429263996618,0.23483833916507765,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362379996710393,-1.1579043355803614e-05,2.440714297335944e-11,4.870767793517842e-06,NONE
2.9999850085005164e-05,0.0008999955025501549,-7.4681742041117545,-3.676918015574819,-9.5507452599784,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666412124101,-3.5335531265042137,-9.833965104035787,-6.412768734689445,-3.806964514387842,-9.293836128650614,-0.0019724959265376113,-0.005299670809619352,0.00824759029553664,0.9647381206237637,-0.11887451647114253,0.2348386849500748,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36240192198276,-5.8435382072290024e-05,1.2301448748530674e-10,1.6347716735904186e-05,NONE
3.9999798900680616e-05,0.0011999939670204185,-7.468174203741811,-3.676918014733631,-9.550745261440326,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666050675095,-3.533552403130665,-9.833966223095796,-6.412769061854845,-3.8069651689568063,-9.293835116337698,-0.001967232945843205,-0.0052937233875403455,0.008252665204003,0.9647378212261957,-0.11887511557658309,0.23483961163395517,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362460643113323,-0.0001841010273193832,3.870663789484752e-10,3.853468624529886e-05,NONE
4.9999751354334876e-05,0.0014999925406300463,-7.468174202965651,-3.6769180129707646,-9.550745264508546,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631665292327597,-3.533550886895516,-9.833968571684775,-6.412769748272743,-3.8069665409739444,-9.293832991780636,-0.0019619806195969505,-0.005287762550636039,0.0082577354155586,0.964737193067328,-0.1188763713384471,0.23484155648005994,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362583802974722,-0.0004480337842746648,9.407816747852848e-10,7.48433517432317e-05,NONE
5.999970017001033e-05,0.0017999910051003098,-7.468174201561363,-3.676918009784906,-9.5507452700616,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631663920257537,-3.5335481462568037,-9.833972822237927,-6.4127709902013645,-3.8069690209355396,-9.293829146687944,-0.0019567389702796695,-0.00528178832441194,0.008262800908503976,0.9647360565461623,-0.11887864116466773,0.23484507632607932,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362806558244042,-0.0009260594703650643,1.942108696084688e-09,0.0001286064770327418,NONE
6.999965262366459e-05,0.0020999895787099376,-7.468174199260494,-3.676918004571079,-9.550745279162898,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.63166167216917,-3.533543660244896,-9.833979788651385,-6.412773025057593,-3.806973080260151,-9.29382284480129,-0.001951508012691788,-0.005275800725746192,0.008267861668534097,0.964734194396338,-0.11888235652837187,0.23485084515221527,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.363171406727075,-0.0017100804021763624,3.5819329724517956e-09,0.0002030795433367855,NONE
7.999959780136123e-05,0.002399987934040837,-7.468174195749045,-3.676917996623465,-9.550745293056858,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631658241273396,-3.533536820822353,-9.833990423337587,-6.412776130531437,-3.8069792691533535,-9.293813224559203,-0.0019462877711212848,-0.005269799782442695,0.00827291767215044,0.9647313524965035,-0.11888802101347846,0.23485965164277525,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36372801540323,-0.0029077736972851604,6.083313408566937e-09,0.00030144283858263765,NONE
8.999955025501549e-05,0.0026999865076504648,-7.4681741906684325,-3.6769179851382097,-9.550745313165086,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631653277249413,-3.533526935241399,-9.834005814276246,-6.412780623715549,-3.8069882144746274,-9.293799301764853,-0.001941078256506778,-0.005263785507092579,0.008277968908755092,0.964727240666897,-0.11889620836227323,0.23487239674408372,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.364533049315614,-0.004642277368384094,9.700752201524665e-09,0.00042680447322896846,NONE
