length_mm,B0_mT,gradient_mT,cone_deg,frequency_Hz,mu,zeta,cparallel_scale,kwobble_scale,case_id,family,duration_s,job_name,mesh_size_mm,node_count,element_count,exterior_triangles,mesh_volume_mm3,mesh_mass_mg,cad_volume_mm3,magnetic_moment_Am2,field_interval_s,direct_dt_s,status
2.0,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_200,geometry,0.006666666666666667,SCR_GEO200_Wobble,0.1,1341,6118,1204,0.97248677964004,7.594213974601073,0.9837636938740786,0.0008972923141398394,0.0001,1e-07,PREPARED
2.1,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_210,geometry,0.006666666666666667,SCR_GEO210_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,PREPARED
2.2,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_220,geometry,0.006666666666666667,SCR_GEO220_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,PREPARED
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_230,geometry,0.006666666666666667,SCR_GEO230_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.4,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_240,geometry,0.006666666666666667,SCR_GEO240_Wobble,0.1,1588,7302,1406,1.1791157705235311,9.207793514166587,1.1924361319071464,0.0010876227522174417,0.0001,1e-07,PREPARED
2.3,10.0,0.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_0,gradient,0.006666666666666667,SCR_GRAD0_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,2.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_2,gradient,0.006666666666666667,SCR_GRAD2_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,4.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_4,gradient,0.006666666666666667,SCR_GRAD4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,8.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_8,gradient,0.006666666666666667,SCR_GRAD8_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,20.0,30.0,0.03,0.5,1.0,1.0,CONE_20,cone,0.006666666666666667,SCR_CONE20_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,40.0,30.0,0.03,0.5,1.0,1.0,CONE_40,cone,0.006666666666666667,SCR_CONE40_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,50.0,30.0,0.03,0.5,1.0,1.0,CONE_50,cone,0.006666666666666667,SCR_CONE50_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
