episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
1,4.735413128287291e-08,3.5042030503973365e-06,0.0035034150478452375,HEAD+TAIL+BODY,0.2598518101555689,0.2789019857882939,0.2598518101658691,0.2598518101555689,0.0016833179392993867,True
2,0.00011601832375163212,0.00014304465730674565,0.027072899683844298,HEAD+TAIL+BODY,0.2598493874356641,0.27889335509566227,0.2598493874356641,0.2598499806444866,5.925226961784973e-08,False
3,0.00014323476352728903,0.0001483100204495713,0.0051218230510130525,HEAD+TAIL+BODY,0.2598493874356641,0.27889335509566227,0.2598493874356641,0.2598499806444866,6.331275734339933e-08,False
4,0.00014854772598482668,0.0001619722752366215,0.013471115380525589,HEAD+TAIL+BODY,0.2598479787551351,0.27888714049906116,0.2598479787551351,0.2598489073486443,9.556171425037313e-08,False
5,0.0001620672264834866,0.00016823445912450552,0.006213798769749701,HEAD+TAIL+BODY,0.2598479787551351,0.27888714049906116,0.2598479787551351,0.2598489073486443,1.7473992821619032e-05,False
6,0.00017431043670512736,0.00027043267618864775,0.09616880561225116,HEAD+TAIL+BODY,0.2598397962557335,0.27880445070676235,0.2598397962557335,0.25984197151151006,2.018405780838845e-05,False
7,0.0002727106329984963,0.0008905649883672595,0.617900921497494,TAIL+BODY,0.2451545260823807,0.27006676429188226,0.2451545260823807,0.24726434069487863,0.0002687117338902416,False
8,0.0008910874603316188,0.0013486790703609586,0.45763817615807056,TAIL+BODY,0.1912911659010711,0.2226101258158693,0.1912911659010711,0.20072420502003585,0.0003661783639155096,False
9,0.0013488215627148747,0.003138098167255521,1.7893231706693769,HEAD+TAIL+BODY,0.00025891453254989205,0.01820036157161553,0.00040935187062984824,0.00025891453254989205,1.3791111924033825,False
10,0.0031384704634547234,0.003138563595712185,0.00013969838619232178,BODY,0.007890046589858146,0.02903371751299222,0.08982139815411838,0.007890046589858146,1.3667879717548978e-07,False
11,0.00313902972266078,0.025851400569081306,22.712417412549257,HEAD+TAIL+BODY,-0.002314538078639461,0.01205078676801874,-0.0015197704556182412,-0.002314538078639461,36.01078940818391,True
