t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,rocking_phase_rad,precession_phase_rad,precession_frequency_Hz,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T
1e-07,-7.468174204284,-3.676918015967,-9.550745259298,0,0,0,2.4382885509544655e-12,-1.5442734067720917e-13,5.182253911535635e-13,1.1061287492272026e-12,1.4154087433933973e-11,-9.866034966922383e-13,18.899961226,53.799881868759286,8.325655254825946e-05,7.626526066000956e-19,-1.4895443071719092,4.2967127206258695,-0.034883170046921194,-2.883890733726649e-12,1.2154824396832174e-11,6.817515418031622e-12,2.9997999999999995e-08,False,,,,,,,,,,,,,,,,,,20.0,1.2566370614359172e-05,1.2566370614359172e-05,,,,0.01,0.009841653726959759,-0.0006542884478737338,0.001647348944698135
2.01e-05,-7.468174203935188,-3.6769180159885257,-9.550745259216624,3.3929958872416545e-10,4.2319583829863195e-09,-3.306116037739862e-10,9.719561771696702e-08,-6.155818089550695e-09,2.0657619456101897e-08,4.5744684069952106e-08,5.635277536216125e-07,-4.730499025888239e-08,18.900081225999998,53.79988186911804,8.325643846478442e-05,7.6265255410010175e-19,-1.4895443068220717,4.296712720705426,-0.03488317004064946,-1.1586224170628403e-07,4.883282107457497e-07,2.645852733288888e-07,0.001195788798,False,,,,,,,,,,,,,,,,,,20.0,0.002525840493486194,0.002525840493486194,,,,0.01,0.009841163090928903,-0.0006605396570868567,0.001647785295223333
4.02e-05,-7.4681741986925045,-3.676918016311073,-9.550745257993624,5.558343146996184e-09,6.778795953067576e-08,-5.876829852995629e-09,3.8350149970953313e-07,-2.428880565537736e-08,8.150807853203199e-08,1.8704235723272944e-07,2.220755364847224e-06,-2.1827934191388472e-07,18.900201826,53.79988187451008,8.325632381424467e-05,7.626148705028234e-19,-1.4895443015642462,4.296712721902001,-0.034883169945900544,-4.607344990015274e-07,1.9418720831496343e-06,1.0155006839570182e-06,0.004718190384,False,,,,,,,,,,,,,,,,,,20.0,0.005051680986972388,0.005051680986972388,,,,0.010000000000000002,0.009840665645178909,-0.0006668215947926856,0.0016482259009352306
6.0299999999999995e-05,-7.468174176114433,-3.6769180176954537,-9.550745252727088,2.86024606269036e-08,3.412540517965622e-07,-3.25086901326875e-08,8.509962221208462e-07,-5.389726472571538e-08,1.808677852775662e-07,4.295778263770268e-07,4.921761885668242e-06,-5.545466815451137e-07,18.900322426,53.79988189773098,8.325620917921662e-05,7.626148178754085e-19,-1.489544278922286,4.296712727059088,-0.03488316953562183,-1.0303113798409667e-06,4.342485440377453e-06,2.190223242234491e-06,0.010469757545999997,False,,,,,,,,,,,,,,,,,,20.0,0.00757752148045858,0.00757752148045858,,,,0.010000000000000002,0.009840163835483357,-0.000673102961361724,0.001648668582296509
8.03e-05,-7.4681741162758515,-3.676918021351684,-9.550745238770357,9.122144436302763e-08,1.0653528068919876e-06,-1.1056661191915802e-07,1.4881547031729454e-06,-9.425126211469918e-08,3.1628723878760355e-07,7.764771882485588e-07,8.595970450559537e-06,-1.091847551049715e-06,18.900442425999998,53.79988195927221,8.32560951495931e-05,7.659491828657187e-19,-1.489544218917982,4.296712740737613,-0.034883168442174754,-1.8155010824696515e-06,7.651848204340125e-06,3.720071338399935e-06,0.018308706746,False,,,,,,,,,,,,,,,,,,20.0,0.010090795603330415,0.010090795603330415,,,,0.010000000000000004,0.009839660194454052,-0.000679352468525485,0.001649111118507437
0.0001004,-7.468173990776896,-3.676918028992736,-9.550745209501487,2.2582887371941806e-07,2.582567831923935e-06,-2.9013586632335315e-07,2.2934600013548774e-06,-1.4525472336739717e-07,4.874440335750809e-07,1.2357650195968426e-06,1.3230539699046913e-05,-1.8717669885385068e-06,18.900563025999997,53.799882088339935,8.325598061210888e-05,7.628329465651526e-19,-1.4895440930791048,4.296712769448217,-0.03488316613600462,-2.8192124058108782e-06,1.188221821762039e-05,5.562619815417037e-06,0.028216383872,False,,,,,,,,,,,,,,,,,,20.0,0.012616636096816609,0.012616636096816609,,,,0.009999999999999997,0.009839149689333894,-0.000685632569211897,0.0016495579319674009
0.00012049999999999999,-7.468173764674412,-3.6769180427099206,-9.550745156774395,4.742762637952721e-07,5.313394372201508e-06,-6.42384946093883e-07,3.2562295453422837e-06,-2.0623107512231333e-07,6.920677329843675e-07,1.8099803295816066e-06,1.8759664150023976e-05,-2.9258662828051773e-06,18.900683626,53.799882320868036,8.325586617087643e-05,7.660989359283593e-19,-1.4895438663780836,4.296712821215298,-0.034883161957843425,-4.0327398687217125e-06,1.6996899258442794e-05,7.655334484501156e-06,0.040061369749999985,False,,,,,,,,,,,,,,,,,,20.0,0.015142476590302802,0.015142476590302802,,,,0.010000000000000002,0.009838634831255097,-0.0006919119720154975,0.0016500068121664418
0.0001405,-7.468173398219858,-3.676918064862461,-9.550745071324679,8.865433280827534e-07,9.735029363185351e-06,-1.25977877104046e-06,4.362651090380429e-06,-2.763055282879676e-07,9.272227304245496e-07,2.4987994604074206e-06,2.509956346201199e-05,-4.27759991724606e-06,18.900803626,53.79988269773041,8.325575243398647e-05,7.659490267908311e-19,-1.4895434989759486,4.296712905183347,-0.034883155148522985,-5.44282536896457e-06,2.294000174801113e-05,9.932870561077766e-06,0.05367373974999999,False,,,,,,,,,,,,,,,,,,20.0,0.01765575071317464,0.01765575071317464,,,,0.010000000000000002,0.009838118217969554,-0.0006981593994121873,0.0016504555075093686
0.0001606,-7.468172839413228,-3.676918098521542,-9.550744941034072,1.529841664598056e-06,1.647079821214734e-05,-2.272171002473232e-06,5.615900464034598e-06,-3.556792217349683e-07,1.1935840052706535e-06,3.311918158693447e-06,3.226345237647345e-05,-5.968671019956511e-06,18.900924225999997,53.799883272398006,8.325563830856426e-05,7.659489749477132e-19,-1.489542938758764,4.296713033328285,-0.03488314470787648,-7.0574695806621925e-06,2.974522676265943e-05,1.2366802450080606e-05,0.06909257396799999,False,,,,,,,,,,,,,,,,,,20.0,0.02018159120666083,0.02018159120666083,,,,0.010000000000000002,0.009837594687303657,-0.00070443728356367,0.0016509085019650092
0.0001807,-7.468172034979389,-3.6769181468008454,-9.550744753490696,2.476974073014951e-06,2.615724887306602e-05,-3.831784759088356e-06,7.002889905291366e-06,-4.435232510549627e-07,1.4883699301931932e-06,4.248388762615791e-06,4.017082749256223e-05,-8.018646655051409e-06,18.901044826,53.79988409965019,8.325552441169726e-05,7.692465045706752e-19,-1.4895421323441072,4.296713217947474,-0.03488312959608057,-8.86355164605671e-06,3.735724063921887e-05,1.4896875737390729e-05,0.08615686011399999,False,,,,,,,,,,,,,,,,,,20.0,0.022707431700147024,0.022707431700147024,,,,0.010000000000000002,0.009837066815586392,-0.0007107143431808996,0.0016513635541836255
