t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,rocking_phase_rad,precession_phase_rad,precession_frequency_Hz,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T
1e-07,-7.468174204284,-3.676918015967,-9.550745259298,0,0,0,2.4382885509544655e-12,-1.5442734067720917e-13,5.182253911535635e-13,-1.7353011953091965e-16,7.190433134989464e-17,8.378989254172931e-16,18.899961226,53.799881868759286,8.325655254825946e-05,7.626526066000956e-19,-1.4895443071719092,4.2967127206258695,-0.034883170046921194,9.497518157223741e-17,-4.002948657406444e-16,7.537249364415014e-16,2.9997999999999995e-08,False,,,,,,,,,,,,,,,,,,20.0,1.2566370614359172e-05,1.2566370614359172e-05,,,,0.010000000000000002,0.009762801647662814,-0.0006182940714714012,0.0020749497414577537
2.01e-05,-7.468174203933739,-3.676918015989235,-9.550745259223552,-6.2179793125619805e-12,2.574240723169333e-12,3.004800581737469e-11,9.719561771696707e-08,-6.1558180895506986e-09,2.065761945610191e-08,-1.39037706328201e-09,5.761197593592217e-10,6.713505699740116e-09,18.900081225999998,53.79988186911806,8.325643846478448e-05,7.6265255410010175e-19,-1.4895443068228147,4.29671272070865,-0.03488317004694609,7.609705725038135e-10,-3.207286452211942e-09,6.039077623023967e-09,0.001195788798,False,,,,,,,,,,,,,,,,,,20.0,0.002525840493486194,0.002525840493486194,,,,0.01,0.009763209327634092,-0.0006130587961252441,0.002074584907226532
4.02e-05,-7.468174198669432,-3.6769180163242456,-9.550745258104557,-1.9969285424095848e-10,8.273631325383685e-11,9.650225645776153e-10,3.835014997095354e-07,-2.4288805655377506e-08,8.150807853203248e-08,-1.0971897557439504e-08,4.546340090882852e-09,5.297836014070239e-08,18.900201826,53.7998818745104,8.325632381424517e-05,7.626148705028236e-19,-1.4895443015758092,4.296712721952128,-0.034883170047713186,6.0050553088379625e-09,-2.5309694267755176e-08,4.765623856581043e-08,0.004718190384,False,,,,,,,,,,,,,,,,,,20.0,0.005051680986972388,0.005051680986972388,,,,0.01,0.009763616317964123,-0.0006077972068069774,0.002074217672035012
6.0299999999999995e-05,-7.46817417599898,-3.6769180177708876,-9.55074525328533,-1.5089518877826793e-09,6.253452147382871e-10,7.292109462985837e-09,8.509962221209116e-07,-5.389726472571953e-08,1.8086778527758015e-07,-3.651994520432434e-08,1.513248646588355e-08,1.7633839536959198e-07,18.900322426,53.79988189773252,8.3256209179223e-05,7.59356466786589e-19,-1.4895442789787592,4.296712727303802,-0.03488317005290204,1.99878179351374e-08,-8.424328086946704e-08,1.5862372139257555e-07,0.010469757545999997,False,,,,,,,,,,,,,,,,,,20.0,0.00757752148045858,0.00757752148045858,,,,0.010000000000000002,0.009764020570822408,-0.0006025355145376689,0.0020738498610742553
8.03e-05,-7.468174115917592,-3.676918021615502,-9.550745240512459,-6.274618701529116e-09,2.6006797905566622e-09,3.032260715449368e-08,1.488154703173883e-06,-9.425126211475858e-08,3.162872387878028e-07,-8.504361219598286e-08,3.5238862157767845e-08,4.1063736619696603e-07,18.900442425999998,53.7998819592768,8.325609514964556e-05,7.626523964959368e-19,-1.4895442190888992,4.296712741477892,-0.03488317007178905,4.6545421327736426e-08,-1.9617644181324285e-07,3.693853913321626e-07,0.018308706746,False,,,,,,,,,,,,,,,,,,20.0,0.010090795603330415,0.010090795603330415,,,,0.01,0.009764420092857459,-0.0005972999323884143,0.00207348331099393
0.0001004,-7.468173989913707,-3.676918029701234,-9.55074521372299,-1.9018634030704966e-08,7.883373383416357e-09,9.190928194993377e-08,2.2934600013629475e-06,-1.4525472336790793e-07,4.874440335767958e-07,-1.638664796055422e-07,6.790008293218294e-08,7.912375528887776e-07,18.900563025999997,53.799882088350515,8.325598061240183e-05,7.693660854537983e-19,-1.4895440934803212,4.296712771185069,-0.03488317012229624,8.968615199118867e-08,-3.7800302749259354e-07,7.117510905150613e-07,0.028216383872,False,,,,,,,,,,,,,,,,,,20.0,0.012616636096816609,0.012616636096816609,,,,0.010000000000000002,0.009764818876808856,-0.0005920381394454953,0.0020731143587750726
0.00012049999999999999,-7.4681737629093465,-3.676918044309402,-9.550745165456453,-4.695951130239197e-08,1.946607874181211e-08,2.2693641351969177e-07,3.256229545389964e-06,-2.062310751253329e-07,6.920677329945013e-07,-2.792198123666619e-07,1.1569815028310602e-07,1.3482269322793093e-06,18.900683626,53.79988232088865,8.325586617209554e-05,7.69366033568034e-19,-1.4895438671765928,4.296712824670086,-0.03488317023303193,1.5282045824135855e-07,-6.440971610112213e-07,1.212786205907896e-06,0.040061369749999985,False,,,,,,,,,,,,,,,,,,20.0,0.015142476590302802,0.015142476590302802,,,,0.010000000000000002,0.00976521491582765,-0.0005867763485357035,0.0020727448382510446
0.0001405,-7.468173395005778,-3.6769180680513527,-9.550745087225666,-1.0030452713139822e-07,4.158064016278776e-08,4.847318488750423e-07,4.36265109059357e-06,-2.7630552830146675e-07,9.2722273046985e-07,-4.3615297886673536e-07,1.807253328249544e-07,2.105986634296738e-06,18.900803626,53.79988269776605,8.325575243805399e-05,7.659490267908486e-19,-1.4895435003898545,4.296712911296965,-0.0348831704444471,2.387119217179927e-07,-1.0061065962901867e-06,1.894422578535897e-06,0.05367373974999999,False,,,,,,,,,,,,,,,,,,20.0,0.01765575071317464,0.01765575071317464,,,,0.01,0.009765606257692237,-0.0005815407724483074,0.0020723765945653903
0.0001606,-7.468172834008995,-3.6769181043559076,-9.550744967926928,-1.9394971585800227e-07,8.040288652389487e-08,9.372824199830805e-07,5.615900464818472e-06,-3.556792217846142e-07,1.1935840054372553e-06,-6.416969790451336e-07,2.658950131510487e-07,3.0984661968359697e-06,18.900924225999997,53.799883272454665,8.325563832018516e-05,7.662561511278776e-19,-1.4895429410675678,4.296713043304697,-0.03488317081557417,3.51208695417533e-07,-1.480250264061689e-06,2.787199230747207e-06,0.06909257396799999,False,,,,,,,,,,,,,,,,,,20.0,0.02018159120666083,0.02018159120666083,,,,0.010000000000000002,0.009765996813551024,-0.0005762790903389229,0.0020720059478074424
0.0001807,-7.468172026450489,-3.6769181567631537,-9.550744796183041,-3.4648593551196095e-07,1.4364063589959762e-07,1.6744306660716148e-06,7.002889907756372e-06,-4.4352325121108207e-07,1.4883699307170968e-06,-9.001914484200343e-07,3.730053748454311e-07,4.346619769289665e-06,18.901044826,53.79988409973432,8.325552444100306e-05,7.692465045707263e-19,-1.489542135878427,4.296713233208108,-0.03488317142008929,4.926859151489557e-07,-2.076538723517097e-06,3.9099652928126745e-06,0.08615686011399999,False,,,,,,,,,,,,,,,,,,20.0,0.022707431700147024,0.022707431700147024,,,,0.009999999999999998,0.009766384617649487,-0.000571017515273045,0.002071634740341762
