t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,rocking_phase_rad,precession_phase_rad,precession_frequency_Hz,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T
1e-07,-7.468174204284,-3.676918015967,-9.550745259298,0,0,0,2.4382885509544655e-12,-1.5442734067720917e-13,5.182253911535635e-13,-2.0741349071578178e-16,8.59443210543185e-17,1.0015064902883342e-15,18.899961226,53.799881868759286,8.325655254825946e-05,7.626526066000956e-19,-1.4895443071719092,4.2967127206258695,-0.034883170046921194,1.1351996992480975e-16,-4.784561647336389e-16,9.00896746247148e-16,2.9997999999999995e-08,False,,,,,,,,,,,,,,,,,,20.0,1.2566370614359172e-05,1.2566370614359172e-05,,,,0.01,0.009762802046998966,-0.0006182889603680076,0.002074949385551326
2.01e-05,-7.4681742039337395,-3.6769180159892447,-9.55074525922355,-7.432442781281564e-12,3.0777998176575773e-12,3.591705751320296e-11,9.719561771696707e-08,-6.155818089550702e-09,2.065761945610191e-08,-1.6618610950727029e-09,6.886124918442503e-10,8.024380025085643e-09,18.900081225999998,53.79988186911806,8.325643846478448e-05,7.593565725650752e-19,-1.4895443068228125,4.2967127207086415,-0.034883170046949956,9.095571426927213e-10,-3.833538912907635e-09,7.218263604055567e-09,0.001195788798,False,,,,,,,,,,,,,,,,,,20.0,0.002525840493486194,0.002525840493486194,,,,0.01,0.009763289011457319,-0.0006120314287077791,0.0020745132462895205
4.02e-05,-7.46817419866946,-3.6769180163245663,-9.550745258104534,-2.386902673963664e-10,9.890600670656304e-11,1.1534826038187428e-09,3.835014997095354e-07,-2.4288805655377506e-08,8.150807853203248e-08,-1.3114261647011056e-08,5.434054881431483e-09,6.332287308328054e-08,18.900201826,53.7998818745104,8.325632381424517e-05,7.626148705028236e-19,-1.489544301575746,4.296712721951851,-0.03488317004786648,7.177597686614834e-09,-3.025164526924607e-08,5.6961558234257704e-08,0.004718190384,False,,,,,,,,,,,,,,,,,,20.0,0.005051680986972388,0.005051680986972388,,,,0.01,0.009763774513915977,-0.0006057424053972528,0.0020740741017881686
6.0299999999999995e-05,-7.468174175999189,-3.6769180177733105,-9.550745253285164,-1.8036165139435221e-09,7.475234895804384e-10,8.716114347190899e-09,8.509962221209115e-07,-5.3897264725719506e-08,1.808677852775801e-07,-4.36507966227828e-08,1.8087242058012717e-08,2.107700707085368e-07,18.900322426,53.799881897732504,8.325620917922299e-05,7.626524487787621e-19,-1.4895442789782842,4.296712727301717,-0.03488317005406899,2.3890621160012058e-08,-1.0069254758374175e-07,1.895964455342847e-07,0.010469757545999997,False,,,,,,,,,,,,,,,,,,20.0,0.00757752148045858,0.00757752148045858,,,,0.01,0.009764256106660806,-0.0005994532201597847,0.0020736341336834727
8.03e-05,-7.468174115918461,-3.676918021625577,-9.550745240511775,-7.499882373795944e-09,3.1087170233812926e-09,3.6243852164685515e-08,1.4881547031738807e-06,-9.425126211475842e-08,3.1628723878780234e-07,-1.0164913672213156e-07,4.2119564557518055e-08,4.908179779874486e-07,18.900442425999998,53.799881959276725,8.325609514964541e-05,7.629458538617047e-19,-1.4895442190869266,4.296712741469217,-0.03488317007664565,5.5633830392162403e-08,-2.3448164350966075e-07,4.415111867251628e-07,0.018308706746,False,,,,,,,,,,,,,,,,,,20.0,0.010090795603330415,0.010090795603330415,,,,0.01,0.009764731419786217,-0.0005931952059426606,0.002073195540002564
0.0001004,-7.468173989916339,-3.6769180297317714,-9.550745213720916,-2.2732405292168628e-08,9.42323301749457e-09,1.0985656135376707e-07,2.293460001362936e-06,-1.4525472336790745e-07,4.874440335767937e-07,-1.958628374754224e-07,8.115816557558671e-08,9.457335788981001e-07,18.900563025999997,53.799882088350266,8.325598061240141e-05,7.626147131361336e-19,-1.489544093474341,4.296712771158775,-0.0348831701370149,1.0719815460264954e-07,-4.518114121499751e-07,8.507266921284172e-07,0.028216383872,False,,,,,,,,,,,,,,,,,,20.0,0.012616636096816609,0.012616636096816609,,,,0.010000000000000002,0.009765205203458542,-0.0005869058250822302,0.00207275393783989
0.00012049999999999999,-7.468173762915848,-3.6769180443848017,-9.55074516545133,-5.612920900613703e-08,2.3268156555251587e-08,2.712501621437373e-07,3.256229545389903e-06,-2.0623107512532908e-07,6.920677329944883e-07,-3.33739840131253e-07,1.382891913480795e-07,1.6114796331614282e-06,18.900683626,53.799882320888024,8.325586617209398e-05,7.726341737587579e-19,-1.4895438671618284,4.296712824605164,-0.034883170269373175,1.8265994410766327e-07,-7.698625745809074e-07,1.4495929602846701e-06,0.040061369749999985,False,,,,,,,,,,,,,,,,,,20.0,0.015142476590302802,0.015142476590302802,,,,0.010000000000000002,0.00976567506850014,-0.000580616410047806,0.0020723115211902935
0.0001405,-7.468173395019665,-3.6769180682124025,-9.550745087214722,-1.198906621774481e-07,4.970173769235223e-08,5.79384376121342e-07,4.362651090593271e-06,-2.763055283014477e-07,9.272227304697865e-07,-5.213153987623957e-07,2.160134243235396e-07,2.5171976694113087e-06,18.900803626,53.79988269776472,8.325575243804831e-05,7.69179451385942e-19,-1.4895435003583188,4.296712911158293,-0.03488317052206864,2.8532236797633647e-07,-1.202557100729314e-06,2.264324008878231e-06,0.05367373974999999,False,,,,,,,,,,,,,,,,,,20.0,0.01765575071317464,0.01765575071317464,,,,0.010000000000000004,0.009766138703719195,-0.0005743582939922032,0.002071870500258254
0.0001606,-7.4681728340358475,-3.6769181046673123,-9.550744967905766,-2.318214145120984e-07,9.610581909741933e-08,1.1203022943487831e-06,5.615900464817196e-06,-3.556792217845335e-07,1.193584005436984e-06,-7.669933086480813e-07,3.1781308170883197e-07,3.7034658370106005e-06,18.900924225999997,53.79988327245209,8.325563832016626e-05,7.659489749477424e-19,-1.48954294100659,4.296713043036561,-0.034883170965662236,4.1978492707033814e-07,-1.7692806506646916e-06,3.331421572018303e-06,0.06909257396799999,False,,,,,,,,,,,,,,,,,,20.0,0.02018159120666083,0.02018159120666083,,,,0.010000000000000002,0.009766600742805113,-0.0005680689382462743,0.0020714264679293853
0.0001807,-7.4681720264984595,-3.6769181573194643,-9.550744796145237,-4.14142371474423e-07,1.7169336365037653e-07,2.00138912856974e-06,7.002889907751583e-06,-4.4352325121077883e-07,1.4883699307160793e-06,-1.075960470112499e-06,4.458374217278797e-07,5.195329346162806e-06,18.901044826,53.79988409972973,8.325552444094613e-05,7.692465045707243e-19,-1.4895421357694931,4.296713232729095,-0.03488317168821554,5.888864756907571e-07,-2.481998232415993e-06,4.67341485939249e-06,0.08615686011399999,False,,,,,,,,,,,,,,,,,,20.0,0.022707431700147024,0.022707431700147024,,,,0.01,0.009767058855252041,-0.0005617796761180549,0.002070981630421521
