event,start_ms,end_ms,peak_time_ms,peak_history_index,duration_ms,state,peak_normal_force_N,peak_tangential_force_N,peak_resultant_force_N,normal_impulse_Ns,tangential_impulse_Ns,HEAD_min_gap_um,TAIL_min_gap_um,BODY_min_gap_um,max_closing_normal_velocity_mm_s,max_tangential_velocity_mm_s,separation_before_ms,separation_after_ms,maximum_reopened_gap_um,gap_reopened_after,theta_rock_deg,theta_cross_deg,alpha_B_deg,T_rock_Nmm,COM_radial_um,magnetic_torque_pushes_deeper
1,39.06099870800972,39.06229883432388,39.061401039361954,390614,0.0014001263153318178,TAIL,0.02623121407729664,0.0006828061497461884,0.02623921294770644,2.0514735565601238e-08,5.835202467599709e-10,44.767228785502326,-0.0014970393271696025,34.823852428504054,4.242600967925091,2.849214457308559,39.06099870800972,3.509402857922339,12.304105453925018,True,13.870798498433919,6.0099901377067806e-06,13.504502727350815,-6.927518421286468e-05,0.3897629904032596,False
2,42.57180169224739,42.573001235723495,42.57209971547127,425721,0.001299543477273346,TAIL,0.02910657250643206,0.000758175276390974,0.02911395606709875,2.1785921844410542e-08,6.385413296265875e-10,31.220970733220167,-0.0016714786263971604,21.273145144476423,4.527875413908666,4.458091131274078,3.5095028579235077,3.8714004920947787,17.593388570230296,True,14.288866140041605,-0.010676385124869686,13.954344710468842,-6.223022767934465e-05,7.689159847373652,False
3,46.44450172781944,46.445898711681366,46.44490033388138,464449,0.0014969838630918275,BODY,0.04369595319464375,0.0011699872812758454,0.04370829496664501,3.849550996414723e-08,1.0771962790819682e-09,10.220234282660279,12.053187797973376,-0.0025760235347060956,6.516431664697253,3.0534926650898915,3.8715004920959473,2.9872028397548434,9.356668006649471,True,14.581394806808456,-0.01657292601858129,14.253733934775665,-6.057338780415205e-05,24.726087883562954,False
4,49.43320155143738,49.4345985352993,49.43360015749931,494336,0.0014969838630918275,BODY,0.05340716571978215,0.0014289381237757826,0.05342239219700215,4.671085249681184e-08,1.351527902949742e-09,9.505088866721746,13.795934596317672,-0.00314358674624593,7.924873750776781,5.922373105934495,2.987302839756012,3.5032002495754,12.85386765008123,True,14.538961419051885,-0.05199663809968841,14.340825147651689,-3.5402216410284066e-05,25.55208790860206,False
5,52.93789878487587,52.93919891119003,52.938200533390045,529382,0.0014001263153318178,TAIL,0.04679996341281003,0.0012220061085952368,0.04681156618758143,3.6609953057304184e-08,1.0530567099496699e-09,26.82775707780527,-0.002693651232954508,18.512431473809876,7.366628141388466,4.220049931724386,3.5033002495765686,79.98040004243734,228.5748405898323,True,14.424256391717938,-0.05253823980886329,14.282032607675042,-2.48935717349808e-05,9.270720885590347,False
6,132.91969895362854,132.92109966278076,132.92010128498077,1329201,0.0015007091533902894,BODY,0.04777057405659226,0.001269994384638656,0.047785174664057024,4.065894687566743e-08,1.1830984727331913e-09,14.673838186297417,89.11044066375284,-0.0027939071565175055,6.917141664417829,4.466954263546613,79.9805000424385,1.0218067335117098,1.0946834987678455,True,-12.172861949933585,-0.05932023235499428,-12.327342443088627,-3.071627188515276e-05,60.57477905537819,True
7,133.94300639629364,133.94440710544586,133.94349813461304,1339435,0.0015007091533902894,BODY,0.025868534158613763,0.0006871618420486519,0.025876760198697776,2.275707095479179e-08,6.449991691634257e-10,14.198651048333844,82.03387339995916,-0.0015119914413830315,4.060281737204905,5.707322934063474,1.0219067335128784,0.9495957063663241,0.4707546098570159,True,-12.395930329937764,-0.027171758642465797,-12.556663695884403,-3.163037692081742e-05,57.138604964889744,True
8,134.89410281181335,134.89550352096558,134.8945051431656,1348945,0.0015007091533902894,BODY,0.008887671004057044,0.0002371949943310312,0.008890161352128648,7.703703313947635e-09,2.2154561422363667e-10,13.594010535089684,70.50324084874859,-0.0005097490380912006,1.3476181811143693,5.21154760391508,0.9496957063674927,7.7465964721668,18.94202740017914,True,-12.750692561824856,0.03681648813820094,-12.75814949862438,-1.5755859047629905e-06,51.65297993292399,True
9,142.64219999313354,142.6434963941574,142.64260232448578,1426426,0.0013964010250333558,TAIL,0.06416140403753266,0.0016695270171490392,0.06417878925105042,5.1094809739740313e-08,1.4345766787775062e-09,44.45189822566431,-0.0036780164810457094,33.92342512634594,10.894609431893977,5.392459508957781,7.746696472167969,1.3230039047229525,2.540007548823442,True,-13.911576053221497,0.024102821972754936,-13.961667820270092,-1.0309897321236606e-05,1.2153707862548502,True
10,143.96660029888153,143.9678966999054,143.96700263023376,1439670,0.0013964010250333558,TAIL,0.04718980874328583,0.001224160015509493,0.0472031946112137,3.717921790530459e-08,1.0501065325312186e-09,46.964405246298526,-0.0026831727784060178,36.755599139763675,7.876016565182732,4.8250511889321785,1.323103904724121,0.7787091897952791,0.8150952387496746,True,-13.844477305339163,-0.027572849362238035,-14.086245701080687,-4.778712423130363e-05,1.0543909419956117,True
