event,start_ms,end_ms,peak_time_ms,peak_history_index,duration_ms,state,peak_normal_force_N,peak_tangential_force_N,peak_resultant_force_N,normal_impulse_Ns,tangential_impulse_Ns,HEAD_min_gap_um,TAIL_min_gap_um,BODY_min_gap_um,max_closing_normal_velocity_mm_s,max_tangential_velocity_mm_s,separation_before_ms,separation_after_ms,maximum_reopened_gap_um,gap_reopened_after,contact_sector_deg,representative_region,representative_gap_um,quadrant,theta_tilt_deg,psi_robot_deg,psi_command_deg,COM_radial_um
1,18.689600750803947,18.69090087711811,18.689999356865883,186900,0.0014001263153318178,TAIL,0.11409625697041918,0.002961510920118681,0.11413057869391516,8.92874612007431e-08,2.536902002477192e-09,46.28713896580949,-0.006507088532781147,34.802588924008894,18.55399498064346,12.286388721882277,18.689600750803947,3.0038995908725497,26.93532791599418,True,-69.68189143302979,TAIL,-0.0061555334919249916,Q4,13.788199741651091,-67.76842238266495,-67.05184815478397,0.41805721337276197
2,21.69490046799183,21.6962993144989,21.695299074053764,216953,0.0014988465082410585,BODY,0.16159360093274241,0.004324113581671399,0.16163940257626802,1.4170727300379492e-07,4.101782473046892e-09,10.791023298244774,18.557275296384844,-0.009500921007266072,24.06914803238333,11.521022308534521,3.0039995908737183,2.5809003280627962,17.771940338836224,True,111.48105470426191,BODY,-0.008460900453144404,Q2,14.289471361107758,-63.92271195684116,-64.34707840931488,27.429834634736046
3,24.277299642562866,24.27859976887703,24.27770011126995,242777,0.0014001263153318178,TAIL,0.11611598015327546,0.003019277545859068,0.11614888778379785,9.218946130572757e-08,2.6036517419727618e-09,22.33483371752709,-0.006636373829693731,12.735589472053444,19.253078427832367,11.753305431317347,2.581000328063965,33.56270177831533,158.11286325595253,True,-67.95319864801849,TAIL,-0.006076376083408164,Q4,14.538815045900822,-61.92314186500091,-62.02291747582031,12.49282356471942
4,57.84140154719353,57.84260109066963,57.841699570417404,578417,0.001299543477273346,TAIL,0.09940185277243102,0.002549238379453375,0.0994254095728977,7.249198633724124e-08,2.0687457475878626e-09,218.46040971841464,-0.005598790490446426,35.34991669067,16.821157782582276,10.389024152158251,33.5628017783165,1.6343003379333254,7.671636280893623,True,131.56375576760564,TAIL,-0.004753596787199221,Q2,7.001932798214301,146.02693280225984,-31.815317962587585,132.56589944746614
5,59.477001428604126,59.47820097208023,59.477299451828,594773,0.001299543477273346,TAIL,0.12093947093043309,0.003099596911089614,0.1209703472114759,8.700288867023834e-08,2.511528834976903e-09,199.5468134055221,-0.0068122011205318245,38.5563503099291,19.55587528206624,12.241535279312274,1.634400337934494,0.8182978497970339,2.302262019092116,True,141.147493471585,TAIL,-0.00600354245072765,Q2,7.586137776731901,152.76202421228203,-30.343278069318046,126.02834628732477
6,60.29659882187843,60.297898948192596,60.29700115323067,602970,0.0014001263153318178,TAIL,0.06251692278993097,0.0016005174607249587,0.06253452027197243,4.813381462436452e-08,1.324391228036192e-09,197.75415778862848,-0.0035213145967993853,40.85313140387947,10.959465320673022,15.199864084519065,0.8183978497982025,0.493500964545035,0.6514762738460966,True,140.68747838002173,TAIL,-0.0032661486455420885,Q2,8.131013797223828,150.82917083386351,-29.60554653805565,116.26837505058523
7,60.7914999127388,60.79280003905296,60.791898518800735,607919,0.0014001263153318178,TAIL,0.028212117553913618,0.0007227366010478265,0.028220139030922707,2.1701193742063283e-08,5.992831627261311e-10,193.34154284129912,-0.0015897369201045564,42.801165434006805,4.908002734593654,12.635895302725192,0.4936009645462036,0.3268016742694613,0.18667681292028337,True,140.3797666684036,TAIL,-0.0014742213179097519,Q2,8.588694023424083,149.47078539775615,-29.160138909042587,108.35037553763732
8,61.11970171332359,61.1209012567997,61.11999973654747,611200,0.001299543477273346,TAIL,0.013255075388248237,0.0003404583689080023,0.013258628367317732,9.49316429054036e-09,2.773357332742269e-10,184.6984170099561,-0.000753768736760918,44.570683201807796,2.0618452855703424,11.489770220379969,0.3269016742706299,0.2725987004268404,0.07122139685089568,True,140.31394329573635,TAIL,-0.0006664426916991317,Q2,8.942306444934738,149.11486582662207,-28.864847813070526,102.56702339830655
9,61.39359995722771,61.39479950070381,61.39390170574188,613939,0.001299543477273346,TAIL,0.0056302164574102715,0.00014492723247270576,0.005631664065048803,4.083032763518989e-09,1.1854477018354327e-10,176.2521973437,-0.0003204204958029422,46.36956120877067,0.895668240731816,12.732031904996786,0.27269870042800903,5.519003258847022,45.19860342343862,True,140.3788750632122,TAIL,-0.00027457783535744795,Q2,9.257319663887866,149.2683060830204,-28.618336040795555,97.56107813081853
10,66.913902759552,66.91530346870422,66.91429764032364,669143,0.0015007091533902894,BODY,0.17199003489946876,0.004580227026423984,0.1720433319027835,1.4685393363735759e-07,4.296032463888982e-09,10.845816300482092,58.04490226229176,-0.01007823697940502,24.58312170344164,14.0735611770142,5.51910325884819,1.6632942723262545,10.743493802275573,True,-11.890007198582254,BODY,-0.009420543792160174,Q4,12.894019076920028,157.26079389792056,-23.649979699671974,60.50308343382834
