element,n1,n2,n3,n4
1,1527,1528,1529,1530
2,1531,1532,1533,1534
3,1535,1536,1537,1538
4,1531,1539,1540,1536
5,1531,1539,1536,1538
6,1541,1542,1543,1544
7,1541,1545,1546,1547
8,1541,1543,1548,1546
9,1541,1546,1548,1549
10,1550,1551,1552,1547
11,1551,1552,1547,1541
12,1541,1547,1546,1553
13,1541,1546,1554,1553
14,1541,1554,1546,1549
15,1555,1556,1557,1558
16,1559,1546,1560,1561
17,1559,1557,1562,1563
18,1559,1553,1563,1562
19,1559,1546,1553,1554
20,1564,1565,1555,1566
21,1564,1555,1567,1568
22,1564,1569,1567,1570
23,1564,1571,1572,1570
24,1564,1571,1573,1574
25,1575,1576,1577,1578
26,1575,1577,1579,1578
27,1580,1581,1582,1575
28,1575,1583,1579,1577
29,1584,1585,1586,1587
30,1584,1588,1589,1590
31,1584,1588,1591,1592
32,1593,1584,1594,1595
33,1584,1593,1596,1595
34,1584,1592,1591,1597
35,1584,1594,1589,1592
36,1584,1594,1595,1589
37,1598,1597,1592,1593
38,1599,1600,1527,1601
39,1602,1540,1603,1604
40,1602,1533,1605,1606
41,1602,1603,1606,1605
42,1531,1607,1535,1608
43,1609,541,1610,499
44,1602,1604,1603,1611
45,1602,1612,1604,1613
46,1602,1608,1614,1607
47,1602,1613,1604,1611
48,1615,1616,1544,1551
49,1551,1542,1617,1618
50,1619,1555,1565,1620
51,1619,1621,1622,1549
52,1619,1558,1555,1557
53,1554,1549,1557,1560
54,1623,1624,1625,1626
55,1627,1040,998,999
56,1619,1622,1560,1549
57,1619,1560,1622,1628
58,1565,1628,1629,1630
59,1619,1558,1560,1628
60,1631,1632,1633,1634
61,1631,1635,1636,1637
62,1631,1638,1639,1640
63,1631,1638,1633,1641
64,1642,1640,1638,1643
65,1640,1638,1643,1631
66,1644,998,1039,997
67,1631,1632,1634,1635
68,1631,1635,1643,1636
69,1645,1646,1647,1648
70,1649,1650,1612,1645
71,1651,1646,1652,1645
72,1645,1608,1653,1612
73,1645,1653,1608,1654
74,1645,1651,1646,1655
75,1645,1655,1653,1654
76,1649,1656,1657,1658
77,1659,1490,1488,1498
78,1649,1612,1660,1654
79,1649,1660,1656,1658
80,1657,1649,1661,1656
81,1649,1662,1663,1661
82,1649,1612,1664,1656
83,1645,1653,1648,1612
84,1665,1653,1655,1654
85,1666,1653,1655,1665
86,1653,1613,1608,1667
87,1668,1669,1670,1671
88,971,1672,972,930
89,1653,1673,1667,1666
90,1674,1675,1536,1676
91,1540,1656,1604,1531
92,1677,1656,1604,1540
93,1678,1540,1679,1675
94,1531,1680,1656,1660
95,1678,1680,1681,1656
96,1531,1540,1678,1536
97,1672,972,930,1682
98,1683,1684,1685,1686
99,1683,1687,1688,1689
100,1683,1690,1691,1687
101,1683,1663,1687,1685
102,1683,1692,1684,1693
103,1683,1662,1687,1663
104,1683,1693,1684,1690
105,1694,1695,1696,1697
106,1695,1698,1694,1699
107,1695,1700,1701,1702
108,1695,1697,1703,1696
109,1704,1649,1658,1654
110,1705,1664,1706,1611
111,1664,1706,1611,1612
112,1707,1708,1709,1710
113,1711,1712,1713,1714
114,1612,1650,1664,1706
115,1715,999,1000,1716
116,1612,1604,1664,1656
117,1612,1604,1613,1611
118,1543,1717,1718,1719
119,1543,1720,1719,1721
120,1543,1720,1544,1722
121,1543,1717,1545,1718
122,1544,1542,1722,1723
123,1544,1724,1616,1725
124,1726,1720,1723,1544
125,1544,1725,1727,1724
126,1544,1720,1721,1727
127,1717,1632,1641,1548
128,1543,1719,1718,1721
129,1717,1546,1561,1560
130,1717,1632,1728,1719
131,1729,166,1730,1731
132,1717,1546,1560,1548
133,1560,1728,1628,1732
134,1733,419,377,378
135,1622,1728,1628,1560
136,1734,1735,1547,1736
137,1734,1737,1738,1739
138,1734,1738,1740,1739
139,1736,1546,1547,1734
140,1651,1652,1741,1704
141,1734,1740,1742,1739
142,1743,1744,1715,1745
143,1734,1742,1746,1553
144,1747,1748,1749,1750
145,1751,958,1000,999
146,1747,1752,1753,1754
147,1747,1755,1756,1752
148,1747,1756,1755,1757
149,1747,1752,1758,1753
150,1747,1756,1724,1752
151,1742,1553,1547,1759
152,1734,1760,1742,1740
153,1742,1761,1746,1762
154,1734,1746,1742,1760
155,1734,1742,1553,1547
156,1531,1602,1534,1533
157,1535,1607,1531,1532
158,1531,1535,1660,1608
159,1585,1590,1586,1763
160,1585,1764,1765,1766
161,1585,1767,1587,1766
162,1768,1769,1770,1771
163,1769,1772,1773,1774
164,1769,1773,1775,1776
165,1769,1774,1773,1776
166,1775,1769,1777,1778
167,1779,1780,1781,1782
168,1779,1783,1784,1785
169,1781,1779,1786,1787
170,1779,1788,1786,1789
171,1779,1785,1790,1791
172,1779,1783,1789,1786
173,1779,1792,1793,1788
174,1779,1789,1785,1791
175,1794,1795,1796,1573
176,1794,1797,1798,1799
177,1794,1800,1801,1562
178,1794,1562,1802,1557
179,1799,1802,1573,1794
180,1803,1799,1802,1573
181,1794,1802,1562,1801
182,1541,1553,1554,1552
183,1541,1618,1549,1548
184,1616,1545,1544,1541
185,1541,1547,1616,1545
186,1546,1548,1549,1560
187,1734,1546,1547,1553
188,1804,1805,1806,1787
189,1783,1786,1807,1808
190,1809,1810,1811,1812
191,1783,1789,1786,1808
192,1532,1804,1787,1786
193,1804,1787,1786,1783
194,1783,1804,1807,1786
195,1813,1814,1815,1816
196,1813,1814,1817,1818
197,1819,1820,1821,1822
198,1813,1583,1823,1824
199,1825,447,446,405
200,1813,1579,1583,1817
201,1711,1826,1827,1828
202,1581,1823,1582,1583
203,1829,1830,1831,1832
204,1833,1832,1834,1835
205,1829,1836,1830,1668
206,1837,1829,1834,1838
207,1829,1838,1837,1671
208,1829,1839,1668,1671
209,1558,1560,1628,1732
210,1558,1555,1556,1840
211,1732,1561,1841,1558
212,1842,1843,1844,596
213,1843,1844,596,638
214,1558,1732,1630,1845
215,1846,694,693,652
216,1558,1561,1841,1847
217,1559,1561,1558,1847
218,1693,1647,1567,1569
219,1100,1821,1848,1849
220,1569,1570,1572,1648
221,1569,1850,1650,1572
222,1569,1850,1568,1693
223,1564,1568,1569,1572
224,1851,1852,1853,1854
225,1855,1856,1857,1858
226,1859,1715,1744,1745
227,1854,1852,1860,1861
228,1854,1860,1862,1863
229,1854,1864,1863,1862
230,1854,1865,1866,1864
231,1854,1867,1865,1868
232,1854,1869,1870,1851
233,1616,1735,1545,1736
234,1616,1871,1735,1737
235,1551,1550,1616,1547
236,1872,1873,1874,1875
237,275,31,32,146
238,1876,200,197,186
239,1544,1616,1615,1725
240,1551,1615,1616,1877
241,1541,1551,1542,1544
242,1616,1735,1547,1737
243,1616,1725,1878,1877
244,1879,1880,987,1881
245,1616,1877,1882,1550
246,1883,1598,1593,1884
247,1883,1598,1784,1885
248,1883,1592,1886,1593
249,1883,1887,1886,1885
250,1883,1887,1888,1886
251,1883,1885,1784,1889
252,1860,1890,1891,1892
253,1860,1884,1862,1784
254,1860,1884,1889,1890
255,1893,1894,1895,1896
256,1897,1898,1899,1900
257,1901,1902,1898,1903
258,1901,1903,1898,1904
259,1905,1906,111,1904
260,1906,1901,1904,1905
261,1907,1908,1909,1910
262,1907,1911,1910,1912
263,1907,1913,1914,1911
264,1907,1915,1916,1917
265,1918,1907,1912,1916
266,1907,1916,1915,1912
267,1914,1824,1583,1919
268,1920,379,378,337
269,1914,1581,1823,1921
270,1914,1921,1922,1911
271,1914,1923,1922,1824
272,1907,1914,1924,1911
273,1575,1913,1925,1576
274,1909,1907,1912,1918
275,1914,1925,1913,1917
276,1926,1193,1927,1928
277,1896,1893,1929,1930
278,1926,1931,1932,1933
279,1926,1934,1935,1931
280,1926,1934,1936,1937
281,1926,1938,1934,1937
282,1926,1933,1927,1939
283,1926,1933,1939,1934
284,1940,1941,1942,1943
285,1940,1942,1741,1943
286,1940,1943,1772,1944
287,1940,1945,1946,1651
288,1940,1943,1741,1772
289,1947,1948,1949,1950
290,1947,1951,1882,1952
291,1953,722,680,681
