node,x_mm,y_mm,z_mm
1,-6.61608497866604,-3.3713737272107203,-9.349329868887907
2,-7.952984502776389,-3.206642091961985,-9.674760260277617
3,-8.401055052225562,-3.5619692222826695,-9.777828726671968
4,-6.630534735070067,-3.374842047058188,-9.291724522380592
5,-6.64570895920253,-3.3868591096043446,-9.235470333645662
6,-6.661284243052588,-3.407168840600559,-9.18176627025464
7,-6.676928620052047,-3.435338330003377,-9.131756945548876
8,-6.692308669094803,-3.470767236920354,-9.086508195388625
9,-6.707096579497746,-3.5127004155698933,-9.046984445823512
10,-6.720977172217829,-3.560244149968772,-9.014028087191205
11,-6.733654617093191,-3.612385133923871,-8.988341486641367
12,-6.744858712051697,-3.66801206287804,-8.970472122250428
13,-6.7543506557766655,-3.725939353742192,-8.960800875241901
14,-6.761928148449028,-3.7849323768710263,-8.95953384797505
15,-6.767429688754407,-3.843733805826144,-8.966698049574811
16,-6.770738018894603,-3.9010903874919127,-8.982140794422921
17,-6.771782633810638,-3.955779668227311,-9.005532922704136
18,-6.7705412574525035,-4.006636041182644,-9.036375920800657
19,-6.767040364072383,-4.052575588522627,-9.074012354808689
20,-6.761354550410132,-4.092619186409105,-9.117640145316193
21,-6.753605010430764,-4.125913354602858,-9.166329387318546
22,-6.743956917943956,-4.15174854953838,-9.219042362556134
23,-6.732615892630852,-4.169574070687823,-9.2746556029632
24,-6.719823656006037,-4.179010035704726,-9.331983798168746
25,-6.705852851214629,-4.1798553232408,-9.389805096894996
26,-6.691001240776079,-4.172091917515983,-9.446887142392018
27,-6.67558536223965,-4.15588529217574,-9.502013329925774
28,-6.659933776477025,-4.13158082528418,-9.55400872872818
29,-6.6443800736024805,-4.099696593098312,-9.601765166589242
30,-6.629255744350393,-4.060912089064482,-9.644264804526367
31,-6.614883152971894,-4.016053956440276,-9.680601782711658
32,-6.601568608353984,-3.966078272805338,-9.710001717471023
33,-6.589595903736443,-3.91205018361586,-9.731837931334184
34,-6.579220204753833,-3.8551212050040693,-9.745645072312056
35,-6.570662657029443,-3.796504676276248,-9.751128840569624
36,-6.564105648499523,-3.737449909923652,-9.748172366089323
37,-6.5596889284400834,-3.679215548466838,-9.736838665419564
38,-6.5575066383687215,-3.623042765545209,-9.717369273509913
39,-6.557605282624561,-3.5701287789561444,-9.690179173165419
40,-6.559982756874042,-3.5216013688438608,-9.65584788724222
41,-6.564588398384687,-3.4784948055570353,-9.615107086890486
42,-6.5713240414807075,-3.441727814027491,-9.568825101292378
43,-6.5800461256945555,-3.412084059808196,-9.517988379277718
44,-6.590568756213705,-3.3901953044062156,-9.46368039000574
45,-6.602667665411529,-3.3765281121776263,-9.407058619693473
46,-6.674210961177504,-3.3642114925200284,-9.36347899595204
47,-6.732337058694741,-3.3570492436584214,-9.377628151011077
48,-6.790463156211978,-3.349886994796815,-9.391777306070116
49,-6.848589253729205,-3.342724745935209,-9.40592646112915
50,-6.90671523624068,-3.335562511244516,-9.420075588193287
51,-6.9648413337579065,-3.3284002623829103,-9.434224743252322
52,-7.022967431275144,-3.3212380135213038,-9.44837389831136
53,-7.0810935287923815,-3.314075764659697,-9.462523053370397
54,-7.139219511303845,-3.306913529969005,-9.47667218043453
55,-7.197345608821083,-3.2997512811073983,-9.49082133549357
56,-7.255471706338319,-3.2925890322457914,-9.504970490552607
57,-7.313597688849784,-3.2854267975550995,-9.51911961761674
