element,side,region,angle_error_deg
55,1,body,1.3975492686270212
66,1,body,1.397559453487187
77,1,head,0.44357578695198335
88,2,body,1.3975628434743987
134,1,body,1.3975597822315535
145,1,body,1.3975411714787682
199,1,body,1.3975399175630636
215,1,body,1.3975541297893228
237,1,tail,0.0
237,4,body,1.3975734681884835
238,1,tail,0.0
268,1,body,1.3975651557359006
291,1,body,1.3975758819602797
334,1,head,0.13892182386397256
353,2,body,1.3975528479578385
407,1,head,0.17219303035702907
522,1,body,1.3975676457628143
546,1,body,1.3975399175630636
586,1,body,1.3975476284438262
600,1,body,1.397565154615716
627,4,body,1.3975528479578385
679,1,body,1.3975536415389644
704,1,body,1.3975481007519097
718,1,body,1.3975476284435653
720,1,head,1.1467319013760935
855,1,body,1.3975598384381804
951,1,body,1.3975781219657906
1028,1,body,1.3975595996258554
1045,3,body,1.3975699257170833
1106,1,body,1.3975651557356399
1165,1,body,1.3975595996258554
1172,1,body,1.3975417087298048
1185,1,tail,0.0
1186,3,body,1.3975595996258554
1195,4,body,1.3975597822315535
1225,1,tail,0.0
1250,3,body,1.3975595996258554
1279,1,head,0.6307970251961469
1291,1,tail,0.0
1420,1,body,1.3975594534874478
1496,1,body,1.3975399175630636
1497,1,tail,0.0
1507,1,head,1.7234284954409635
1598,1,tail,0.0
1606,1,body,1.3975492686272821
1619,1,body,1.3975541297893228
1624,1,body,1.3975471967655593
1626,1,tail,0.0
1626,2,body,1.3975717002766266
1627,1,tail,0.0
1634,1,body,1.3975769685750878
1637,1,body,1.3975734681882226
1639,1,body,1.397561825574133
1642,1,tail,0.0
1645,1,tail,0.0
1646,1,body,1.397571700276105
1648,1,tail,0.0
1649,1,body,1.3975417087298048
1652,3,tail,0.0
1663,1,body,1.3975417087298048
1665,1,body,1.397578796222714
1666,1,body,1.3975715738989836
1667,1,tail,0.0
1671,1,body,1.3975589575491527
1674,1,body,1.3975471967655593
1677,1,tail,0.0
1678,1,head,0.17615565115338394
1680,1,body,1.3975576563948273
1684,3,body,1.3975476284435653
1685,1,tail,0.0
1690,1,tail,0.0
1691,1,body,1.3975769685756094
1692,1,tail,0.0
1693,1,body,1.3975541297890621
1694,1,body,1.3975628434743987
1695,1,tail,0.0
1697,1,body,1.3975651546154553
1699,1,tail,0.0
1706,1,body,1.3975474633471145
1709,1,body,1.3975769685756094
1713,1,body,1.3975717002766266
1715,1,body,1.3975597822312926
1721,1,body,1.3975593506506718
1728,1,body,1.3975411714790291
1732,1,body,1.3975699257170833
1734,1,body,1.3975542177744642
1735,1,body,1.3975597822312926
1737,1,body,1.3975399175630636
1741,1,body,1.3975571783413965
1748,1,body,1.3975433365197374
1751,1,body,1.3975481007519097
1756,1,body,1.3975536415389644
1758,2,body,1.3975595996258554
1759,1,body,1.3975536415392253
1760,1,body,1.3975541297893228
1764,1,body,1.397572188792963
1765,1,body,1.3975536415392253
1769,1,body,1.3975542177744642
1778,1,body,1.397575881960019
1779,1,body,1.3975476284435653
1780,1,head,0.8922052911682268
1782,3,body,1.3975598384379198
1785,1,body,1.3975492686270212
1787,1,body,1.3975649221868756
1790,1,body,1.3975541606964943
1791,2,tail,0.0
1793,1,body,1.3975602699542302
1794,1,body,1.3975595996258554
1797,3,body,1.3975594534874478
1799,1,body,1.3975649221866147
1801,1,body,1.3975781219660512
1803,1,head,0.5352677469718722
1804,1,body,1.3975474633471145
1805,1,body,1.3975476284435653
1811,1,body,1.3975598384379198
1812,2,body,1.3975595996258554
1815,1,body,1.3975781219660512
1816,1,body,1.3975399175630636
1819,1,body,1.3975676457628143
1820,1,body,1.3975781219657906
1822,1,body,1.3975676457628143
1823,1,body,1.3975595996258554
1829,1,body,1.3975649925634392
1832,1,body,1.397561825574133
1834,1,body,1.3975571783411356
1835,1,body,1.3975598384379198
1842,1,body,1.3975399175630636
1847,1,head,0.1801352177461179
1849,1,body,1.3975715738987227
1856,1,body,1.3975602699542302
1857,1,body,1.3975676457628143
1858,1,body,1.3975463299687385
1859,2,body,1.3975541606964943
1863,1,head,1.6602070779649245
1867,1,head,0.20134406908394287
1870,3,head,0.9730485827272581
1875,1,head,0.6359352250411364
1878,1,body,1.397564992563961
1881,1,body,1.3975542177744642
1882,3,head,0.5559598106747503
1890,1,body,1.3975699257170833
1891,1,head,1.1138304913662587
1900,1,head,0.08302004317171667
1904,1,head,0.2768698705203348
1913,1,head,1.0317144472714588
1918,1,head,1.1605147820742123
1920,1,head,1.5408223659508722
1921,1,head,0.6054299521485783
1923,2,body,1.3975411714790291
1924,1,head,1.0039059083899384
1927,1,body,1.397571700276105
1930,1,body,1.3975598384381804
1931,4,body,1.3975492686270212
1933,1,head,0.4298294504415675
1934,1,body,1.397578796222714
1937,1,body,1.3975595996258554
1940,1,body,1.3975602699542302
1947,1,tail,0.0
1948,1,body,1.3975676457628143
1949,1,tail,0.0
1951,1,tail,0.0
1954,3,body,1.3975589575491527
