element,side,n1,n2,n3
55,1,1040,998,999
66,1,998,1039,997
77,1,1490,1488,1498
88,2,971,930,972
134,1,419,377,378
145,1,958,1000,999
199,1,447,446,405
215,1,694,693,652
237,1,31,32,146
237,4,275,32,31
238,1,200,197,186
268,1,379,378,337
291,1,722,680,681
334,1,1262,1264,1263
353,2,1099,1100,1141
407,1,110,1250,111
522,1,54,55,681
546,1,958,959,1000
586,1,1108,1150,1149
600,1,483,441,442
627,4,1183,1141,1142
679,1,553,552,511
704,1,488,487,446
718,1,465,423,424
720,1,1478,1503,116
855,1,953,954,995
951,1,993,952,994
1028,1,954,913,955
1045,3,956,915,957
1106,1,463,462,421
1165,1,1038,997,1039
1172,1,277,318,276
1185,1,214,248,200
1186,3,996,955,997
1195,4,860,902,901
1225,1,229,206,245
1250,3,996,997,1038
1279,1,1369,1360,1370
1291,1,127,6,136
1420,1,996,995,954
1496,1,867,909,908
1497,1,155,130,150
1507,1,1419,1418,1412
1598,1,36,126,148
1606,1,953,995,994
1619,1,418,459,417
1624,1,480,521,479
1626,1,174,29,30
1626,2,277,30,29
1627,1,181,188,192
1634,1,372,373,414
1637,1,528,569,527
1639,1,338,296,297
1642,1,17,120,141
1645,1,246,258,253
1646,1,330,372,371
1648,1,182,205,189
1649,1,582,541,583
1652,3,142,120,18
1663,1,319,360,318
1665,1,329,328,287
1666,1,275,317,316
1667,1,189,202,193
1671,1,524,525,566
1674,1,269,270,311
1677,1,249,259,251
1678,1,1217,1511,1216
1680,1,479,520,478
1684,3,268,267,39
1685,1,149,38,130
1690,1,228,236,246
1691,1,823,822,781
1692,1,224,210,219
1693,1,567,526,568
1694,1,518,559,517
1695,1,167,235,159
1697,1,609,567,568
1699,1,153,1,134
1706,1,526,484,485
1709,1,499,540,498
1713,1,907,865,866
1715,1,293,14,13
1721,1,13,294,293
1728,1,406,447,405
1732,1,953,994,952
1734,1,1055,1054,1013
1735,1,755,713,714
1737,1,496,497,538
1741,1,686,685,644
1748,1,807,849,848
1751,1,456,497,455
1756,1,601,642,600
1758,2,1122,1081,1123
1759,1,852,810,811
1760,1,820,819,778
1764,1,1051,1009,1010
1765,1,931,973,972
1769,1,603,644,602
1778,1,680,638,639
1779,1,592,633,591
1780,1,1309,1314,1313
1782,3,955,914,956
1785,1,1036,995,1037
1787,1,634,592,593
1790,1,967,1008,966
1791,2,162,160,123
1793,1,713,754,712
1794,1,577,619,618
1797,3,956,997,955
1799,1,845,886,844
1801,1,663,664,705
1803,1,1282,1283,1520
1804,1,627,669,668
1805,1,771,730,772
1811,1,743,744,785
1812,2,744,703,745
1815,1,622,663,621
1816,1,741,783,782
1819,1,67,1185,66
1820,1,958,999,957
1822,1,682,57,56
1823,1,913,912,871
1829,1,1140,1141,1182
1832,1,926,927,968
1834,1,1148,105,106
1835,1,827,785,786
1842,1,825,867,866
1847,1,1475,1476,1507
1849,1,947,989,988
1856,1,776,735,777
1857,1,64,63,976
1858,1,948,990,989
1859,2,816,775,817
1863,1,1217,1229,1228
1867,1,1441,1452,1448
1870,3,1287,1322,1327
1875,1,1365,1358,1368
1878,1,71,1182,1183
1881,1,1148,1149,105
1882,3,116,1192,117
1890,1,1040,999,1041
1891,1,1334,1317,1306
1900,1,1263,1250,1262
1904,1,1266,1265,1232
1913,1,1375,1385,1374
1918,1,1226,1252,1251
1920,1,1488,1490,1485
1921,1,115,1502,116
1923,2,957,916,958
1924,1,1465,1522,1466
1927,1,1159,1117,1118
1930,1,90,1163,1164
1931,4,914,915,956
1933,1,1460,1461,1518
1934,1,867,908,866
1937,1,1165,88,89
1940,1,293,334,292
1947,1,129,9,10
1948,1,808,60,59
1949,1,10,138,129
1951,1,207,167,161
1954,3,293,292,14
1961,1,210,225,196
1962,1,533,532,491
1964,1,187,172,139
1965,4,17,289,18
1967,3,18,120,17
1973,1,161,157,183
1977,1,372,330,331
1985,1,163,177,141
1987,1,329,288,330
1988,1,331,330,289
1993,1,123,144,23
2000,1,20,143,121
2014,1,21,122,143
2018,1,368,326,327
2021,1,124,145,154
2022,1,285,326,284
2027,1,137,129,161
2030,3,208,193,206
2032,1,244,257,250
2034,1,128,167,136
2039,1,189,183,157
2040,1,367,408,366
2053,1,145,26,125
2059,1,186,197,185
2061,1,25,145,124
2065,1,175,171,28
2072,1,180,190,179
2073,1,317,276,318
2075,1,174,176,180
2079,1,33,170,32
2079,3,274,33,32
2098,1,170,181,146
