geometry,trajectory,time_s,minimum_gap_um,bridge_20um,head_count_20um,tail_count_20um,body_count_20um,sector_separation_20um_deg,bridge_10um,head_count_10um,tail_count_10um,body_count_10um,sector_separation_10um_deg,bridge_5um,head_count_5um,tail_count_5um,body_count_5um,sector_separation_5um_deg,bridge_0um,head_count_0um,tail_count_0um,body_count_0um,sector_separation_0um_deg
HEADCLEARANCE,OLD,0.0,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.9999999999999996e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,6e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,7e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,8e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,9e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,9.999999999999999e-06,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.3e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.4999999999999999e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.6e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.7e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.8e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.8999999999999998e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,1.9999999999999998e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.3e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.4999999999999998e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.6e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.7e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.8e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.9e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,2.9999999999999997e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.2999999999999996e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.5e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.6e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.7e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.7999999999999995e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.9e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,3.9999999999999996e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.2999999999999995e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.4999999999999996e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.6e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.7e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.8e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.9e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,4.9999999999999996e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.3e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.4999999999999995e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.6e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.6999999999999996e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.8e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.9e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,5.9999999999999995e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,6.1e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,6.2e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,6.3e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
HEADCLEARANCE,OLD,6.4e-05,20.001,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
