element,side,region,center_x_mm,angle_error_deg
60,1,head,0.248362918694814,0.38135429384208885
129,2,body,0.5213042696317035,0.382146207689282
179,2,head,0.24823980530103065,0.32818024143614594
183,1,body,0.36142149567604065,0.38224808159499957
226,1,body,1.4406301577885934,0.38214137742703697
243,1,body,1.6204982598622635,0.38216416553128824
249,4,body,1.50058615207672,0.3821462076902357
274,1,body,0.40139219164848333,0.382141563644814
283,2,body,1.6005129019419366,0.3822593516371866
349,1,body,0.40139219164848333,0.3821950239882213
365,2,body,1.1808206240336099,0.38215238911769783
407,3,head,0.032149937003850965,0.05930104991795346
421,1,head,0.0428411811590195,0.16609508445652377
422,1,head,0.03575180222590767,0.05188116064831511
512,1,tail,2.29999995231628,0.0
528,3,body,1.7803810040156067,0.3821375289892907
534,3,body,1.8003663619359334,0.38214156364672147
613,1,head,0.255338470141093,1.607729739632631
665,2,body,1.6005129019419366,0.38215510921776935
667,1,body,0.42137753963470476,0.3822761338932183
672,1,body,0.581260283788045,0.38217944155944356
677,2,head,0.237888127565384,0.7379554819974208
751,4,body,0.34143614768981934,0.3821993389328822
789,1,body,1.6204982598622635,0.38218956721635117
807,1,body,0.601245621840159,0.3821927661985369
889,1,tail,2.29999995231628,0.0
933,1,tail,2.29999995231628,0.0
944,1,head,0.25494031111399335,0.7937182266966424
949,2,body,1.66046897570292,0.38221525548968577
983,1,tail,2.29999995231628,0.0
1095,1,head,0.258726606766383,5.948646627375581
1104,1,head,0.25370570023854566,0.8315693150426021
1114,1,body,0.34143614768981934,0.3822219589798983
1144,1,head,0.25357337792714435,1.3164601907713598
1166,2,body,1.8403370777765897,0.382248081595953
1184,2,body,0.7811137636502584,0.3822595666013801
1200,1,body,0.6412163178126017,0.3822511494183564
1202,2,body,1.72042500972748,0.3821842769442268
1224,2,body,0.581260283788045,0.3822867176395442
1274,1,body,0.4813335835933687,0.3821506262649265
1280,4,body,0.5213042696317035,0.3823081140478329
1318,1,tail,2.29999995231628,0.0
1516,1,head,0.2503717790047327,0.33984565019194707
1542,1,body,1.6005129019419366,0.3822020165497517
1552,1,body,0.9609818657239281,0.38227139553539746
1556,1,body,0.581260283788045,0.38215337957368817
1586,1,head,0.040074796726306296,0.5297801020885441
1607,3,body,2.2800145943959538,0.38215510921776935
1640,1,body,0.5412896076838173,0.38222690960908967
1657,4,body,1.8403370777765897,0.3822803091077887
1675,1,body,1.66046897570292,0.38213364792439247
1677,1,head,0.24559694031874332,0.699309239938154
1685,1,tail,2.29999995231628,0.0
1688,2,body,1.1408499479293799,0.38224808159499957
1701,2,body,0.42137753963470476,0.38221525548968577
1712,3,head,0.17112762232621534,0.08052669034785027
1752,2,head,0.25161678095658635,3.6241278921733593
1832,1,head,0.25658387939135235,2.380634705691462
1864,2,body,0.9010258118311564,0.3821510534714981
1924,1,body,0.4613482356071474,0.3822155045343101
1935,1,head,0.052715308964252465,0.26356732536178057
2037,2,body,0.7811137636502584,0.3822451605274954
2174,1,tail,2.29999995231628,0.0
2202,1,body,1.4206447998682667,0.38216557734960743
2250,3,body,1.4806008338928198,0.382288935677966
2297,2,body,2.2600292364756265,0.38225116044435653
2300,1,body,0.40139219164848333,0.3822219589798983
2402,2,body,1.8003663619359334,0.38220314737619504
2422,1,head,0.15028070410092698,0.3805476294630076
2473,1,tail,2.29999995231628,0.0
2491,1,body,1.50058615207672,0.382288935677966
2529,1,body,0.42137753963470476,0.3821759985443484
2603,3,tail,2.29999995231628,0.0
2641,3,body,0.7011723717053732,0.3821693696602548
2721,1,body,0.40139219164848333,0.38220252629856455
2763,2,head,0.0171054635817806,0.14258406923622358
2868,1,head,0.040406461805105175,0.6937338692763951
2871,2,body,1.8603224356969201,0.3822803091077887
2907,1,tail,2.29999995231628,0.0
2949,1,body,1.4206447998682667,0.38213390926859364
3023,2,body,0.6612016757329303,0.3822461776696276
3085,3,body,2.2600292364756265,0.38217944155848993
3113,2,body,1.92027842998505,0.3822922954131428
3148,2,body,1.66046897570292,0.38227759802448164
3151,2,body,1.7404103279113798,0.3821950239872677
3177,1,body,1.7404103279113803,0.38214156364672147
3181,3,body,1.6204982598622635,0.38216700046484725
3255,2,body,1.56054218610128,0.38217361361538316
3262,2,body,1.54055682818095,0.382248081595953
3303,3,body,1.8003663619359334,0.3822025262995181
3352,2,body,1.7803810040156067,0.3822194315418515
3443,2,body,1.6005129019419366,0.3821297058602288
3471,3,body,0.40139219164848333,0.38227139553635087
3484,3,body,0.42137753963470476,0.3821707441887028
3621,1,head,0.0007764345500617668,0.1899043779625059
3640,1,head,0.06221566225091615,0.15808743209452905
3646,2,body,0.42137753963470476,0.3821592091653168
3652,1,body,0.40139219164848333,0.3822922954140962
3655,2,body,2.2600292364756265,0.38222904344970776
3677,2,tail,2.29999995231628,0.0
3745,2,body,2.2800145943959538,0.3821927661975833
3748,2,body,1.8403370777765897,0.3822194315399444
3769,1,body,0.5213042696317036,0.382239839351269
3793,1,head,0.06541451811790468,0.24719461278011795
3797,2,tail,2.29999995231628,0.0
3910,1,body,1.2607620557149233,0.38221868471649195
3941,1,body,0.601245621840159,0.38222690960908967
3961,1,tail,2.29999995231628,0.0
3994,1,tail,2.29999995231628,0.0
4179,2,body,1.68045433362325,0.38216700046580093
4210,3,body,1.7803810040156067,0.38217599854244105
