region,variable,samples,dt_min_s,dt_median_s,dt_max_s
Assembly ASSEMBLY,ALLAE,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLCD,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLCW,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLDMD,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLFD,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLIE,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLKE,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLMW,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLPD,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLPW,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLSE,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLVD,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLWK,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Assembly ASSEMBLY,ETOTAL,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,A1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,A2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,A3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,AR1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,AR2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,AR3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CF1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CF2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CF3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CM1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CM2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,CM3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,COOR1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,COOR2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,COOR3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RF1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RF2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RF3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RM1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RM2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,RM3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,U1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"U1 (Repeated: key = Step_Drive, 33)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,U2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"U2 (Repeated: key = Step_Drive, 34)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,U3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"U3 (Repeated: key = Step_Drive, 35)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,UR1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"UR1 (Repeated: key = Step_Drive, 36)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,UR2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"UR2 (Repeated: key = Step_Drive, 37)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,UR3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"UR3 (Repeated: key = Step_Drive, 38)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,V1,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"V1 (Repeated: key = Step_Drive, 39)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,V2,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
Node ASSEMBLY.2,"V2 (Repeated: key = Step_Drive, 40)",83331,9.96515154838562e-08,1.00000761449337e-07,1.0058283805847168e-07
Node ASSEMBLY.2,V3,168,3.3000484108924866e-05,4.9999915063381195e-05,5.010003224015236e-05
