time_s,ALLKE_J,Krigid_lumped_J,Krigid_continuum_J,lumped_abs_error_J,lumped_relative_error,continuum_abs_error_J,continuum_relative_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.01e-05,1.5821309540253736e-13,1.5821309662685655e-13,1.5568271210809688e-13,1.2243191930967211e-21,7.738418807758728e-09,2.5303832944404808e-15,0.015993513608987257
0.0001001,9.552774571375267e-12,9.552774081801305e-12,9.399977733049747e-12,4.895739622008342e-19,5.124939969460125e-08,1.527968383255199e-13,0.015995021884361547
0.0001501,1.029226552873297e-10,1.0292264752879494e-10,1.0127625243325117e-10,7.758534752252138e-18,7.538218607548161e-08,1.6464028540785287e-12,0.015996505817715813
0.00020009999999999998,5.467211963150476e-10,5.467212166339628e-10,5.379748231560628e-10,2.031891523156509e-17,3.71650401859604e-08,8.746373158984827e-12,0.015997867318728827
0.00025,1.964910779861384e-09,1.9649108730012825e-09,1.9334735010865504e-09,9.313989839003803e-17,4.7401591636953935e-08,3.143727877483377e-11,0.015999341597103728
0.0003001,5.544777650356991e-09,5.544777764965262e-09,5.456056344300227e-09,1.1460827103863716e-16,2.06695882622558e-08,8.872130605676418e-11,0.016000877158897798
0.00035,1.3140081136953086e-08,1.314008187740131e-08,1.2929808714008794e-08,7.404482239326704e-16,5.6350354021053254e-08,2.1027242294429186e-10,0.016002368688040666
0.00040009999999999997,2.755181776592508e-08,2.7551819412464738e-08,2.7110880493405544e-08,1.6465396566966601e-15,5.976156167572473e-08,4.409372725195367e-10,0.0160039267196689
0.0004501,5.236992365098559e-08,5.2369924620397074e-08,5.1531713711609094e-08,9.694114866151034e-16,1.8510843992740083e-08,8.382099393764935e-10,0.01600555969801798
0.0005,9.208862320519984e-08,9.208862242565373e-08,9.061454078314421e-08,7.795461133425162e-16,8.465172854256535e-09,1.4740824220556298e-09,0.016007215340498163
0.0005501,1.524051040178165e-07,1.5240510527094586e-07,1.499652688876881e-07,1.2531293677579982e-15,8.222358272276134e-09,2.439835130128399e-09,0.016008880712047393
0.0006001,2.390768495388329e-07,2.3907684944710306e-07,2.3524908096949884e-07,9.172985653937808e-17,3.836835591414238e-10,3.827768569334074e-09,0.016010619918731758
0.0006500999999999999,3.5861818469129503e-07,3.5861819322896426e-07,3.528758522258799e-07,8.53766922712443e-15,2.380712856062726e-08,5.742332465415103e-09,0.016012385067305512
0.0007,5.170624935999513e-07,5.170624748181116e-07,5.087821031403095e-07,1.878183974533522e-14,3.632411938172146e-08,8.280390459641797e-09,0.016014293363247296
0.00075,7.209237664937973e-07,7.209237552300745e-07,7.09377310901294e-07,1.1263722795117992e-14,1.562401368718769e-08,1.1546455592503331e-08,0.016016194955895763
0.0008001,9.753014310263097e-07,9.753014129221386e-07,9.596788600507253e-07,1.8104171141763536e-14,1.8562641831369525e-08,1.562257097558442e-08,0.01601819753216684
0.0008501,1.28229393158108e-06,1.2822939946983459e-06,1.2617513216452687e-06,6.311726590496971e-14,4.922215129501982e-08,2.054260993581125e-08,0.016020203659922204
0.0009000999999999999,1.6431048279628158e-06,1.643104940442875e-06,1.6167784489868276e-06,1.1248005908199275e-13,6.845580219093496e-08,2.632637897598825e-08,0.016022336815009364
0.00095,2.054624492302537e-06,2.0546245563865625e-06,2.021699955501558e-06,6.408402547701075e-14,3.1190139958467204e-08,3.292453680097913e-08,0.016024600565372357
0.001,2.512775827199221e-06,2.5127756860186313e-06,2.4725035799032374e-06,1.41180589524018e-13,5.6185111300350295e-08,4.027224729598346e-08,0.016026995667525
0.0010501,2.322722692042589e-06,2.3227236575388883e-06,2.305113738492871e-06,9.6549629905669e-13,4.1567437316748213e-07,1.7608953549718266e-08,0.007581169121068453
0.0011001,2.3265171330422164e-06,2.3265182409457633e-06,2.308693652387739e-06,1.107903546871845e-12,4.762069151079582e-07,1.7823480654477484e-08,0.007661014140553962
0.00115,2.3759533651173114e-06,2.375954707175805e-06,2.3571705144058377e-06,1.3420584935518957e-12,5.64850519903042e-07,1.878285071147377e-08,0.007905395361388491
0.0012001,2.4709857534617185e-06,2.4709873517287216e-06,2.450496692892743e-06,1.5982670030754455e-12,6.468135240506179e-07,2.0489060568975508e-08,0.008291857021138804
0.00125,2.6100336108356714e-06,2.6100353492818077e-06,2.5871166468067877e-06,1.7384461362285623e-12,6.660627391966622e-07,2.2916964028883765e-08,0.008780332917454765
0.0013,2.2822741884738206e-06,2.2822759372969405e-06,2.2247640500161043e-06,1.7488231199247158e-12,7.66263373943764e-07,5.751013845771629e-08,0.025198610556154907
