time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Fwall_norm_N,omega_norm_rad_s,Vcom_norm_mm_s
0.00098,4.767591329027811e-13,2.324536192307653e-06,2.324536669066786e-06,0.0,0.0,0.0,0.0,0.0,0.0,849.4273702618927,0.3087913340729752
0.0009801,4.768874236139514e-13,2.3254614918488877e-06,2.3254619687363115e-06,1.2842253538065e-16,9.25678612774168e-10,-1.1031637402348688e-19,-2.1612424854222071e-13,-1.6294731270674254e-13,0.0,849.5964281782148,0.3088328774776847
0.0009801999999999999,4.770157180281468e-13,2.3263872666048608e-06,2.3263877436205787e-06,2.5682348469511183e-16,1.8515208998948324e-09,-2.2066507617182743e-19,-4.32334543432416e-13,-1.426816157628144e-14,0.0,849.7655397840077,0.3088744164937143
0.0009803,4.771439742838939e-13,2.3273129347626137e-06,2.327313411906588e-06,3.8520281562406975e-16,2.7775267857198333e-09,-3.3104610321591813e-19,-6.486309006488201e-13,-1.3569988909683042e-13,0.0,849.934597821545,0.3089159375717086
0.0009804,4.772722342204767e-13,2.3282389968405133e-06,2.3282394741127475e-06,5.135604958487129e-16,3.703696186674124e-09,-4.414594518068226e-19,-8.650133346312149e-13,-2.6640496974633622e-14,0.0,850.1036948665915,0.3089574542610231
0.0009805,4.774004559651759e-13,2.3291650328728694e-06,2.3291655102733254e-06,6.418964930538654e-16,4.630029026985525e-09,-5.519051185374505e-19,-1.0814818617043716e-12,-1.0697992920130281e-13,0.0,850.2727526226855,0.3089989530123022
0.0009805999999999999,4.775286495783757e-13,2.3300914632424297e-06,2.3300919407710794e-06,7.7021077279006e-16,5.556525230842894e-09,-6.623830981594364e-19,-1.298036497832721e-12,4.374039980786933e-14,0.0,850.4418495885119,0.30904043708814294
0.0009807,4.776568286063907e-13,2.3310177839454523e-06,2.331018261602281e-06,8.985033022011011e-16,6.483184714528035e-09,-7.728933867412947e-19,-1.5146772570781265e-12,-7.839950654889055e-14,0.0,850.6108927841411,0.30908191087722514
0.0009808,4.777849876168918e-13,2.3319445821942613e-06,2.331945059979249e-06,1.0267740489798908e-15,7.410007402116726e-09,-8.834359808216023e-19,-1.731404155966623e-12,1.1388861155756384e-13,0.0,850.7799894695697,0.30912337262635076
0.0009809,4.779131320151602e-13,2.3328712733770334e-06,2.3328717512901654e-06,1.1550229808218556e-15,8.336993217650018e-09,-9.940108771398986e-19,-1.9482172104582468e-12,3.606891091953012e-14,0.0,850.949032585661,0.3091648240887179
0.0009809999999999999,4.780412563674196e-13,2.333798064978667e-06,2.3337985430199234e-06,1.2832500654248455e-15,9.264142047919839e-09,-1.1046180723771991e-18,-2.1651164278258282e-12,-1.0426050027798972e-13,0.0,851.118061081427,0.3092062635111283
0.0009811,4.781693369973715e-13,2.334725124243982e-06,2.334725602413319e-06,1.4114552685407354e-15,1.0191453816871524e-08,-1.215257561687778e-18,-2.3821018244010663e-12,-1.3977875465499335e-13,0.0,851.2871041178925,0.3092476832423054
0.0009812,4.782974184807469e-13,2.3356525755670906e-06,2.335653053864509e-06,1.5396385573266586e-15,1.111892847772895e-08,-1.3259293411207731e-18,-2.5991734229279122e-12,5.395510427330663e-14,0.0,851.4561861656773,0.309289097702519
0.0009813,4.784254616279878e-13,2.3365799205809255e-06,2.336580399006387e-06,1.6677998993067893e-15,1.2046565946471954e-08,-1.4366334067657024e-18,-2.816331237459958e-12,-2.1341996722532225e-14,0.0,851.6252146435178,0.3093304942246973
0.0009814,4.78553508334597e-13,2.337507531952093e-06,2.3375080105056013e-06,1.7959392621898825e-15,1.2974366125416461e-08,-1.5473697552368736e-18,-3.0335752798153396e-12,7.094286333245766e-15,0.0,851.7942574601451,0.3093718863581957
0.0009815,4.786814875731252e-13,2.3384352435304086e-06,2.338435722211896e-06,1.9240566117421517e-15,1.3902328938295202e-08,-1.6581383817242565e-18,-3.250905566138348e-12,-2.6810017490015887e-14,0.0,851.9632856574254,0.3094132511491839
0.0009816,4.788094676108713e-13,2.3393630579741016e-06,2.3393635367835693e-06,2.0521519135490668e-15,1.4830454293077622e-08,-1.768939280833226e-18,-3.468322107996794e-12,-1.2030456976620937e-13,0.0,852.1322994371692,0.30945461066920876
0.0009817,4.789374647546698e-13,2.3402911376343178e-06,2.3402916165717823e-06,2.180225138858932e-15,1.5758742113405396e-08,-1.8797724518740214e-18,-3.685824921716896e-12,-1.1096183278041117e-13,0.0,852.3013275554928,0.3094959701892337
0.0009818,4.790654098951945e-13,2.341219402664727e-06,2.3412198817301366e-06,2.3082762553920138e-15,1.66871923307273e-08,-1.9906378915530503e-18,-3.9034140257301e-12,-7.855963643350308e-14,0.0,852.4703557348073,0.30953730738254354
0.0009819,4.791933111636225e-13,2.342147768897163e-06,2.3421482480904742e-06,2.436305226799217e-15,1.7615804860729676e-08,-2.1015355930336e-18,-4.1210894340826554e-12,-1.071818110339514e-13,0.0,852.6393692959454,0.3095786248846196
0.000982,4.793212213434095e-13,2.343076400456682e-06,2.3430768797779034e-06,2.5643120208072702e-15,1.85445796268886e-08,-2.2124655528098745e-18,-4.338851162712007e-12,-3.262670835880847e-14,0.0,852.8083971950565,0.30961993975121427
