time_s,speed_mm_s,Fwall_norm_N,residual_norm_Ns,Vcom_x,Vcom_y,Vcom_z,P_x,P_y,P_z,Jmag_x,Jmag_y,Jmag_z,Jhydro_x,Jhydro_y,Jhydro_z,Jwall_x,Jwall_y,Jwall_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,1.1804992154541292e-12,0.0,2.086523372003783e-28,-7.449669142169143e-13,-8.149807870746972e-13,4.176230490634469e-13,-7.449648718099414e-21,-8.149785527171567e-21,4.17621904104911e-21,-7.449648902725548e-21,-8.149785487328205e-21,4.176219129714182e-21,0.0,0.0,0.0,0.0,0.0,0.0
2e-07,7.082680939479466e-12,0.0,1.8888013930422537e-27,-4.469603076303814e-12,-4.8896676651731775e-12,2.505627217868032e-12,-4.469590822405937e-20,-4.8896542596230203e-20,2.5056203484213445e-20,-4.469591017132252e-20,-4.88965432886239e-20,2.5056202985508746e-20,2.44869804e-28,5.1389234e-28,-2.997718865e-28,0.0,0.0,0.0
3e-07,2.2427441939563154e-11,0.0,1.29822502963316e-27,-1.415308236215781e-11,-1.5483224082131708e-11,7.93411517593175e-12,-1.4153043559959281e-19,-1.5483181633206495e-19,7.934093423701082e-20,-1.415304380580471e-19,-1.548318216283554e-19,7.93409368109411e-20,1.958893233e-27,4.111001865e-27,-2.3980952680000004e-27,0.0,0.0,0.0
4e-07,5.193473568971247e-11,0.0,1.6489384309678944e-26,-3.277398146911909e-11,-3.5854163398163714e-11,1.8372857067966056e-11,-3.2773891615721573e-19,-3.5854065100115936e-19,1.8372806696801014e-19,-3.2773893707660208e-19,-3.585406598211686e-19,1.8372807046929936e-19,8.080149318e-27,1.6957283949999996e-26,-9.891793713e-27,0.0,0.0,0.0
5e-07,1.0032357022783743e-10,0.0,3.331840166887579e-26,-6.331028761380633e-11,-6.926034053750304e-11,3.549128701732387e-11,-6.331011404183903e-19,-6.926015065282527e-19,3.549118971414074e-19,-6.331011619993681e-19,-6.926015882688583e-19,3.5491191844205026e-19,2.3505023427999998e-26,4.932846409999999e-26,-2.8775067513000003e-26,0.0,0.0,0.0
6e-07,1.72312022567003e-10,0.0,5.1413399009884773e-26,-1.0873938563011087e-10,-1.1895898158712328e-10,6.095850911621656e-11,-1.0873908750938202e-18,-1.1895865544827224e-18,6.095834199190313e-19,-1.087390917854635e-18,-1.1895866284573387e-18,6.095834598272867e-19,5.5087816028e-26,1.1560921655e-25,-6.7439014563e-26,0.0,0.0,0.0
7e-07,2.726171919369048e-10,0.0,5.280776844061741e-26,-1.7203806447440974e-10,-1.8820661700988392e-10,9.644328398160703e-11,-1.720375928135403e-18,-1.8820610102118756e-18,9.644301957196424e-19,-1.7203760599238321e-18,-1.8820612929536148e-18,9.644303383381758e-19,1.11640351378e-25,2.3429234275e-25,-1.3667115121299999e-25,0.0,0.0,0.0
8e-07,4.0595527527193103e-10,0.0,1.3988505409909766e-25,-2.561825198276508e-10,-2.802591770543216e-10,1.436140513066149e-10,-2.5618181747570094e-18,-2.8025840869362463e-18,1.4361365757323669e-18,-2.5618184937387612e-18,-2.802584585402753e-18,1.4361368623014066e-18,2.0393158627799997e-25,4.2797795074999995e-25,-2.49654933163e-25,0.0,0.0,0.0
9e-07,5.770415267147664e-10,0.0,4.8648560863998125e-26,-3.6414837838148154e-10,-3.9837191889626387e-10,2.0413891424800515e-10,-3.6414738002951054e-18,-3.983708267167732e-18,2.0413835457920117e-18,-3.6414741750788254e-18,-3.9837090005248514e-18,2.041384004655638e-18,3.4468721827799995e-25,7.2337263274999995e-25,-4.21969276163e-25,0.0,0.0,0.0
1e-06,7.905902409312347e-10,0.0,3.0212695883843155e-25,-4.98910635388204e-10,-5.457994613332991e-10,2.7968563595674133e-10,-4.989092675710015e-18,-5.457979649653339e-18,2.7968486916846903e-18,-4.989093109968262e-18,-5.4579805241120136e-18,2.796849402949947e-18,5.4858929477799995e-25,1.1512886442499999e-24,-6.71588077163e-25,0.0,0.0,0.0
1.1e-06,1.0513147248840858e-09,0.0,3.011514597922992e-25,-6.634436893552437e-10,-7.257957015180495e-10,3.7192166039466715e-10,-6.634418704529658e-18,-7.257937116710197e-18,3.719206407314069e-18,-6.634419354673375e-18,-7.257938633025316e-18,3.719207359342275e-18,8.322758222780002e-25,1.7466430837500005e-24,-1.0188797351630003e-24,0.0,0.0,0.0
1.2e-06,1.3639274133874644e-09,0.0,6.035772191197037e-25,-8.607213281673629e-10,-9.416140092472e-10,4.825140845789309e-10,-8.60718968407206e-18,-9.416114277110519e-18,4.825127617146372e-18,-8.607191015699757e-18,-9.416116295191777e-18,4.8251288405978755e-18,1.214340374278e-24,2.5484570692499997e-24,-1.4866066716629998e-24,0.0,0.0,0.0
1.2999999999999998e-06,1.733139724622334e-09,0.0,5.195668101715362e-25,-1.0937168956201133e-09,-1.1965068938945916e-09,6.13129603070834e-10,-1.0937138970775321e-17,-1.1965036135421673e-17,6.131279221100388e-18,-1.0937140249789537e-17,-1.1965039969601337e-17,6.131281478087766e-18,1.7153317002779992e-24,3.599854918749998e-24,-2.099924852162999e-24,0.0,0.0,0.0
1.4e-06,2.163662240532756e-09,0.0,4.994032831238653e-25,-1.3654027918194755e-09,-1.4937265872783087e-09,7.654347716537999e-10,-1.3653990484207694e-17,-1.4937224920661066e-17,7.65432673131993e-18,-1.3653993263915216e-17,-1.493722960630012e-17,7.654329567785275e-18,2.357753333778e-24,4.9480633287499995e-24,-2.8863833066629997e-24,0.0,0.0,0.0
1.5e-06,2.6602046031481975e-09,0.0,7.152776122331726e-25,-1.6787513613602781e-09,-1.8365242665045622e-09,9.410956465108906e-10,-1.6787467588827446e-17,-1.8365192314756286e-17,9.410930663958898e-18,-1.6787470315281813e-17,-1.8365198646392785e-17,9.410934070267246e-18,3.1660632017780007e-24,6.644410548750001e-24,-3.875923647663001e-24,0.0,0.0,0.0
1.6e-06,3.2274751280882956e-09,0.0,1.070843436620172e-24,-2.0367336720808724e-09,-2.2281505535680504e-09,1.141777895247109e-09,-2.0367280881563058e-17,-2.228144444853502e-17,1.1417747649401248e-17,-2.0367285711325188e-17,-2.228145402204068e-17,1.1417752610713094e-17,4.166673232777999e-24,8.744325568749999e-24,-5.1008795976629995e-24,0.0,0.0,0.0
1.6999999999999998e-06,3.870182058889308e-09,0.0,8.800590677063521e-25,-2.4423210138642123e-09,-2.6718558484188664e-09,1.3691470189340046e-09,-2.4423143179782968e-17,-2.671848523238498e-17,1.369143265270097e-17,-2.442314780970411e-17,-2.6718496156453172e-17,1.369143947890036e-17,5.387948967777998e-24,1.1307337288749996e-23,-6.595976507662997e-24,0.0,0.0,0.0
1.8e-06,4.593031594413543e-09,0.0,9.545178306825509e-25,-2.898483233303321e-09,-3.170889107717171e-09,1.6248681300650674e-09,-2.8984752867995865e-17,-3.1708804143834137e-17,1.6248636753142115e-17,-2.8984759018299505e-17,-3.170881896388683e-17,1.6248645629204292e-17,6.860209167777999e-24,1.439707369875e-23,-8.398330872662999e-24,0.0,0.0,0.0
