region,variable,samples,dt_min_s,dt_median_s,dt_max_s
Assembly ASSEMBLY,ALLAE,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLCD,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLCW,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLDMD,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLFD,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLIE,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLKE,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLMW,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLPD,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLPW,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLSE,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLVD,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ALLWK,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
Assembly ASSEMBLY,ETOTAL,27,4.989991430193186e-05,5.0000016926787794e-05,5.010003224015236e-05
ElementSet  PIBATCH,CFN1 on surface ASSEMBLY_PIPE_WALL_HELPER-1_PIPE_WALL_HELPER_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFN1 on surface ASSEMBLY_ROBOT_SOLID-1_ROBOT_SOLID_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFN2 on surface ASSEMBLY_PIPE_WALL_HELPER-1_PIPE_WALL_HELPER_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFN2 on surface ASSEMBLY_ROBOT_SOLID-1_ROBOT_SOLID_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFN3 on surface ASSEMBLY_PIPE_WALL_HELPER-1_PIPE_WALL_HELPER_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFN3 on surface ASSEMBLY_ROBOT_SOLID-1_ROBOT_SOLID_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFNM on surface ASSEMBLY_PIPE_WALL_HELPER-1_PIPE_WALL_HELPER_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
ElementSet  PIBATCH,CFNM on surface ASSEMBLY_ROBOT_SOLID-1_ROBOT_SOLID_SURF,13001,9.988434612751007e-08,1.00000761449337e-07,1.00000761449337e-07
