episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
1,0.010031200014054775,0.010032500140368938,0.0014007091522216797,TAIL,0.0006816364423001264,0.04980835082728263,0.0006816364423001264,0.03535044496453188,0.3265250538485735,True
2,0.01130560040473938,0.01130709983408451,0.001600012183189392,HEAD+BODY,8.066716125221252e-05,0.018810646183721857,0.03295918091910299,8.066716125221252e-05,0.2195079004143954,True
3,0.012208599597215652,0.012210000306367874,0.0015012919902801514,HEAD+BODY,8.23960722770023e-05,0.017277204267967528,0.04131171117179533,8.23960722770023e-05,0.10929062978839067,True
4,0.013082999736070633,0.013084400445222855,0.0015012919902801514,HEAD+BODY,7.017725548652542e-05,0.01740719503675081,0.03313692898676868,7.017725548652542e-05,0.05656705345287458,True
5,0.013277499936521053,0.013279000297188759,0.0016009435057640076,HEAD+BODY,4.679520702866036e-05,0.016205232469413078,0.02994816505287401,4.679520702866036e-05,0.07199390333413337,True
6,0.015459500253200531,0.015460800379514694,0.0014007091522216797,TAIL,0.0003099737328184915,0.052146242359666695,0.0003099737328184915,0.0378850761638837,0.03629607722873857,True
7,0.02819810062646866,0.02819940075278282,0.0014007091522216797,HEAD+BODY,-1.3171456340166365e-05,0.016227078445620657,0.11367544599726209,-1.3171456340166365e-05,0.34634376454124344,True
8,0.03000199981033802,0.030003400519490242,0.0015012919902801514,HEAD+BODY,0.00015171188067863994,0.015390106689088023,0.18520598612714995,0.00015171188067863994,0.3004840764716005,True
9,0.0327335000038147,0.03273480013012886,0.0014007091522216797,TAIL,-0.00011019135409129355,0.04958264231117093,-0.00011019135409129355,0.0382366180367365,0.15429636533135851,True
10,0.034249600023031235,0.0342509001493454,0.0014007091522216797,TAIL,9.807451754073604e-05,0.0930078276547136,9.807451754073604e-05,0.05911670999792629,0.34889786581551996,True
11,0.034877900034189224,0.03487909957766533,0.001300126314163208,TAIL,0.00010360931723762956,0.1042192347819283,0.00010360931723762956,0.056963953700602366,0.20540730620380696,True
12,0.03515009954571724,0.0351513996720314,0.0014007091522216797,TAIL,0.0001317211336901991,0.1057259894317526,0.0001317211336901991,0.05701075052436233,0.11744821156799826,True
