episode,start_s,end_s,duration_ms,region,minimum_gap_mm,HEAD_min_gap_mm,TAIL_min_gap_mm,BODY_min_gap_mm,peak_contact_force_N,reopen_after_episode
1,0.010031499899923801,0.010032800026237965,0.0014007091522216797,TAIL,0.0006955836904246615,0.04979449208293818,0.0006955836904246615,0.03533657978847171,0.3384342011851072,True
2,0.0113086998462677,0.011310099624097347,0.0015003606677055359,HEAD+BODY,0.00018304267137192465,0.01892247883251985,0.03279791871875115,0.00018304267137192465,0.22791844922715276,True
3,0.01228019967675209,0.012281700037419796,0.0016009435057640076,HEAD+BODY,3.244058210571943e-05,0.01725181882646032,0.040680942268283005,3.244058210571943e-05,0.11057220459772145,True
4,0.013177799992263317,0.013179199770092964,0.0015003606677055359,HEAD+BODY,2.8805429035383412e-05,0.01716675441219051,0.030672700475513515,2.8805429035383412e-05,0.04830841010494315,True
5,0.013255399651825428,0.013256900012493134,0.0016009435057640076,HEAD+BODY,2.069697459372577e-05,0.016197286366149144,0.029364193331126498,2.069697459372577e-05,0.06706216487782457,True
6,0.015603800304234028,0.015604999847710133,0.001300126314163208,TAIL,0.0006434689505869784,0.05861861648513689,0.0006434689505869784,0.04389383327623386,0.018411719917595985,True
7,0.02796510048210621,0.027966400608420372,0.0014007091522216797,HEAD+BODY,0.00032832789466297196,0.017147784795450094,0.10983357584744935,0.00032832789466297196,0.38195576888898947,True
8,0.029641099274158478,0.02964239940047264,0.0014007091522216797,HEAD+BODY,0.0002591630990512739,0.016438609056572462,0.1674789565901179,0.0002591630990512739,0.3363190864315756,True
9,0.032315999269485474,0.03231729939579964,0.0014007091522216797,TAIL,-0.0009761663107965557,0.05040815496088191,-0.0009761663107965557,0.03818415947431597,0.22230512408979955,True
10,0.03402020037174225,0.03402150049805641,0.0014007091522216797,TAIL,0.00028239834171650546,0.10377606577900766,0.00028239834171650546,0.05884267623589845,0.43363251273881753,True
11,0.0347789004445076,0.034780099987983704,0.001300126314163208,TAIL,0.00011363578599588031,0.10959538702034088,0.00011363578599588031,0.059226381132560846,0.24232002309302333,True
12,0.035234998911619186,0.03523629903793335,0.0014007091522216797,TAIL,8.6373466210099e-05,0.10325934414780547,8.6373466210099e-05,0.06059593440285149,0.1518297621573339,True
13,0.03565499931573868,0.03565629944205284,0.0014007091522216797,TAIL,2.5131572754300002e-05,0.08088052740650853,2.5131572754300002e-05,0.0651450148262751,0.06333798105344425,True
14,0.036031100898981094,0.0360323004424572,0.001300126314163208,TAIL,-0.0011216379370849738,0.053172735320419884,-0.0011216379370849738,0.04249134394977605,0.05956394245101478,True
15,0.0365958996117115,0.036597300320863724,0.0015012919902801514,HEAD+TAIL+BODY,-1.8123010939508077e-05,0.008457339828115695,0.001510157780599486,-1.8123010939508077e-05,0.5140071299278802,True
16,0.03877269849181175,0.038773998618125916,0.0014007091522216797,TAIL,0.0003691224383767233,0.03395846668314484,0.0003691224383767233,0.022233287647765332,0.30995066711518066,True
17,0.04039520025253296,0.04039660096168518,0.0015012919902801514,HEAD+BODY,1.3411362117521364e-06,0.012174799934039582,0.04017266195840907,1.3411362117521364e-06,0.04386395971785894,True
18,0.04277919977903366,0.04278060048818588,0.0015012919902801514,HEAD+BODY,1.6600081065742955e-05,0.014040509383078437,0.08246151399019153,1.6600081065742955e-05,0.04238972374741597,True
19,0.05006510019302368,0.050066299736499786,0.001300126314163208,TAIL+BODY,2.986767058321682e-05,0.1309002095474613,2.986767058321682e-05,0.017341960185071836,0.15556401190497446,True
20,0.05193119868636131,0.05193230137228966,0.0012032687664031982,TAIL+BODY,0.00022839454315615182,0.12449762970463418,0.00022839454315615182,0.016704352184419458,0.36009263372108646,True
21,0.05292059853672981,0.052921801805496216,0.00130385160446167,TAIL,0.00022790162137942271,0.16593733762913387,0.00022790162137942271,0.023057793240131796,0.19448687618872654,True
22,0.05356850102543831,0.05356970056891441,0.001300126314163208,TAIL,9.227184889604167e-06,0.2116198611651725,9.227184889604167e-06,0.029288671038557812,0.09496312980761812,True
23,0.05433329939842224,0.054334498941898346,0.001300126314163208,TAIL,2.2202970698104174e-05,0.22035096521276654,2.2202970698104174e-05,0.03907316179468456,0.02122277641258473,True
24,0.05809110030531883,0.058092501014471054,0.0015012919902801514,HEAD+BODY,0.0002289459160881302,0.012455703804368223,0.10787002306440419,0.0002289459160881302,0.4866694326830271,True
25,0.05942720174789429,0.05942859873175621,0.0014975666999816895,HEAD+BODY,0.00028287314288999443,0.01190276252290623,0.09185904280093848,0.00028287314288999443,0.33920558330671613,True
26,0.06063099950551987,0.06063219904899597,0.001300126314163208,HEAD+TAIL+BODY,0.00014461899045958848,0.014093689059189507,0.00014461899045958848,0.0049348642817921284,0.5077197079350086,True
27,0.06240310147404671,0.06240449845790863,0.0014975666999816895,HEAD+BODY,3.427302788427955e-05,0.018363796611778227,0.022100882800192956,3.427302788427955e-05,0.2139618475829083,True
28,0.06286569684743881,0.06286700069904327,0.0014044344425201416,HEAD+TAIL+BODY,9.556828603618506e-05,0.019620952136227165,9.556828603618506e-05,0.0066451436846132195,0.3690785417563462,True
29,0.06435380131006241,0.06435520201921463,0.0015012919902801514,HEAD+BODY,2.6279981082399928e-05,0.010056324124648297,0.021648011168026615,2.6279981082399928e-05,0.22352577349682307,True
