time_s,UR1_rad,UR2_rad,UR3_rad
0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,-2.743146581806625356e-04,3.887644558065534751e-03,3.094822143049693729e-03
2.000000000000000096e-04,-2.006018213176884602e-03,2.597001418336195716e-02,2.138683995889082215e-02
3.000000000000000279e-04,-6.068835081896256124e-03,7.215277721100435415e-02,6.145482487112939596e-02
4.000000000000000192e-04,-1.262898148428559172e-02,1.385143246964517239e-01,1.219965055489157651e-01
5.000000000000000104e-04,-2.117165167391206471e-02,2.150549362296458600e-01,1.958351894816923455e-01
6.000000000000000559e-04,-3.064101109135508247e-02,2.892181768105056006e-01,2.722773861948122875e-01
6.999999999999999929e-04,-3.969253283188037967e-02,3.491610770957299104e-01,3.398047827574876001e-01
8.000000000000000383e-04,-4.705613148118344136e-02,3.867505162057174872e-01,3.890827903651415398e-01
9.000000000000000838e-04,-5.200816918497842833e-02,4.002641451245246285e-01,4.162667881526309621e-01
1.000000000000000021e-03,-5.495003347075642919e-02,3.967751579807215490e-01,4.265861390643651552e-01
1.100000000000000066e-03,-5.742676214964279741e-02,3.896963467517116086e-01,4.331775125179064823e-01
1.200000000000000112e-03,-5.988647639911452714e-02,3.824861275180700404e-01,4.396324708140141868e-01
1.300000000000000157e-03,-6.232826984998374870e-02,3.751471240491922043e-01,4.459486186425583032e-01
1.399999999999999986e-03,-6.475124261243317414e-02,3.676820098806746206e-01,4.521236125027541797e-01
1.500000000000000031e-03,-6.715450164328651272e-02,3.600935072687846961e-01,4.581551616826990969e-01
1.600000000000000077e-03,-6.953716111063019956e-02,3.523843861217266782e-01,4.640410292162866490e-01
1.700000000000000122e-03,-7.189834275558666665e-02,3.445574629082334694e-01,4.697790328169373919e-01
1.800000000000000168e-03,-7.423717625103543050e-02,3.366155995440358040e-01,4.753670457875970312e-01
1.899999999999999996e-03,-7.655279955708511885e-02,3.285617022567720591e-01,4.808029979064694093e-01
2.000000000000000042e-03,-7.884435927309879633e-02,3.203987204299181268e-01,4.860848762879736995e-01
2.100000000000000304e-03,-8.111101098607574611e-02,3.121296454263379205e-01,4.912107262184154943e-01
2.200000000000000133e-03,-8.335191961519824999e-02,3.037575093920683034e-01,4.961786519658987760e-01
2.299999999999999961e-03,-8.556625975235160331e-02,2.952853840409582764e-01,5.009868175640047605e-01
2.400000000000000223e-03,-8.775321599842927922e-02,2.867163794208150152e-01,5.056334475687925822e-01
2.500000000000000052e-03,-8.991198329523644728e-02,2.780536426617064016e-01,5.101168277886872771e-01
2.600000000000000314e-03,-9.204176725281172644e-02,2.693003567070842985e-01,5.144353059868483902e-01
2.700000000000000143e-03,-9.414178447198448541e-02,2.604597390284228431e-01,5.185872925556223034e-01
2.799999999999999972e-03,-9.621126286199244149e-02,2.515350403240508292e-01,5.225712611626973647e-01
2.900000000000000234e-03,-9.824944195298752903e-02,2.425295432028906628e-01,5.263857493686252553e-01
3.000000000000000062e-03,-1.002555732032585911e-01,2.334465608538168480e-01,5.300293592153527689e-01
3.100000000000000325e-03,-1.022289203010057351e-01,2.242894357013604512e-01,5.335007577854647964e-01
3.200000000000000153e-03,-1.041687594605053419e-01,2.150615380484877381e-01,5.367986777318373148e-01
3.299999999999999982e-03,-1.060743797125062032e-01,2.057662647072041329e-01,5.399219177774307044e-01
3.400000000000000244e-03,-1.079450831887043827e-01,1.964070376177278476e-01,5.428693431849688222e-01
3.500000000000000073e-03,-1.097801854001454330e-01,1.869873024569945474e-01,5.456398861962764579e-01
3.600000000000000335e-03,-1.115790155094119607e-01,1.775105272372521359e-01,5.482325464410611193e-01
3.700000000000000164e-03,-1.133409165964523874e-01,1.679802008955222359e-01,5.506463913149590717e-01
3.799999999999999992e-03,-1.150652459179173637e-01,1.583998318746996647e-01,5.528805563266683265e-01
3.900000000000000255e-03,-1.167513751598728833e-01,1.487729466970663106e-01,5.549342454140377967e-01
4.000000000000000083e-03,-1.183986906837620617e-01,1.391030885310070297e-01,5.568067312289811666e-01
4.100000000000000346e-03,-1.200065937654960918e-01,1.293938157517122434e-01,5.584973553911164457e-01
4.200000000000000608e-03,-1.215745008275585515e-01,1.196487004966487605e-01,5.600055287100577095e-01
4.300000000000000003e-03,-1.231018436640099190e-01,1.098713272165951355e-01,5.613307313762960771e-01
4.400000000000000265e-03,-1.245880696582889607e-01,1.000652912230287073e-01,5.624725131206415041e-01
4.500000000000000527e-03,-1.260326419937107534e-01,9.023419723264748671e-02,5.634304933422106254e-01
4.599999999999999922e-03,-1.274350398565638476e-01,8.038165790982439163e-02,5.642043612049667534e-01
4.700000000000000185e-03,-1.287947586317209070e-01,7.051129240777549712e-02,5.647938757028500012e-01
4.800000000000000447e-03,-1.301113100906749753e-01,6.062672490922350887e-02,5.651988656935413857e-01
4.899999999999999842e-03,-1.313842225719279166e-01,5.073158316734424633e-02,5.654192299009440648e-01
5.000000000000000104e-03,-1.326130411536526887e-01,4.082949704777123073e-02,5.654549368864690839e-01
5.100000000000000366e-03,-1.337973278185676518e-01,3.092409707242576092e-02,5.653060249892444267e-01
5.200000000000000629e-03,-1.349366616109582417e-01,2.101901296594902227e-02,5.649726022353861454e-01
5.300000000000000024e-03,-1.360306387857914689e-01,1.111787220549475749e-02,5.644548462164851177e-01
5.400000000000000286e-03,-1.370788729498738645e-01,1.224298574632255807e-03,5.637530039374881730e-01
5.500000000000000548e-03,-1.380809951950076053e-01,-8.658089277881900539e-03,5.628673916341734307e-01
5.599999999999999943e-03,-1.390366542231066815e-01,-1.852567927372830367e-02,5.617983945604314577e-01
