event,start_s,end_s,duration_us,peak_force_N,contact_impulse_Ns,bridge_fraction,restitution_status
1,0.0011664977064356208,0.0011677975999191403,1.4016404747962952,4.426682669511168,3.2550562599971774e-06,0.0,NO_NODE_LEVEL_CONTACT_POINT_OUTPUT
2,0.0012653974117711186,0.0012667974224314094,1.501757651567459,2.5760819414969647,2.1551552230055934e-06,0.0,NO_NODE_LEVEL_CONTACT_POINT_OUTPUT
3,0.001804196392185986,0.0018055964028462768,1.501757651567459,1.4585527054247176,1.2006312266596544e-06,0.0,NO_NODE_LEVEL_CONTACT_POINT_OUTPUT
4,0.0021106956992298365,0.002112095709890127,1.501757651567459,0.6940415524603907,5.78912651518239e-07,0.0,NO_NODE_LEVEL_CONTACT_POINT_OUTPUT
5,0.0022941953502595425,0.002295595360919833,1.501757651567459,0.40447034080367456,3.2662375220704175e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
6,0.002383295213803649,0.002384495222941041,1.3015232980251312,1.4578398203246015,1.0488663168559831e-06,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
7,0.002567894756793976,0.0025692947674542665,1.501757651567459,0.6989955001561317,5.701935059293319e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
8,0.002786994446069002,0.002794794272631407,7.909256964921951,1.0362036525695482,5.219702373830134e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
9,0.0030088939238339663,0.0030101940501481295,1.4016404747962952,0.7650455574591021,5.55358191433689e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
10,0.0031216936185956,0.003123093629255891,1.501757651567459,0.4649237589822435,3.96668554010645e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
11,0.003222493454813957,0.0032236934639513493,1.3015232980251312,0.5997217548490491,4.428362262221906e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
12,0.0034305930603295565,0.0034318931866437197,1.4016404747962952,0.3338101425216986,2.633455617491483e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
13,0.0035476929042488337,0.003548992797732353,1.4016404747962952,0.19187758607649216,1.435861703433169e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
14,0.0035759927704930305,0.0035774928983300924,1.601874828338623,0.4764797414318963,4.1718092354501006e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
15,0.003731592558324337,0.0037328924518078566,1.4016404747962952,0.2663240780457912,1.9218392113252148e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
16,0.003779192455112934,0.0037806923501193523,1.601874828338623,0.20477906638850404,1.7706333533408088e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
17,0.0038620922714471817,0.003865992184728384,4.004687070846558,0.1165343879275191,1.4803142067459166e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
18,0.0038900922518223524,0.003891492262482643,1.501757651567459,0.4417682529752017,3.6720655937840337e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
19,0.004003392066806555,0.004004791844636202,1.501757651567459,0.22938518217150358,1.9519968472775405e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
20,0.004011091776192188,0.0040123919025063515,1.4016404747962952,0.4987789161963102,3.671459672952314e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
21,0.004112191963940859,0.004113691858947277,1.601874828338623,0.542525096721539,4.7279009408101114e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
22,0.0042439913377165794,0.004245291464030743,1.4016404747962952,0.30136342298236735,2.270011339386266e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
