event,start_s,end_s,duration_us,peak_force_N,sector_deg,sector_bin_30deg,true_separation_after
1,0.0011664977064356208,0.0011677975999191403,1.4016404747962952,4.426682669511168,248.6162687547154,8,1
2,0.0012653974117711186,0.0012667974224314094,1.501757651567459,2.5760819414969647,68.66102196532646,2,1
3,0.001804196392185986,0.0018055964028462768,1.501757651567459,1.4585527054247176,98.7607590030264,3,1
4,0.0021106956992298365,0.002112095709890127,1.501757651567459,0.6940415524603907,96.05259535555341,3,1
5,0.0022941953502595425,0.002295595360919833,1.501757651567459,0.40447034080367456,95.95265989646994,3,1
6,0.002383295213803649,0.002384495222941041,1.3015232980251312,1.4578398203246015,320.76545790127693,11,1
7,0.002567894756793976,0.0025692947674542665,1.501757651567459,0.6989955001561317,80.75259984518878,3,1
8,0.002786994446069002,0.002794794272631407,7.909256964921951,1.0362036525695482,308.78402863161574,10,1
9,0.0030088939238339663,0.0030101940501481295,1.4016404747962952,0.7650455574591021,275.70819608368384,9,1
10,0.0031216936185956,0.003123093629255891,1.501757651567459,0.4649237589822435,65.79745962993906,2,1
11,0.003222493454813957,0.0032236934639513493,1.3015232980251312,0.5997217548490491,260.75776281625457,9,1
12,0.0034305930603295565,0.0034318931866437197,1.4016404747962952,0.3338101425216986,260.8412457504087,9,1
13,0.0035476929042488337,0.003548992797732353,1.4016404747962952,0.19187758607649216,260.7747933926671,9,1
14,0.0035759927704930305,0.0035774928983300924,1.601874828338623,0.4764797414318963,84.17412738840217,3,1
15,0.003731592558324337,0.0037328924518078566,1.4016404747962952,0.2663240780457912,264.1746345427057,9,1
16,0.003779192455112934,0.0037806923501193523,1.601874828338623,0.20477906638850404,84.23820981816591,3,1
17,0.0038620922714471817,0.003865992184728384,4.004687070846558,0.1165343879275191,84.4780785822122,3,1
18,0.0038900922518223524,0.003891492262482643,1.501757651567459,0.4417682529752017,99.26455088714297,3,1
19,0.004003392066806555,0.004004791844636202,1.501757651567459,0.22938518217150358,99.21273934136812,3,0
20,0.004011091776192188,0.0040123919025063515,1.4016404747962952,0.4987789161963102,279.2629809732779,9,1
21,0.004112191963940859,0.004113691858947277,1.601874828338623,0.542525096721539,114.20443455941319,4,1
22,0.0042439913377165794,0.004245291464030743,1.4016404747962952,0.30136342298236735,279.2450216651977,9,1
23,0.004294091369956732,0.0042993915267288685,5.406327545642853,0.5844012628093374,150.33877413521932,5,1
24,0.004490290768444538,0.004491791129112244,1.601874828338623,0.32562936284897903,129.22012722340764,4,1
25,0.004525491036474705,0.004526890814304352,1.501757651567459,0.4025061530414941,144.18332211495377,5,1
26,0.004586390685290098,0.004588290583342314,2.002343535423279,0.47569518145539846,306.02370170839856,10,1
27,0.004749290645122528,0.004750590305775404,1.4016404747962952,0.3071932387509054,309.1692296817456,10,1
28,0.004829490091651678,0.0048308903351426125,1.501757651567459,0.6751995384268367,159.05762854932598,5,1
29,0.004906489979475737,0.0049077901057899,1.4016404747962952,0.16056681178728494,306.95213627449755,10,1
30,0.004953490104526281,0.0049547902308404446,1.4016404747962952,0.09369982504923252,306.3668610753283,10,1
31,0.004979489836841822,0.004980789963155985,1.4016404747962952,0.04943327171269251,306.21708880724714,10,0
32,0.004994189832359552,0.004995590075850487,1.501757651567459,0.027671087426903353,306.08021961101525,10,0
33,0.005002089776098728,0.005145189817994833,143.36779713630676,0.09829028889554421,305.8464678339762,10,1
34,0.00518948957324028,0.005190789699554443,1.4016404747962952,0.09029831497242448,305.67534093882216,10,1
35,0.005214589647948742,0.005215989425778389,1.501757651567459,0.04741246814512003,305.6110678915174,10,0
36,0.005227489396929741,0.005341789219528437,114.53405022621155,0.273283732135277,192.37645453581268,6,1
37,0.005422588903456926,0.0054238890297710896,1.4016404747962952,0.1592945248304297,305.7793870161471,10,1
38,0.005468688905239105,0.005469989031553268,1.4016404747962952,0.09050749144676158,305.662786627582,10,1
39,0.0054942891001701355,0.0054956888779997826,1.501757651567459,0.046660431492726286,305.6571677492606,10,0
40,0.005507688969373703,0.00560188852250576,94.4104976952076,0.1681585462557329,213.513544377107,7,1
41,0.0056517887860536575,0.0056552886962890625,3.604218363761902,0.2118240517042299,151.12211197935954,5,1
42,0.005729288328438997,0.005731288343667984,2.1024607121944427,0.11818911025788223,218.63933419707809,7,1
43,0.005771588534116745,0.005772988311946392,1.501757651567459,0.07567730585160322,305.642198734532,10,0
44,0.0057851881720125675,0.005786688532680273,1.601874828338623,0.06801548843840208,140.7719839026394,5,0
45,0.005801888182759285,0.005803288426250219,1.501757651567459,0.04060136352752905,305.584808471044,10,0
46,0.005812888499349356,0.005891288165003061,78.5919837653637,0.09083095930385574,275.66640692393105,9,1
47,0.005925588309764862,0.005926988087594509,1.501757651567459,0.06402721167167673,140.7683281753365,5,1
48,0.005948188249021769,0.005949688144028187,1.601874828338623,0.03736917687159739,140.787362416581,5,0
49,0.00596128823235631,0.005965888034552336,4.705507308244705,0.09082746087537545,280.8693499796228,9,1
50,0.005986988078802824,0.005988487973809242,1.601874828338623,0.0393012007591017,140.8013426555289,5,0
51,0.005999087821692228,0.006060387939214706,61.47194653749466,0.15670969463980453,136.6887729225115,5,1
52,0.006137387827038765,0.006138687487691641,1.4016404747962952,0.1265299552603067,290.82399573202554,10,1
53,0.0061820875853300095,0.006187687627971172,5.706679075956345,0.15103103422865471,136.11943792022993,5,1
54,0.00621308758854866,0.0062145874835550785,1.601874828338623,0.1355985377636678,125.77357765494665,4,1
55,0.006259087473154068,0.006260587368160486,1.601874828338623,0.07541640612889267,125.77466150880566,4,0
56,0.00627658748999238,0.006277887150645256,1.4016404747962952,0.09887054184462364,290.83409812604,10,1
57,0.006299487315118313,0.006300887558609247,1.501757651567459,0.05100102008222631,125.75050758326326,4,0
58,0.006317887455224991,0.00632108747959137,3.30386683344841,0.030214068277824767,252.62602808720982,8,0
59,0.00633738748729229,0.006342387292534113,5.105976015329361,0.027067644580034477,174.65341784224285,6,0
60,0.006350987125188112,0.006464287173002958,113.53287845849991,0.056867678610127585,256.09433677697007,9,1
61,0.006488986779004335,0.006490487139672041,1.601874828338623,0.04456033363489864,125.80574709740068,4,0
62,0.006504986900836229,0.006506586913019419,1.701992005109787,0.025131527698291245,125.80266010544725,4,0
63,0.006513986736536026,0.0065214866772294044,7.6089054346084595,0.04069977763522862,289.05574926689826,10,0
64,0.006532286759465933,0.006533786654472351,1.601874828338623,0.02137529251968011,125.79202630422907,4,0
65,0.006540386937558651,0.006552787031978369,12.514647096395493,0.021236699663386236,222.33181045998987,7,0
66,0.006558686960488558,0.006619086489081383,60.570891946554184,0.0927707204289572,304.03850243947664,10,1
67,0.0066603864543139935,0.006661886814981699,1.601874828338623,0.07237170663242304,125.8021587685523,4,1
68,0.006685586646199226,0.00669328635558486,7.809139788150787,0.09103783301222296,311.2944216122122,10,0
69,0.006703686434775591,0.006726886611431837,23.327302187681198,0.1920095688781712,321.83259627657424,11,1
70,0.006789186503738165,0.006790586281567812,1.501757651567459,0.11831559622827063,126.05206555868368,4,1
71,0.006829786114394665,0.006831086240708828,1.4016404747962952,0.16855332556905525,324.1819085343527,11,0
72,0.006842286325991154,0.006843786220997572,1.601874828338623,0.03172445781333253,127.35506495347616,4,0
73,0.006854186300188303,0.006855786312371492,1.701992005109787,0.01842307832618106,127.88089129922226,4,0
74,0.006861086003482342,0.006893486250191927,32.53808245062828,0.06436791261041112,6.2273554208489275,0,1
75,0.006915885955095291,0.006917386315762997,1.601874828338623,0.03972352267711317,128.99517163653107,4,0
