case,time_ms,magnetic_phase_deg,s_mm,v_s_mm_s,rocking_deg,omega_rad_s,F_mag_N,F_wall_N,F_fluid_inferred_N
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.5,367.2,0.06371542988198542,13.326954479486687,-4.1864179464252,222.6757844783139,2.6503247872247017e-05,0.0,-7.218207168203843e-05
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.5,367.2,0.06917924740391596,8.42697169931409,-5.062090337190249,208.61347032734113,2.647075364662643e-05,0.0,-1.1556722684785505e-05
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,9.0,388.8,0.0701117332303003,12.258382678959029,3.4885829976254366,303.5369294177705,2.6517640839564764e-05,0.0,-0.00026582090423327045
TRUECEL_A14P5_TAIL_CONTACT_REFINE,9.0,388.8,0.07272037366114592,5.458076501114288,2.379002106095098,298.45801638801,2.6537385302452823e-05,0.0,-4.2449833489201044e-05
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,9.5,410.4,0.07376764953519718,6.76750226169828,10.560601938402561,136.5826335208276,2.6119592455404104e-05,0.0,0.00027446269927838124
TRUECEL_A14P5_TAIL_CONTACT_REFINE,9.5,410.4,0.07601083092007893,8.704014518355153,9.57382148565537,157.57481445043896,2.6200707537388043e-05,0.0,0.0002286553842843221
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,10.0,432.0,0.07755406987585821,8.241829557879166,12.36660073443661,-25.381618630495094,2.596010032469536e-05,0.0,-2.509098972103011e-05
TRUECEL_A14P5_TAIL_CONTACT_REFINE,10.0,432.0,0.08156608265193901,8.269750187638985,12.848338427471216,-33.70945888216612,2.5909427566648037e-05,-2.399023245175259e-05,0.0005972888262729609
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,10.3,444.96000000000004,0.08052769581121488,12.01274654534151,12.112298777884634,-2.841015957467614,2.5985600854059035e-05,0.0,0.00025310646261308387
TRUECEL_A14P5_TAIL_CONTACT_REFINE,10.3,444.96000000000004,0.08371393440615825,1.9342693942850326,12.458448304076741,-9.914543479167097,2.594873858575107e-05,0.0,0.00015797225166024834
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,10.682020978413481,461.4633062674624,0.08532289476192927,13.160573261179826,12.380165342791793,26.351734835758638,2.5960354919335446e-05,0.0,1.0199167134484819e-05
TRUECEL_A14P5_TAIL_CONTACT_REFINE,10.682020978413481,461.4633062674624,0.08460765998537267,-1.0559695479139819e-14,12.52931221082231,18.954961973698886,2.594211321736192e-05,0.0,-0.0005547580556180141
