case,start_ms,end_ms,magnetic_phase_start_deg,magnetic_phase_end_deg,J_mag_s_Ns,J_wall_s_Ns,J_fluid_inferred_s_Ns,Delta_p_s_Ns,closure_residual_Ns,closure_relative,TAIL_whole_GC_nodal_impulse_Ns,MID_whole_GC_nodal_impulse_Ns,HEAD_whole_GC_nodal_impulse_Ns,TAIL_area_mm2,TAIL_facet_count,TAIL_surface_node_count,TAIL_peak_active_contact_node_count,TAIL_whole_GC_nodal_impulse_per_area_Ns_mm2,v_s_end_mm_s,delta_s_mm,S_J,local_force_semantics
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.333333333333334,9.0,360.0,388.79999999999995,1.7685873366243477e-08,0.0,-3.38718977603724e-08,-1.6420279867106487e-08,-2.342554729775622e-10,0.004543553141625851,-1.102668307874075e-07,3.968757503886659e-08,3.733078211860736e-08,2.207271756844783,438,466,223,-4.995616441222899e-08,12.258382678959029,0.00867559156628478,0.18757173844755418,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.333333333333334,9.0,360.0,388.79999999999995,1.7674595266011118e-08,0.0,-4.022530850780327e-08,-2.3147364542866747e-08,-5.966513010745953e-10,0.010304875521130569,-6.011289415106933e-07,1.8925652793425271e-07,3.445076642789598e-07,2.207271756844788,1134,814,460,-2.723402497434138e-07,5.458076501114288,0.00486107395687127,0.18757173844755418,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.333333333333334,9.5,360.0,410.4,3.084039629403791e-08,-1.1119358310565171e-08,-9.288725832764467e-08,-7.143236195498057e-08,1.7338583891913455e-09,0.012857966605923274,-4.1647072544218826e-07,1.5450368651841404e-07,1.6458839666194817e-07,2.207271756844783,438,466,254,-1.8868121886247414e-07,6.76750226169828,0.01233150787118166,0.840038921844939,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.333333333333334,9.5,360.0,410.4,3.0859716305500394e-08,-7.817009553141993e-09,-1.4858345988957712e-08,9.373068445489502e-09,1.188707682088811e-09,0.022204279196126626,-1.401827679083226e-06,3.9303117699221037e-07,9.992662838011874e-07,2.207271756844788,1134,814,484,-6.350951914897357e-07,8.704014518355153,0.00815153121580428,0.840038921844939,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.333333333333334,10.0,360.0,432.0,4.3834075463492724e-08,-1.5603752454973126e-08,-8.821475011267715e-08,-5.6661358385691796e-08,3.323068718465758e-09,0.022505998627161482,-5.790269109616436e-07,1.6016840088606584e-07,3.189482162230494e-07,2.207271756844783,438,466,254,-2.623269695569077e-07,8.241829557879166,0.016117928211842686,0.6497031937776628,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.333333333333334,10.0,360.0,432.0,4.38684774426633e-08,-1.1121966021476818e-08,-3.090134522617236e-08,5.022257064841823e-09,3.1770908698277063e-09,0.03698945985724992,-2.534553217733474e-06,5.849077613058317e-07,1.8897465759755176e-06,2.207271756844788,1134,814,500,-1.1482742031531823e-06,8.269750187638985,0.013706782947664364,0.6497031937776628,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.333333333333334,10.3,360.0,444.96,5.162688070271001e-08,-1.5603752454973126e-08,-5.8094319916448796e-08,-1.888126137088073e-08,3.189930297831179e-09,0.02545327342707464,-7.214341993885105e-07,1.2251611411433706e-07,5.219460369577115e-07,2.207271756844783,438,466,254,-3.268443032224429e-07,12.01274654534151,0.01909155414719936,0.7550188153789607,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.333333333333334,10.3,360.0,444.96,5.164811138260523e-08,-1.120744737117452e-08,-1.0195662452001232e-07,-5.845171486405487e-08,3.0642456445267344e-09,0.01859234908281202,-3.452002734742073e-06,7.886587318014893e-07,2.489741236498929e-06,2.207271756844788,1134,814,508,-1.5639228491178544e-06,1.9342693942850326,0.0158546347018836,0.7550188153789607,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_FORCE_FLUX_DIAG_2CYCLES,8.333333333333334,10.682020978413481,360.0,461.4633062674624,6.155116939243726e-08,-1.5603752454973126e-08,-5.632844837488057e-08,-7.381404751192535e-09,2.9996266862239005e-09,0.022471913027282707,-9.260682292742163e-07,1.8643837191876093e-07,6.67255600197157e-07,2.207271756844783,438,466,254,-4.195533361048384e-07,13.160573261179826,0.023886753097913743,1.327736636260353,whole_GC_nodal_not_pair_isolated
TRUECEL_A14P5_TAIL_CONTACT_REFINE,8.333333333333334,10.682020978413481,360.0,461.4633062674624,6.156182393110122e-08,-1.1207447371174524e-08,-1.3111779294590944e-07,-7.783079046074314e-08,2.9326259252395986e-09,0.014383580125857357,-4.524237405607571e-06,1.1753350906909926e-06,3.143983060091947e-06,2.207271756844788,1134,814,508,-2.049696595617568e-06,-1.0559695479139819e-14,0.016748360281098024,1.327736636260353,whole_GC_nodal_not_pair_isolated
