case,start_ms,end_ms,J_whole_Ns,J_wall_Ns,J_robotCEL_Ns
TRUECEL_A14P5_DIAG_2CYCLES,8.333333,9.0,-2.7676448105056642e-08,0.0,-2.7676448105056642e-08
TRUECEL_A14P5_COARSETRAJ_CEL_COARSE_REPLAY_VVR,8.333333,9.0,-1.626310317221618e-08,0.0,-1.626310317221618e-08
TRUECEL_A14P5_COARSETRAJ_CEL_HREFINE_REPLAY_VVR,8.333333,9.0,6.629092024879034e-11,0.0,6.629092024879034e-11
TRUECEL_A14P5_DIAG_2CYCLES,8.333333,9.5,1.2012783615402152e-07,0.0,1.2012783615402152e-07
TRUECEL_A14P5_COARSETRAJ_CEL_COARSE_REPLAY_VVR,8.333333,9.5,0.009043313744628896,0.009043373408350618,-5.966372172162219e-08
TRUECEL_A14P5_COARSETRAJ_CEL_HREFINE_REPLAY_VVR,8.333333,9.5,0.03660578034699329,0.03660577699055688,3.3564364099567223e-09
TRUECEL_A14P5_DIAG_2CYCLES,8.333333,10.0,1.1735809526753592e-07,0.0,1.1735809526753592e-07
TRUECEL_A14P5_COARSETRAJ_CEL_COARSE_REPLAY_VVR,8.333333,10.0,0.008895455261085023,0.008895514245764517,-5.898467949042448e-08
TRUECEL_A14P5_COARSETRAJ_CEL_HREFINE_REPLAY_VVR,8.333333,10.0,0.0360001400276478,0.03600014519576447,-5.168116674784391e-09
TRUECEL_A14P5_DIAG_2CYCLES,8.333333,10.3,1.4771955479760426e-07,0.0,1.4771955479760426e-07
TRUECEL_A14P5_COARSETRAJ_CEL_COARSE_REPLAY_VVR,8.333333,10.3,0.008895464676301623,0.008895514245764517,-4.956946289139754e-08
TRUECEL_A14P5_COARSETRAJ_CEL_HREFINE_REPLAY_VVR,8.333333,10.3,0.03600013561523352,0.03600014519576447,-9.580530957446814e-09
TRUECEL_A14P5_DIAG_2CYCLES,8.333333,10.682021,1.4935245113054884e-07,0.0,1.4935245113054884e-07
TRUECEL_A14P5_COARSETRAJ_CEL_COARSE_REPLAY_VVR,8.333333,10.682021,0.008895454477219584,0.008895514245764517,-5.976854492953747e-08
TRUECEL_A14P5_COARSETRAJ_CEL_HREFINE_REPLAY_VVR,8.333333,10.682021,0.03600013058814687,0.03600014519576447,-1.4607617600974672e-08
