case,cycle,end_ms,complete_cycle,ETOTAL_N_mm,ALLPW_N_mm,ALLFD_N_mm,ALLIE_N_mm,ALLKE_N_mm,minimum_stable_dt_s
0x,1,10.0,True,-0.002516439043346449,0.0033981146111473452,0.0008268332560965818,0.00010808573347010585,0.00018465954047092417,1.6582024865e-07
0x,2,20.0,True,-0.022887653604511657,0.03432125719819243,0.010057711392377912,0.0007531788191351028,0.00038916253469494807,1.6579040432e-07
0x,3,30.0,True,-0.05285380678566983,0.07658021670342283,0.021615754376564704,0.00037840655506890026,0.0007033581647827007,1.386522214e-07
0x,4,40.0,True,-9.213949151118042,9.960832217259634,2.67490712166534,-2.35355687302761,0.024393439803350576,6.7226461992e-08
0x,C5 partial,40.75004160404205,False,-9.988727569580078,10.45299243927002,2.806340217590332,-2.799276828765869,0.026785144582390785,1.4605196127e-07
0.3x,1,10.0,True,-0.000823832195235219,0.0012541836083822455,0.00040734816900576276,5.823440421824629e-05,0.0001784953143230869,1.7431327034e-07
0.3x,2,20.0,True,-0.04107248967773634,0.05950897061771934,0.016095931324240507,0.0011884187547822468,0.0004133625841697476,1.3031059654e-07
0.3x,3,30.0,True,-0.14410604616006203,0.21050218500683643,0.05776943081237959,-0.0035632820081096485,0.007514627459186029,1.3958060578e-07
0.3x,C4 partial,37.14011237025261,False,-8.22007942199707,10.272858619689941,2.7585606575012207,-1.197485089302063,0.058575745671987534,3.615615496e-08
1x,1,10.0,True,-0.0009360766479151974,0.0014129438314175555,0.0004201119351755507,5.9342220239192e-05,0.0001520859582885227,1.6301816651e-07
1x,2,20.0,True,-0.03058164600877587,0.04525348970146354,0.012838789418749854,0.0009041417078166312,0.0002527776047566035,1.6570954633e-07
1x,3,30.0,True,-0.05428948373518778,0.07986641097695855,0.022486154374551454,0.0014828349660074979,0.00030341849531522955,1.5876062852e-07
1x,4,40.0,True,-0.07335128873387309,0.10832839042313788,0.03064606622617314,0.0022150288009548866,0.00031323564759665347,1.4356738042e-07
1x,5,50.0,True,-5.157426922223096,5.995639230642428,1.598160104742658,-0.9823881905891474,0.02857194101193744,3.1934845761e-08
3x,1,10.0,True,-0.0005980800291310728,0.0009315027366745381,0.00027586848014449027,3.9047193988476074e-05,8.29836037497506e-05,1.7724556413e-07
3x,2,20.0,True,-0.03303316710257749,0.04845990752446542,0.013480575250936757,0.0008987610057167231,0.00036673858391992535,1.5243831936e-07
3x,3,30.0,True,-0.0647474386250334,0.09401295466764298,0.025808843291015363,0.0017237458619040677,0.0002280551539989313,1.0518488245e-07
3x,4,40.0,True,-0.08435070650874364,0.12379845439610655,0.03486181482661747,0.0021370605491491646,0.0002712831910889599,1.6773432287e-07
3x,5,50.0,True,-0.10662110022947474,0.1559910161382747,0.04389421221107807,0.002362825892900802,0.00021183175129930123,1.5101608772e-07
