time_s,magnetic_N,wall_N,fluid_N,reaction_N,no_fluid_wall_N,inertia_N,closure_residual_N,magnetic_J_Ns,wall_J_Ns,fluid_J_Ns,reaction_J_Ns,no_fluid_wall_J_Ns,inertia_J_Ns,closure_residual_J_Ns
0.0,0.0,0.0,0.0,4.3836580157884775e-13,0.0,4.383657955463341e-13,-6.032513652124018e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1216363418498076e-05,1.0948122633831867e-08,0.0,3.860343391215553e-11,2.7159551769677726e-11,0.0,1.1013885411943259e-08,-2.0757044140226204e-16,4.1015477976787956e-14,0.0,8.464744260761479e-17,-9.505768573850005e-17,0.0,4.100506803521818e-14,3.0156110623825403e-22
2.243266862933524e-05,4.346229121596645e-08,0.0,1.0268211029351889e-10,-3.6136222256773226e-11,0.0,4.352883173300914e-08,-5.370994056583078e-15,3.262366195579402e-13,0.0,7.582797589688237e-16,-8.070926198076134e-16,0.0,3.2618780662170676e-13,-7.539473188251875e-23
3.3648972021183e-05,9.704754144008232e-08,0.0,1.8814827757036913e-10,-1.7892440034137829e-10,0.0,9.705676296462786e-08,-2.3526834433122254e-15,1.0947788227069738e-12,0.0,2.6703767321980363e-15,-2.673751397287698e-15,0.0,1.0947754518835374e-12,3.841653646830563e-21
4.486527541303076e-05,1.7120892533685037e-07,0.0,3.312256670720222e-10,-4.457686034713257e-10,0.0,1.7109439766040572e-07,1.5259954677682987e-14,2.5802060263705293e-12,0.0,6.313948145966886e-15,-6.227637344362171e-15,0.0,2.5802923399831714e-12,2.8110388708560332e-21
5.6081582442857325e-05,2.654515272359355e-07,0.0,9.306456600623516e-10,-1.2268806921026608e-09,0.0,2.65155276550045e-07,-1.5653850197386418e-14,5.010531600537299e-12,0.0,1.2207461586022796e-14,-1.2283676567181827e-14,0.0,5.010455386894081e-12,1.3379452731290177e-21
6.729788583470508e-05,3.7928033860229326e-07,0.0,8.759927041576118e-10,-1.4089877923401456e-09,0.0,3.7874733260435937e-07,-1.0909751379290005e-14,8.608214941580387e-12,0.0,2.0549617610550504e-14,-2.05758322316136e-14,0.0,8.608188730564431e-12,3.605108502952473e-21
7.851418922655284e-05,5.122004416778001e-07,0.0,1.3893227468420624e-09,-9.386050519872998e-10,0.0,5.126511550987832e-07,-4.2738716008621815e-15,1.359016611748765e-11,0.0,3.205887507923084e-14,-3.212673898307714e-14,0.0,1.3590098257480867e-11,3.8970613818180625e-21
8.97304926184006e-05,6.637168934908542e-07,0.0,1.2708885047090624e-09,-9.920379604190317e-10,0.0,6.639957199154507e-07,-2.4119693571682526e-14,2.0167743130731184e-11,0.0,4.637681220479064e-14,-4.630359958419965e-14,0.0,2.0167816345414958e-11,2.0631729055750145e-21
0.00010094679601024836,8.333347531672685e-07,0.0,2.0648533097499867e-09,-2.020308649869303e-09,0.0,8.333792795904326e-07,-1.8236716551415784e-14,2.854675256544058e-11,0.0,6.419501730940883e-14,-6.447790594294327e-14,0.0,2.8546469681087125e-11,4.2800710213426345e-21
0.00011216309212613851,1.0205589551881388e-06,0.0,1.645159236484801e-09,-1.880224131662795e-09,0.0,1.0203238874901046e-06,-2.8028561629034766e-15,3.892744218585085e-11,0.0,8.608209510723233e-14,-8.64040888308522e-14,0.0,3.892712017830975e-11,-1.3817500999039124e-20
0.00012337938824202865,1.2248946679747297e-06,0.0,2.1044198279122937e-09,-2.6731186417352985e-09,0.0,1.2243260350860822e-06,6.592517567819475e-14,5.15045202644951e-11,0.0,1.1175293219514696e-13,-1.1205391883271603e-13,0.0,5.1504219243142363e-11,-3.4715162288330406e-20
0.0001345956843579188,1.4458469583363325e-06,0.0,3.3923023501010197e-09,-4.358924636367163e-09,0.0,1.444880373865818e-06,3.7815751625333875e-14,6.646713891310812e-11,0.0,1.4266019525845286e-13,-1.4245012951691777e-13,0.0,6.646734906334799e-11,8.449833903837383e-20
0.00014581198047380894,1.6829208953058972e-06,0.0,3.4200868576031064e-09,-2.6160916078177505e-09,0.0,1.6837247842695e-06,-1.062861825359637e-13,8.39988989370209e-11,0.0,1.7651343275876412e-13,-1.7664434290245113e-13,0.0,8.399876813004963e-11,1.0317230974115229e-19
0.00015702826203778386,1.9356212117529095e-06,0.0,4.1599531483036516e-09,-3.6909779182991234e-09,0.0,1.936090298695716e-06,1.1171280202705147e-13,1.042778216923061e-10,0.0,2.1311303888373437e-13,-2.1368561773975177e-13,0.0,1.0427724922220427e-10,1.0875413750101777e-19
0.000168244558153674,2.203453637466887e-06,0.0,3.632754262288514e-09,-3.5227303594179075e-09,0.0,2.2035635052561885e-06,-1.5611356947290746e-13,1.2747645788158472e-10,0.0,2.5647398358637093e-13,-2.5714839865010456e-13,0.0,1.2747578348673374e-10,2.021273044868825e-20
0.0001794608251657337,2.4859221783666725e-06,0.0,4.301663131785436e-09,-4.619653172881051e-09,0.0,2.4856043043338406e-06,1.160082636507062e-13,1.5376165770465336e-10,0.0,3.044352203487091e-13,-3.045086278991463e-13,0.0,1.537615843707594e-10,7.365633363111493e-20
