time_s,rp_x_mm,rp_y_mm,rp_z_mm,v_x_mm_s,v_y_mm_s,v_z_mm_s,s_displacement_mm,v_s_mm_s,rocking_angle_deg,omega_rock_rad_s,command_rocking_deg,Fmag1_N,Fmag2_N,Fmag3_N,Mmag1_Nmm,Mmag2_Nmm,Mmag3_Nmm
0.0,-10.591104434430079,-3.464137020895571,-10.215768586540108,0.0,0.0,0.0,0.0,0.0,3.583314024814096e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-05,-10.591104434423134,-3.4641370208959774,-10.215768586537932,2.775395599261915e-06,-1.6383262240947438e-07,8.698010656846468e-07,7.2583957250839086e-12,2.9001727162556954e-06,2.8902798846172734e-10,2.522338773843074e-06,0.0911055875006048,8.5028519204e-09,-5.3852232121e-10,1.8071666541e-09,1.0939648559e-08,1.5513345728e-07,-5.2432256379e-09
2e-05,-10.591104434319503,-3.464137020902278,-10.215768586505428,2.2058806134018738e-05,-1.361978995133743e-06,6.921443471181657e-06,1.1556448329201782e-10,2.3055950290228078e-05,9.224198369095883e-09,4.019218064421608e-05,0.1822075783086128,3.3783110801e-08,-2.1396302577e-09,7.1801451892e-09,3.8914880834e-08,6.1821749856e-07,1.12687598e-09
3.0000000000000004e-05,-10.591104433873179,-3.464137020930559,-10.215768586365284,7.396471314064675e-05,-4.76790311308418e-06,2.3235874261631023e-05,5.821294983502208e-10,7.732640767229898e-05,6.977287907015185e-08,0.00020246344622623853,0.2733023758734186,7.549833230500001e-08,-4.781635331400001e-09,1.6046153674000004e-08,7.679639890000002e-08,1.3856851919000001e-06,5.159126072000003e-08
4e-05,-10.591104432679142,-3.464137021009382,-10.215768585989927,0.00017418086501720803,-1.1702598405625967e-05,5.4783308354153e-05,1.8306010304248277e-09,0.00018214015446495874,2.927760384404586e-07,0.0006365269880186761,0.36438638392839345,1.3330607341e-07,-8.4428491472e-09,2.8332410457e-08,1.1762758461e-07,2.4536885408e-06,1.777346787e-07
5e-05,-10.591104430177623,-3.464137021181236,-10.215768585202637,0.00033797078859403544,-2.3629898423946434e-05,0.0001064234682466124,4.44676970437814e-09,0.0003534975467075498,8.895597049075443e-07,0.0015456866645560282,0.45545600663286023,2.0686389242e-07,-1.3101583394e-08,4.3966134165e-08,1.5464735134e-07,3.8184973779e-06,4.1025706211e-07
6.000000000000001e-05,-10.59110442565832,-3.464137021503945,-10.215768583778646,0.0005801764052958765,-4.215175771401441e-05,0.00018290572834296303,9.174298834253428e-09,0.0006069729791365709,2.2036229819731818e-06,0.003187721422218201,0.546507648714051,2.9582934894000004e-07,-1.8736149843000003e-08,6.287454370700001e-08,1.8126553797e-07,5.475965565000001e-06,7.789303039300003e-07
7.000000000000001e-05,-10.591104418264617,-3.4641370220520193,-10.215768581446259,0.000915221448600183,-6.900326980848422e-05,0.00028886661212823247,1.6910471018563397e-08,0.0009577173942100034,4.741330113804196e-06,0.005873078036898009,0.6375377156090412,3.9986000390000013e-07,-2.532486035000001e-08,8.498485827200003e-08,1.9107242923e-07,7.421756884800003e-06,1.312620894500001e-06
8e-05,-10.591104406997722,-3.4641370229179715,-10.21576857788796,0.0013571134615722805,-0.00010604835690422815,0.00042883318678947825,2.870198743272091e-08,0.001420460670112309,9.201672908575636e-06,0.009963457781084428,0.7285426136066586,5.1861341958e-07,-3.2846026855e-08,1.1022429733e-07,1.7786289499e-07,9.6520003402e-06,2.0393717884e-06
9e-05,-10.591104390720878,-3.4641370242135734,-10.215768572741524,0.0019194458455272343,-0.00015527460310162005,0.0006072206617074578,4.574071465481477e-08,0.0020095128030493317,1.6505139441651468e-05,0.015869985929764952,0.8195187499893557,6.5174715956e-07,-4.1277961382e-08,1.3852008064e-07,1.3559222772e-07,1.2161552631e-05,2.9860926503e-06
0.0001,-10.591104368163379,-3.4641370260710698,-10.215768565601143,0.002615404043594084,-0.0002187879470979468,0.0008283297682317746,6.93595966396792e-08,0.0027387690722926634,2.7821432992643845e-05,0.02405122427875579,0.9104625331750439,7.9891878875e-07,-5.0598976038e-08,1.6979942822e-07,5.8415121105e-08,1.4946067564e-05,4.1789934212e-06
0.00011,-10.5911043379248,-3.464137028644341,-10.215768556018554,0.003457762454851483,-0.0002988093397993796,0.0010963531425297402,1.0102836676702898e-07,0.0036217081452557145,4.4596373397555264e-05,0.035012275183915025,1.001370372858884,9.5978587341e-07,-6.0787383016e-08,2.0398956041e-07,-5.9322736601e-08,1.8001456763e-05,5.643463536e-06
0.00012000000000000002,-10.591104298478896,-3.464137032110032,-10.215768543504105,0.004458893885168317,-0.0003976683114094193,0.0014153693222062455,1.4234958982296537e-07,0.004671399660727768,6.857800076677178e-05,0.049302258908497085,1.0922386801550246,1.1340059811000001e-06,-7.182149459300001e-08,2.4101769781000007e-07,-2.2308767640000025e-07,2.1320964498000004e-05,7.4032148568000025e-06
0.00013000000000000002,-10.591104248177801,-3.4641370366685895,-10.215768527527988,0.005630766928300298,-0.000517797593496365,0.0017893407351403515,1.9505437248153775e-07,0.005900500922255951,0.00010184095945361413,0.06751252791338301,1.1830638677382845,1.3212366809000005e-06,-8.367962313200004e-08,2.808110613000001e-07,-4.3817230617000064e-07,2.490109762800001e-05,9.482116375000006e-06
0.00014000000000000001,-10.5911041852559,-3.4641370425453117,-10.215768507521263,0.006984950898744328,-0.0006617319301110738,0.0022221254781335685,2.6099843403756353e-07,0.007321264084493558,0.00014681096000383333,0.09027647025934486,1.273842349985776,1.5211355429000006e-06,-9.634008108000004e-08,3.232968720600001e-07,-7.096697433400008e-07,2.873688848800001e-05,1.1902661944000007e-05
0.00015000000000000001,-10.591104107833889,-3.464137049991308,-10.215768482877008,0.00853262072437648,-0.0008320970660886525,0.002717459664181552,3.421579545409327e-07,0.008945536586053245,0.00020628759262958217,0.11826515224161799,1.3645705431184578,1.7333601388000006e-06,-1.0978118097000004e-07,3.684023515600001e-07,-1.042419846400001e-06,3.2820288713000014e-05,1.4685239333000008e-05
0.00016,-10.59110401392252,-3.4641370592844014,-10.215768452951467,0.010284561483789069,-0.001031609571895804,0.0032789697951847766,4.406257593121838e-07,0.010784768135665783,0.00028346577354298845,0.15218764823172232,1.455244865342616,1.9575680416e-06,-1.2398123542e-07,4.1605472154e-07,-1.4412061525e-06,3.7148766265e-05,1.7851619539e-05
0.00017,-10.591103901427124,-3.4641370707299877,-10.21576841706529,0.012251154656076634,-0.0012630723812833715,0.003910173705838127,5.586066703917714e-07,0.012849997208058201,0.0003819571301584925,0.19278977659233543,1.5458617369912688,2.1934168257e-06,-1.3891855714e-07,4.6618120404e-07,-1.910492254e-06,4.1715484457e-05,2.1420790614e-05
0.00018,-10.59110376815067,-3.4641370846619033,-10.21576837450442,0.014442408759558838,-0.0015293612765584022,0.004614463339314403,6.984144139404928e-07,0.01515187654631971,0.0005058100228579049,0.24084835489504638,1.6364175806654846,2.4405640667e-06,-1.5457145892e-07,5.1870902139e-07,-2.4545196637e-06,4.6512766669e-05,2.5410451562e-05
0.00019,-10.591103611798136,-3.464137101443118,-10.215768324521482,0.016867941552316197,-0.0018334319232510758,0.005395127424961879,8.624670943368314e-07,0.017700660925121563,0.0006595273599842226,0.29717464458304105,1.7269088213756112,2.6986673417e-06,-1.7091825362e-07,5.7356539619e-07,-3.0775600635e-06,5.153797656e-05,2.983995263e-05
0.0002,-10.591103429980052,-3.4641371214665684,-10.215768266336664,0.01953699022188991,-0.002178310834650575,0.006255343080517361,1.0532836039548057e-06,0.02050621479753561,0.0008480865122299307,0.36261081263335804,1.8173318866824117,2.9673842291e-06,-1.8793725422e-07,6.3067755135e-07,-3.7833389612e-06,5.6781811425e-05,3.4724095896e-05
0.00021,-10.591103220216985,-3.464137145155616,-10.215768199139292,0.02245841226192237,-0.0025670752616099393,0.0071981527622938775,1.2734789546676691e-06,0.02357800712470239,0.0010769532162474163,0.4380227887152792,1.9076832068380964,3.2463723085e-06,-2.0560677376e-07,6.8997271005e-07,-4.5756012735e-06,6.2238277061e-05,4.0078770325e-05
0.00022,-10.591102979942436,-3.464137172964828,-10.21576812208852,0.025640690129779552,-0.0030028758711260948,0.008226508090531322,1.525761343905634e-06,0.02692512641878503,0.0013520991892399157,0.5243085086268281,1.997959214927252,3.535289161e-06,-2.2390512536e-07,7.5137809576e-07,-5.4580721374e-06,6.7904081784e-05,4.5920588163e-05
0.00023,-10.591102706506938,-3.4641372053805424,-10.21576803431464,0.02909193377419942,-0.003488911520181803,0.00934323609208686,1.8129279257223664e-06,0.030556274646399074,0.0016800177664059834,0.6223886232760117,2.0881563470076565,3.8337923691e-06,-2.4281062224e-07,8.148209322e-07,-6.4335694244e-06,7.376648291e-05,5.2259088145e-05
0.00024000000000000003,-10.591102397181075,-3.4641372429213,-10.215767934920116,0.03281989928309453,-0.004028418911184697,0.010551038958867094,2.137861669429742e-06,0.03447978474433915,0.0020677347893960454,0.7332029150041439,2.178271042250978,4.141539516200001e-06,-2.6230157770000006e-07,8.802284433900002e-07,-7.505542255800003e-06,7.982279399500002e-05,5.910979016600002e-05
0.00025,-10.591102049162426,-3.464137286138078,-10.215767822981702,0.03683194024690858,-0.004624693843092644,0.01185251891658326,2.503524161139765e-06,0.03870357961074501,0.0025228207879236953,0.8577188159846842,2.2682997430833476,4.4581881873e-06,-2.8235630509e-07,9.4752785362e-07,-8.6770878557e-06,8.6068351061e-05,6.6485984254e-05
