case,factor,c_rot_N_mm_s,cycle,rocking_half_range_deg,rocking_fundamental_amplitude_deg,phase_lag_deg,theta_offset_deg,sinusoid_residual_rms_over_amplitude,omega_peak_abs_rad_s,theta_peak_abs_deg
TRUECEL_MAGNETIC_ONLY_DAMPING_0P1X,0.1,3.5006005000754735e-07,1,20.247902077070794,17.309947301450343,7.622052471709054,-0.7825128224776514,0.31483700531642067,386.72701833098347,24.601557015218415
TRUECEL_MAGNETIC_ONLY_DAMPING_0P1X,0.1,3.5006005000754735e-07,2,22.44547836642309,18.515744198829708,2.2138604559531814,-0.1214582088755467,0.21762872999687452,343.3780399630964,23.373894406633603
TRUECEL_MAGNETIC_ONLY_DAMPING_0P1X,0.1,3.5006005000754735e-07,3,18.100469826366062,17.6565025841844,-2.582185657253177,0.4855475184732419,0.16927845410632295,283.7561893642538,21.207359147769857
TRUECEL_MAGNETIC_ONLY_DAMPING_0P1X,0.1,3.5006005000754735e-07,4,17.55060408186509,17.521178705065388,3.366969590832241,-0.25777390568339625,0.12149477658216513,267.28761237763507,19.668059845613126
TRUECEL_MAGNETIC_ONLY_DAMPING_0P1X,0.1,3.5006005000754735e-07,5,19.260199458947778,18.05504118556017,1.950868706016081,-0.08535455218923413,0.0863734635274658,239.9098372651826,19.879144335976843
TRUECEL_MAGNETIC_ONLY_DAMPING_0P3X,0.3,1.050180150022642e-06,1,18.961453044929574,17.394053125194098,9.282768967906804,-0.6730163520759895,0.24061527325184684,336.92112957157275,23.26337200131719
TRUECEL_MAGNETIC_ONLY_DAMPING_0P3X,0.3,1.050180150022642e-06,2,19.386457979156813,18.07318230058843,4.269917786320235,-0.05203223452939143,0.09487569337287949,265.800497423339,20.16322738590574
TRUECEL_MAGNETIC_ONLY_DAMPING_0P3X,0.3,1.050180150022642e-06,3,17.475911023116673,17.70481087037884,2.940280370085702,0.11676587469565003,0.038495327069573315,222.08671368949084,18.300036107489515
TRUECEL_MAGNETIC_ONLY_DAMPING_0P3X,0.3,1.050180150022642e-06,4,17.664121726891757,17.711468464491357,4.120315550878246,-0.031961200091919606,0.01432798173599449,201.39433192691337,17.84676755714433
TRUECEL_MAGNETIC_ONLY_DAMPING_0P3X,0.3,1.050180150022642e-06,5,17.814484295300225,17.764725947221436,3.9223985173637743,-0.007174492009416833,0.005698986742068229,195.82566944365118,17.88045708560422
TRUECEL_MAGNETIC_ONLY_DAMPING_1P0X,1.0,3.5006005000754733e-06,1,18.133397844779807,17.012570994781324,16.72167889021651,-0.5010724024529836,0.13061613190687502,233.03093498832496,19.71673277493902
TRUECEL_MAGNETIC_ONLY_DAMPING_1P0X,1.0,3.5006005000754733e-06,2,17.423247971355078,17.38026768504166,12.860732579250339,-0.01889419060839126,0.007251454885794711,193.76439486718334,17.50518253682278
TRUECEL_MAGNETIC_ONLY_DAMPING_1P0X,1.0,3.5006005000754733e-06,3,17.34668938873409,17.35294470038742,12.704336063599726,0.000986130602035118,0.000351551085059902,190.32248087090977,17.35005352896112
TRUECEL_MAGNETIC_ONLY_DAMPING_1P0X,1.0,3.5006005000754733e-06,4,17.34810918295107,17.352426824598496,12.71318223974103,-0.00012811355286768134,0.00018545694996107564,189.94207501671036,17.34838262442959
TRUECEL_MAGNETIC_ONLY_DAMPING_1P0X,1.0,3.5006005000754733e-06,5,17.34818985475072,17.352438492393677,12.713401126121568,-0.00015454083576355027,0.000179676858069193,189.93764892696805,17.348357618107997
TRUECEL_MAGNETIC_ONLY_DAMPING_3P0X,3.0,1.050180150022642e-05,1,14.635965842585533,14.16824889616276,32.18240271896295,0.23632152702084053,0.10489645620715037,162.1270762420778,14.734079474527823
TRUECEL_MAGNETIC_ONLY_DAMPING_3P0X,3.0,1.050180150022642e-05,2,14.730200959000715,14.727685784248584,34.170963538886724,-9.928618537546896e-05,0.00015850121120488466,161.11291646457522,14.730375851110848
TRUECEL_MAGNETIC_ONLY_DAMPING_3P0X,3.0,1.050180150022642e-05,3,14.730205252185542,14.727699103253277,34.17146661277508,-0.0001621438701002731,0.00015958848948009595,161.11279143278853,14.730368799209126
TRUECEL_MAGNETIC_ONLY_DAMPING_3P0X,3.0,1.050180150022642e-05,4,14.730190053522259,14.72768370596227,34.17147352953478,-0.00016381564962575368,0.0001595955042546871,161.11262992451833,14.730359789550997
TRUECEL_MAGNETIC_ONLY_DAMPING_3P0X,3.0,1.050180150022642e-05,5,14.730171665283539,14.727665111694638,34.17147155069517,-0.0001658685613132871,0.00015960261259735718,161.11243264539445,14.730347813906336
