time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  2.0000186188E-02,  2.3549538443E-01,  7.0483497183E+00,  0.0000000000E+00,  1.8618792917E-07
  2.0010336964E-02,  2.3556769198E-01,  7.1517993286E+00,  0.0000000000E+00,  1.8370278618E-07
  2.0020453889E-02,  2.3564010155E-01,  7.1610288199E+00,  0.0000000000E+00,  1.8384958199E-07
  2.0030561247E-02,  2.3571259700E-01,  7.2074272071E+00,  0.0000000000E+00,  1.8422696234E-07
  2.0040664964E-02,  2.3578564966E-01,  7.2621381794E+00,  0.0000000000E+00,  1.8296422595E-07
  2.0050675140E-02,  2.3585941514E-01,  7.4502244306E+00,  0.0000000000E+00,  1.8167329895E-07
  2.0060848426E-02,  2.3593564489E-01,  7.5037288960E+00,  0.0000000000E+00,  1.8237649144E-07
  2.0070871062E-02,  2.3601110836E-01,  7.5564512693E+00,  0.0000000000E+00,  1.8191455404E-07
  2.0080875192E-02,  2.3608650143E-01,  7.5531936691E+00,  0.0000000000E+00,  1.8175188683E-07
  2.0091057568E-02,  2.3616369788E-01,  7.5810232541E+00,  0.0000000000E+00,  1.8401299356E-07
  2.0101163205E-02,  2.3624005341E-01,  7.5760019850E+00,  0.0000000000E+00,  1.8379743450E-07
  2.0111230566E-02,  2.3631656090E-01,  7.6096266467E+00,  0.0000000000E+00,  1.8274272702E-07
  2.0121345252E-02,  2.3639402627E-01,  7.6730556190E+00,  0.0000000000E+00,  1.8538630578E-07
  2.0131495970E-02,  2.3647099229E-01,  7.5200702828E+00,  0.0000000000E+00,  1.8425125198E-07
  2.0141642032E-02,  2.3654651765E-01,  7.3294434553E+00,  0.0000000000E+00,  1.8413156260E-07
  2.0151780280E-02,  2.3662008008E-01,  7.2368069693E+00,  0.0000000000E+00,  1.8452764646E-07
  2.0161918251E-02,  2.3669266650E-01,  7.1157521845E+00,  0.0000000000E+00,  1.8401166133E-07
  2.0172053331E-02,  2.3676387806E-01,  6.9395605380E+00,  0.0000000000E+00,  1.8431493850E-07
  2.0182159673E-02,  2.3683365734E-01,  6.8859790236E+00,  0.0000000000E+00,  1.8285994427E-07
  2.0192225905E-02,  2.3690258326E-01,  6.8370999139E+00,  0.0000000000E+00,  1.8266353765E-07
  2.0202336982E-02,  2.3697202999E-01,  6.8627270642E+00,  0.0000000000E+00,  1.8352407435E-07
  2.0212437038E-02,  2.3704062802E-01,  6.7279269962E+00,  0.0000000000E+00,  1.8505753407E-07
  2.0222560846E-02,  2.3710844842E-01,  6.6323708935E+00,  0.0000000000E+00,  1.8335300636E-07
  2.0232653759E-02,  2.3717527502E-01,  6.6129646612E+00,  0.0000000000E+00,  1.8291099692E-07
  2.0242729215E-02,  2.3724168321E-01,  6.6082209615E+00,  0.0000000000E+00,  1.8212118578E-07
  2.0252735798E-02,  2.3730865040E-01,  6.8046365361E+00,  0.0000000000E+00,  1.8157650156E-07
  2.0262780504E-02,  2.3737812434E-01,  7.0317018481E+00,  0.0000000000E+00,  1.8313167527E-07
  2.0272883177E-02,  2.3745024984E-01,  7.2372836535E+00,  0.0000000000E+00,  1.8458276503E-07
  2.0283024217E-02,  2.3752500588E-01,  7.5219065254E+00,  0.0000000000E+00,  1.8474995738E-07
  2.0293194002E-02,  2.3760302232E-01,  7.8016316086E+00,  0.0000000000E+00,  1.8547519092E-07
  2.0303263011E-02,  2.3768239978E-01,  7.9961149371E+00,  0.0000000000E+00,  1.7924856966E-07
  2.0313410526E-02,  2.3776513723E-01,  8.2375930688E+00,  0.0000000000E+00,  1.8360924920E-07
  2.0323532040E-02,  2.3784911578E-01,  8.2974726317E+00,  0.0000000000E+00,  1.8274544335E-07
  2.0333545187E-02,  2.3793204468E-01,  8.3063179061E+00,  0.0000000000E+00,  1.7501965286E-07
  2.0343668619E-02,  2.3801592605E-01,  8.2496161982E+00,  0.0000000000E+00,  1.7238421623E-07
  2.0353691671E-02,  2.3809964167E-01,  8.4380990458E+00,  0.0000000000E+00,  1.8046495166E-07
  2.0363830998E-02,  2.3818673380E-01,  8.6831343321E+00,  0.0000000000E+00,  1.8130335584E-07
  2.0373880334E-02,  2.3827276018E-01,  8.5100941811E+00,  0.0000000000E+00,  1.7704206361E-07
  2.0384049524E-02,  2.3836030126E-01,  8.6990020895E+00,  0.0000000000E+00,  1.7866453901E-07
  2.0394063090E-02,  2.3844636972E-01,  8.5042054255E+00,  0.0000000000E+00,  1.7841916448E-07
  2.0404179220E-02,  2.3853142707E-01,  8.3134114229E+00,  0.0000000000E+00,  1.8403725605E-07
  2.0414255707E-02,  2.3861498139E-01,  8.1060328696E+00,  0.0000000000E+00,  1.8261559219E-07
  2.0424317002E-02,  2.3869619051E-01,  8.1198512265E+00,  0.0000000000E+00,  1.8222144929E-07
  2.0434465713E-02,  2.3877849894E-01,  8.1156517500E+00,  0.0000000000E+00,  1.8062245655E-07
  2.0444553162E-02,  2.3886055917E-01,  8.1981052618E+00,  0.0000000000E+00,  1.7980670268E-07
  2.0454593010E-02,  2.3894338104E-01,  8.2954351459E+00,  0.0000000000E+00,  1.7883037414E-07
  2.0464744258E-02,  2.3902796473E-01,  8.4110514577E+00,  0.0000000000E+00,  1.7777355958E-07
  2.0474900522E-02,  2.3911368811E-01,  8.4501439998E+00,  0.0000000000E+00,  1.7750139677E-07
  2.0484909179E-02,  2.3919830495E-01,  8.4515969785E+00,  0.0000000000E+00,  1.8190852343E-07
  2.0494998910E-02,  2.3928396118E-01,  8.4884597117E+00,  0.0000000000E+00,  1.7821379363E-07
  2.0505161596E-02,  2.3937062662E-01,  8.6046693217E+00,  0.0000000000E+00,  1.7847067375E-07
  2.0515231662E-02,  2.3945841745E-01,  8.7813888519E+00,  0.0000000000E+00,  1.8147783103E-07
  2.0525305286E-02,  2.3954735516E-01,  8.7718614551E+00,  0.0000000000E+00,  1.8444756252E-07
  2.0535374162E-02,  2.3963470824E-01,  8.6579384333E+00,  0.0000000000E+00,  1.8231088851E-07
