time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  1.8696766625E-07,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00,  1.8696766625E-07
  1.0281671116E-05,  7.5485109390E-12,  2.9903231349E-06,  0.0000000000E+00,  1.8693841073E-07
  2.0376345294E-05,  1.2030884928E-10,  2.3782508385E-05,  0.0000000000E+00,  1.8693841061E-07
  3.0471019455E-05,  6.0620671319E-10,  7.9784789095E-05,  0.0000000000E+00,  1.8693841011E-07
  4.0565693570E-05,  1.9066717995E-09,  1.8796610535E-04,  0.0000000000E+00,  1.8693840878E-07
  5.0660367577E-05,  4.6323894161E-09,  3.6488142999E-04,  0.0000000000E+00,  1.8693840605E-07
  6.0755041382E-05,  9.5587920768E-09,  6.2663966108E-04,  0.0000000000E+00,  1.8693840120E-07
  7.0849714847E-05,  1.7621751060E-08,  9.8886709749E-04,  0.0000000000E+00,  1.8693839342E-07
  8.0944387794E-05,  2.9913012064E-08,  1.4669059721E-03,  0.0000000000E+00,  1.8693838190E-07
  9.1039059991E-05,  4.7676662529E-08,  2.0754850460E-03,  0.0000000000E+00,  1.8693836573E-07
  1.0113373116E-04,  7.2304301118E-08,  2.8291332681E-03,  0.0000000000E+00,  1.8693834379E-07
  1.1122840096E-04,  1.0533087151E-07,  3.7418329046E-03,  0.0000000000E+00,  1.8693831512E-07
  1.2132306901E-04,  1.4843033633E-07,  4.8271166213E-03,  0.0000000000E+00,  1.8693827831E-07
  1.3141773486E-04,  2.0341150399E-07,  6.0981808741E-03,  0.0000000000E+00,  1.8693823362E-07
  1.4151239802E-04,  2.7221471223E-07,  7.5676655862E-03,  0.0000000000E+00,  1.8693817884E-07
  1.5160705795E-04,  3.5690597420E-07,  9.2480142823E-03,  0.0000000000E+00,  1.8693811371E-07
  1.6170171404E-04,  4.5967463584E-07,  1.1151073227E-02,  0.0000000000E+00,  1.8693803745E-07
  1.7179636568E-04,  5.8282714434E-07,  1.3288575916E-02,  0.0000000000E+00,  1.8693794842E-07
  1.8189101219E-04,  7.2878623227E-07,  1.5671354214E-02,  0.0000000000E+00,  1.8693784745E-07
  1.9198565284E-04,  9.0008293562E-07,  1.8310379985E-02,  0.0000000000E+00,  1.8693773226E-07
  2.0208028668E-04,  1.0993552249E-06,  2.1215706504E-02,  0.0000000000E+00,  1.8693759249E-07
  2.1217491228E-04,  1.3293425808E-06,  2.4397480982E-02,  0.0000000000E+00,  1.8693742962E-07
  2.2226952850E-04,  1.5928831886E-06,  2.7865081946E-02,  0.0000000000E+00,  1.8693724484E-07
  2.3236413410E-04,  1.8929091445E-06,  3.1627679261E-02,  0.0000000000E+00,  1.8693703637E-07
  2.4245872775E-04,  2.2324425275E-06,  3.5694012971E-02,  0.0000000000E+00,  1.8693680236E-07
  2.5255330802E-04,  2.6145915341E-06,  4.0072424018E-02,  0.0000000000E+00,  1.8693654104E-07
  2.6264787337E-04,  3.0425467699E-06,  4.4770832995E-02,  0.0000000000E+00,  1.8693625029E-07
  2.7274242217E-04,  3.5195784447E-06,  4.9796642916E-02,  0.0000000000E+00,  1.8693592758E-07
  2.8283695265E-04,  4.0490269359E-06,  5.5157802654E-02,  0.0000000000E+00,  1.8693557196E-07
