time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  1.8696766625E-07,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00,  1.8696766625E-07
  1.0281671116E-05,  7.6136069104E-12,  3.0160103805E-06,  0.0000000000E+00,  1.8693841073E-07
  2.0376345293E-05,  1.2132218905E-10,  2.3981994333E-05,  0.0000000000E+00,  1.8693841060E-07
  3.0471019453E-05,  6.1123949500E-10,  8.0441315256E-05,  0.0000000000E+00,  1.8693841003E-07
  4.0565693560E-05,  1.9222116175E-09,  1.8947179871E-04,  0.0000000000E+00,  1.8693840855E-07
  5.0660367546E-05,  4.6692649876E-09,  3.6771221386E-04,  0.0000000000E+00,  1.8693840548E-07
  6.0755041304E-05,  9.6331652351E-09,  6.3134762785E-04,  0.0000000000E+00,  1.8693840002E-07
  7.0849714676E-05,  1.7755924176E-08,  9.9608109677E-04,  0.0000000000E+00,  1.8693839128E-07
  8.0944387451E-05,  3.0136231629E-08,  1.4773525512E-03,  0.0000000000E+00,  1.8693837787E-07
  9.1039059356E-05,  4.8024870158E-08,  2.0899297425E-03,  0.0000000000E+00,  1.8693835886E-07
  1.0113373005E-04,  7.2820823461E-08,  2.8482983886E-03,  0.0000000000E+00,  1.8693833292E-07
  1.1122839914E-04,  1.0606771858E-07,  3.7665061920E-03,  0.0000000000E+00,  1.8693829909E-07
  1.2132306616E-04,  1.4944668376E-07,  4.8579463373E-03,  0.0000000000E+00,  1.8693825620E-07
  1.3141773056E-04,  2.0477433900E-07,  6.1358016560E-03,  0.0000000000E+00,  1.8693820253E-07
  1.4151239176E-04,  2.7399517743E-07,  7.6127930797E-03,  0.0000000000E+00,  1.8693813741E-07
  1.5160704914E-04,  3.5918316429E-07,  9.3012623842E-03,  0.0000000000E+00,  1.8693806063E-07
  1.6170170196E-04,  4.6253287460E-07,  1.1213063788E-02,  0.0000000000E+00,  1.8693796942E-07
  1.7179634949E-04,  5.8635638941E-07,  1.3359581527E-02,  0.0000000000E+00,  1.8693786449E-07
  1.8189099094E-04,  7.3307961917E-07,  1.5751885262E-02,  0.0000000000E+00,  1.8693774421E-07
  1.9198562547E-04,  9.0523833087E-07,  1.8400611462E-02,  0.0000000000E+00,  1.8693760853E-07
  2.0208025221E-04,  1.1054718087E-06,  2.1315984461E-02,  0.0000000000E+00,  1.8693745625E-07
  2.1217487029E-04,  1.3365205988E-06,  2.4507769987E-02,  0.0000000000E+00,  1.8693728734E-07
  2.2226947878E-04,  1.6012250562E-06,  2.7985221736E-02,  0.0000000000E+00,  1.8693710231E-07
  2.3236407680E-04,  1.9025133834E-06,  3.1757707466E-02,  0.0000000000E+00,  1.8693689956E-07
  2.4245866345E-04,  2.2434062402E-06,  3.5833317006E-02,  0.0000000000E+00,  1.8693668104E-07
  2.5255323747E-04,  2.6270083294E-06,  4.0220714178E-02,  0.0000000000E+00,  1.8693642234E-07
  2.6264779607E-04,  3.0565011017E-06,  4.4927387587E-02,  0.0000000000E+00,  1.8693611867E-07
  2.7274233737E-04,  3.5351492197E-06,  4.9960625108E-02,  0.0000000000E+00,  1.8693578269E-07
  2.8283685963E-04,  4.0662850242E-06,  5.5328042380E-02,  0.0000000000E+00,  1.8693541269E-07
  2.9293136095E-04,  4.6533107347E-06,  6.1035522895E-02,  0.0000000000E+00,  1.8693500758E-07
  3.0302583927E-04,  5.2996962182E-06,  6.7089700500E-02,  0.0000000000E+00,  1.8693456286E-07
  3.1312029249E-04,  6.0089690828E-06,  7.3497050016E-02,  0.0000000000E+00,  1.8693407741E-07
  3.2321471829E-04,  6.7847150998E-06,  8.0261233394E-02,  0.0000000000E+00,  1.8693354879E-07
  3.3330911416E-04,  7.6305736170E-06,  8.7388900151E-02,  0.0000000000E+00,  1.8693297056E-07
  3.4340347747E-04,  8.5502344592E-06,  9.4884985623E-02,  0.0000000000E+00,  1.8693234281E-07
  3.5349780531E-04,  9.5474312267E-06,  1.0275319762E-01,  0.0000000000E+00,  1.8693165384E-07
  3.6359145199E-04,  1.0625875040E-05,  1.1099973534E-01,  0.0000000000E+00,  1.8690033849E-07
  3.7368440206E-04,  1.1789415428E-05,  1.1962770662E-01,  0.0000000000E+00,  1.8689962366E-07
  3.8377696103E-04,  1.3041895351E-05,  1.2863497660E-01,  0.0000000000E+00,  1.8689883641E-07
  3.9386947478E-04,  1.4387208950E-05,  1.3802631321E-01,  0.0000000000E+00,  1.8689796949E-07
  4.0396193897E-04,  1.5829260605E-05,  1.4780617041E-01,  0.0000000000E+00,  1.8689700996E-07
  4.1405434879E-04,  1.7371980980E-05,  1.5797767036E-01,  0.0000000000E+00,  1.8689596262E-07
  4.2414673154E-04,  1.9019325149E-05,  1.6854145776E-01,  0.0000000000E+00,  1.8689482322E-07
  4.3423479910E-04,  2.0774413478E-05,  1.7943713290E-01,  0.0000000000E+00,  1.8676981277E-07
  4.4432036491E-04,  2.2640351543E-05,  1.9066815078E-01,  0.0000000000E+00,  1.8676967675E-07
  4.5440592400E-04,  2.4622219598E-05,  2.0242459519E-01,  0.0000000000E+00,  1.8676955590E-07
  4.6449147735E-04,  2.6724774367E-05,  2.1457901457E-01,  0.0000000000E+00,  1.8676946667E-07
  4.7457513994E-04,  2.8951381481E-05,  2.2710950961E-01,  0.0000000000E+00,  1.8662258379E-07
  4.8465784777E-04,  3.1306050464E-05,  2.4003369279E-01,  0.0000000000E+00,  1.8676922060E-07
  4.9473983612E-04,  3.3792929646E-05,  2.5335161535E-01,  0.0000000000E+00,  1.8660113603E-07
  5.0481630183E-04,  3.6414535649E-05,  2.6706486178E-01,  0.0000000000E+00,  1.8660130581E-07
  5.1489277667E-04,  3.9176420907E-05,  2.8118443631E-01,  0.0000000000E+00,  1.8660146187E-07
  5.2496925971E-04,  4.2082469012E-05,  2.9567780474E-01,  0.0000000000E+00,  1.8660159225E-07
  5.3504574892E-04,  4.5136565458E-05,  3.1056650850E-01,  0.0000000000E+00,  1.8660169792E-07
  5.4511414563E-04,  4.8340042855E-05,  3.2583153844E-01,  0.0000000000E+00,  1.8643324448E-07
  5.5519716914E-04,  5.1703997781E-05,  3.4150545635E-01,  0.0000000000E+00,  1.8673999562E-07
  5.6528114587E-04,  5.5228382657E-05,  3.5756712374E-01,  0.0000000000E+00,  1.8674059442E-07
  5.7535826017E-04,  5.8914157994E-05,  3.7398902435E-01,  0.0000000000E+00,  1.8657246596E-07
  5.8543319892E-04,  6.2766288916E-05,  3.9078183732E-01,  0.0000000000E+00,  1.8657338999E-07
  5.9550818520E-04,  6.6789659456E-05,  4.0796340433E-01,  0.0000000000E+00,  1.8657420887E-07
  6.0557576604E-04,  7.0991613889E-05,  4.2675427505E-01,  0.0000000000E+00,  1.8640589324E-07
  6.1564171396E-04,  7.5373118774E-05,  4.4437360025E-01,  0.0000000000E+00,  1.8640693158E-07
