case,time_ms,CPRESS_MPa,instance,node,x_mm,y_mm,z_mm
G6_L45,1.3000426115468,0.4501559138298034,ROBOT_SOLID-1,57,-8.532015413045883,-3.5178963989019394,-10.430014044046402
G6_L45,1.5000704443082,0.2813631594181061,ROBOT_SOLID-1,60,-8.547157660126686,-3.530145943164825,-10.466550290584564
G6_L45,2.6000451762229,0.161019816994667,ROBOT_SOLID-1,129,-6.454223573207855,-3.972864344716072,-8.985787488520145
G6_L45,2.2000833414493997,0.1340675055980682,ROBOT_SOLID-1,138,-7.049900572746992,-3.9088302451418713,-9.045969484373927
G6_L45,2.900016028434,0.101051926612854,ROBOT_SOLID-1,63,-8.037321150302887,-3.931291043758392,-10.501227915287018
G6_L45,1.9000484608113,0.0879325717687606,ROBOT_SOLID-1,60,-8.44794887304306,-3.724761191755533,-10.450416445732117
G6_L45,2.1000010892748,0.0869006291031837,ROBOT_SOLID-1,186,-7.141570068895817,-3.2224268913269043,-9.61369164288044
G6_L45,1.1000139638781,0.0492751076817512,ROBOT_SOLID-1,34,-6.213040351867676,-4.226640462875366,-9.216161131858826
Gated_G6_L45_to_L3p75,2.9000353533773997,6.216233730316162,ROBOT_SOLID-1,58,-7.886934101581573,-3.682912439107895,-10.656213641166689
Gated_G6_L45_to_L3p75,4.2000426910817,5.943165302276611,ROBOT_SOLID-1,62,-7.703260064125061,-3.2881840467453003,-10.597065329551697
Gated_G6_L45_to_L3p75,5.5000442080199,3.866353988647461,ROBOT_SOLID-1,65,-7.26934540271759,-3.26176056265831,-10.549815237522123
Gated_G6_L45_to_L3p75,7.2000604122877,3.8027093410491934,ROBOT_SOLID-1,65,-6.701813459396362,-3.629349682480097,-10.489518821239471
Gated_G6_L45_to_L3p75,8.1000244244933,3.569105863571167,ROBOT_SOLID-1,52,-4.91109299659729,-3.832853853702545,-8.04705810546875
Gated_G6_L45_to_L3p75,6.3000731170177,2.3256285190582275,ROBOT_SOLID-1,65,-6.984429836273193,-3.395199358463288,-10.528917014598846
Gated_G6_L45_to_L3p75,6.0000312514603,2.167616367340088,ROBOT_SOLID-1,52,-5.542359709739685,-3.8604151904582977,-8.228777170181274
Gated_G6_L45_to_L3p75,7.6000336557626005,2.097153425216675,ROBOT_SOLID-1,4,-4.987204074859619,-3.4076430201530457,-8.126413822174072
