frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element
0,0.0,0.26938533088521566,119,450,0.2743660911082972,118,438
1,0.00010010140249505639,0.269372452107885,119,450,0.2743565353486726,118,438
2,0.000200097550987266,0.2691912265392584,119,450,0.27422209496611544,118,438
3,0.0003000955912284553,0.2684569990946891,119,450,0.27367779110936435,118,450
4,0.0004000775224994868,0.2666209635107846,119,450,0.272318534218446,118,438
5,0.0005000757519155741,0.2630502334971787,119,450,0.2696862005143083,118,438
6,0.0006000197608955204,0.2570613444871782,119,450,0.2642594873405602,119,450
7,0.0007000491605140269,0.24794728290903226,119,450,0.2554112018358205,119,450
8,0.0008000961388461292,0.2350917818576755,119,450,0.24300332226176827,119,450
9,0.0009000246645882726,0.21800782628042847,119,450,0.22666111262405625,119,450
10,0.001000035204924643,0.19636092443507655,119,450,0.20624856882139575,119,450
11,0.0011000942904502153,0.17002435680161468,119,450,0.18204480216130103,119,450
12,0.0012000694405287504,0.1391828969336599,119,450,0.15500279408460027,119,450
13,0.0013000445906072855,0.10389455824237574,119,450,0.12694829957613482,119,450
14,0.0014000915689393878,0.06428482024318084,119,450,0.08826561928647451,130,441
15,0.0015000214334577322,0.018752967401947332,119,438,0.04362931816056053,119,438
16,0.001600059331394732,0.013411701371868113,119,438,0.02578054642329226,130,429
17,0.0017000833759084344,0.047762625551409844,130,429,0.04892631891545225,130,429
18,0.0018000405980274081,0.06613948178485657,130,429,0.06620851624828503,130,429
19,0.001900015864521265,0.05433267499827902,74,388,0.077077304049076,141,429
20,0.0020000869408249855,0.008780964361999457,74,388,0.05071362334108607,73,399
21,0.0021000856067985296,0.04509745107869904,74,388,0.08337659830990053,73,399
22,0.0022000872995704412,0.08185311830317868,74,388,0.09197622380780024,141,429
23,0.0023000151850283146,0.08092893280559646,141,429,0.09747024465350683,141,429
24,0.00240001967176795,0.07279402572331314,141,441,0.093694157576813,37,441
25,0.002500017872080207,0.05673428904007865,141,441,0.07282726552704939,141,441
26,0.0026000761426985264,0.03527201031254698,141,441,0.047625355473407995,141,441
27,0.002700073178857565,0.00866139723982136,141,441,0.023787111928823452,141,441
28,0.00280005787499249,0.011882202813260774,141,441,0.012848121985213491,141,441
29,0.0029000318609178066,0.03276426187204452,141,441,0.036387710543227494,141,441
30,0.003000000026077032,0.04722765401607984,141,441,0.05719494347568584,141,441
