chi_deg,max_closing_mm_s,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s
134.0,830.3960529679937,784.351499576323,830.3960529679937,517.211198507978
138.0,829.5696366500497,778.751217730467,829.5696366500497,526.0261546310959
135.0,827.5812719153093,784.2470037501568,827.5812719153093,519.4201615530183
137.0,829.0410525743916,783.39198798959,829.0410525743916,523.8283109970852
136.0,828.3781970254097,783.927134076105,828.3781970254097,521.626089698413
133.0,833.6961660320254,784.2405897241747,833.6961660320254,514.9998734348284
139.0,829.963788240525,777.3841560570721,829.963788240525,528.2189511159827
132.0,836.8803365069127,783.9143079779307,836.8803365069127,512.7868599246372
140.0,824.127063741818,796.1456817332296,824.127063741818,530.4060325046862
131.0,839.9475944635011,783.3727537261591,839.9475944635011,510.57283208273213
141.0,825.0237309974281,794.8315529114477,825.0237309974281,532.5867325910435
130.0,842.897005585288,782.6160919315479,842.897005585288,508.35846432344607
129.0,847.052240655905,774.3407395495993,847.052240655905,506.1444311646578
142.0,825.7868436857303,793.307366888582,825.7868436857303,535.0004064933762
128.0,848.5062808832827,773.6894691696136,848.5062808832827,503.93140702230016
143.0,811.1027268095048,791.5735879464614,811.1027268095048,537.1653814779287
127.0,851.0293548672951,747.1851371303964,851.0293548672951,530.2592406064547
144.0,810.2660888467482,789.6307442109701,810.2660888467482,539.3219339718386
126.0,853.498757469593,745.4501259956606,853.498757469593,527.9981974846829
125.0,855.8461854215789,750.6290866385417,855.8461854215789,525.7176078678112
145.0,809.3013147321876,787.4794274911027,809.3013147321876,541.4694070683367
0.0,756.9747092304984,756.9747092304984,751.4001875235192,471.28191617996924
