frame,time_s,chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_gap_lt0,frac_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,worst_node,worst_tri
0,0.0,0,0.2693853308852146,0.3201516702004149,0.31400846583039577,0.0,0.0,0.3836364978170373,0.4254840016697584,0.2693853308852146,0.32376301194944,0.3836364978170373,0.38085725823967165,0.08520791444216338,119,898
1,0.000100101402495,0,0.2693602593030002,0.3201256034317451,0.31398950822359595,0.0,0.0,2.926237538758766,0.425456570100467,0.2693602593030002,0.3237572439749155,2.926237538758766,2.9036362595224325,0.6511453979258313,119,898
2,0.0002000974782276,0,0.2690049954973786,0.3197560623904834,0.3137204399530611,0.0,0.0,13.899578084873873,0.4250661928389491,0.2690049954973786,0.32367570328326034,13.899578084873873,13.80906989787757,3.1096466756338534,119,898
3,0.0003000949509441,0,0.26755725308066364,0.3182495004969439,0.3126217985159843,0.0,0.0,39.25161613300433,0.42347245815944556,0.26755725308066364,0.3233430587361111,39.25161613300433,39.072832350940104,8.84237600876418,119,898
4,0.0004000964399892,0,0.26392622665980636,0.31447015157515473,0.30986288782122806,0.0,0.0,82.7463380730001,0.4194688907946655,0.26392622665980636,0.3225098225589627,82.7463380730001,82.01294085272548,18.480544617344883,119,898
5,0.0005000106757506,0,0.2569862458847266,0.30969243910053207,0.30415608168260017,0.0,0.0,147.10861234030074,0.4117009991206976,0.2569862458847266,0.32095906166826754,147.10861234030074,145.95374296247908,32.70196450299647,119,898
6,0.0006000370485708,0,0.24523595632879527,0.29860032549859694,0.2941997557534992,0.0,0.0,233.513536263369,0.39858494686183066,0.24523595632879527,0.31836180139607256,233.0565536239235,233.513536263369,51.74135741778764,119,898
7,0.0007000611512921,0,0.22733065422834678,0.2814778071494385,0.27895145933976045,0.0,0.0,352.29813592775145,0.3783975130924409,0.22733065422834678,0.3144494445084478,352.29813592775145,342.2912134072128,74.51449121423471,119,898
8,0.0008000059169717,0,0.20227462668408802,0.25886555328130506,0.2557936329777516,0.0,0.0,473.01851041146017,0.34767284490011835,0.20227462668408802,0.3091183673459544,473.01851041146017,467.81052528429313,99.44065559369074,119,898
9,0.0009000400896184,0,0.16123620890483475,0.2241930672407998,0.22440948800791527,0.0,0.0,603.0385111408656,0.3081361437820357,0.16123620890483475,0.30242930740580337,597.2363517698144,603.0385111408656,123.31204971562144,130,880
10,0.001000058487989,0,0.1083410615172694,0.19498519811217144,0.1836634756608722,0.0,0.0,751.4001875235192,0.26039051687137904,0.1083410615172694,0.2947192635268224,715.7390205558524,751.4001875235192,146.50200475672312,130,880
11,0.0011000139638781,0,0.04642554051700172,0.1432683330681465,0.13436978660917742,0.0,0.0,756.9747092304984,0.2061268459863522,0.04642554051700172,0.28638048529762006,756.9747092304984,729.3553341307091,140.0899444075073,130,880
12,0.0012000863207504,0,0.007687783802093988,0.10986582410816138,0.10008551741708237,0.0,0.018433179723502304,671.5748482019418,0.1506166093204399,0.007687783802093988,0.2905234229181089,671.5748482019418,206.27794382384093,312.55802322388854,130,880
13,0.0013000426115468,0,0.06349895501820826,0.13522961150532745,0.12907737603453467,0.0,0.0,655.56204772006,0.10354340500886143,0.06349895501820826,0.3373999982022636,655.56204772006,520.5844272544116,471.28191617996924,130,880
14,0.0014000559458509,0,0.04708618365195247,0.12802227264241423,0.11958490215943372,0.0,0.0,684.097769329464,0.04708618365195247,0.10092087509023476,0.3821756660868651,684.097769329464,446.940877671861,441.7128080512164,74,798
15,0.0015000704443082,0,-0.000532946690508316,0.0962779746266154,0.0920300870386729,0.004608294930875576,0.013824884792626729,420.3276890479354,-0.000532946690508316,0.129480756814457,0.4199908151676295,311.62946414549856,420.3276890479354,287.9068818897247,74,798
16,0.0016000049654394,0,0.049236226169500644,0.15009610867779258,0.134081050445838,0.0,0.0,499.8945920230023,0.049236226169500644,0.1623834475521873,0.4252485560561137,499.8945920230023,410.21144820731666,390.7224165220666,7,800
17,0.0017000631196424,0,0.07138273122037832,0.17941469448444458,0.16005870184706902,0.0,0.0,518.016873570524,0.07138273122037832,0.18478965407326026,0.424619178895014,472.1698954062087,518.016873570524,316.54193531918503,7,800
18,0.0018000535201281,0,0.08196578763937154,0.1872351756660933,0.1716091522639644,0.0,0.0,554.4888299005056,0.08196578763937154,0.18807215500603958,0.4217407312174781,444.2732038847414,554.4888299005056,269.4624238309775,7,800
19,0.0019000484608113,0,0.08112759819982956,0.17417932744324305,0.1686259580046776,0.0,0.0,584.9703716904563,0.08112759819982956,0.17073202013356098,0.41384807633883236,465.401855086206,584.9703716904563,227.48769076585788,7,800
20,0.002000059466809,0,0.06984333950666222,0.15106546729768933,0.15258390409061776,0.0,0.0,666.6266453511672,0.06984333950666222,0.14234950426798437,0.4047172288917049,539.4141004335745,666.6266453511672,215.99355476058244,7,800
