frame,time_s,theta_robot_deg,chi_robot_deg,station,actual_min_gap_mm,near5_nodes,near20_nodes,penetrating_nodes,opposing_wall_clusters
0,0.0,2.2387685049644577,25.150053765824932,2,0.2693853308852146,0,0,0,False
1,5.005069760954939e-05,2.2387142363639905,25.152322162837145,2,0.26938370669490175,0,0,0,False
2,0.000100101402495,2.237922947197765,25.18515447000213,2,0.26936025929819596,0,0,0,False
3,0.0001500465587014,2.2345907039272253,25.32308743286668,2,0.2692620587719984,0,0,0,False
4,0.0002000974782276,2.225867432235403,25.686411945622464,2,0.2690049954175343,0,0,0,False
5,0.0002500431728549,2.2082215953655857,26.437160283918285,2,0.2684805406651999,0,0,0,False
6,0.0003000949509441,2.1778746864353473,27.788255800359945,2,0.2675572526842337,0,0,0,False
7,0.0003500377642922,2.1320081056433606,30.00660377350628,2,0.2660960547064295,0,0,0,False
8,0.0004000964399892,2.0696244142622646,33.475807046504165,2,0.2639262256586501,0,0,0,False
9,0.0004500411159824,1.9954901322566945,38.60539779796815,2,0.2609475538925102,0,0,0,False
10,0.0005000106757506,1.9215212872348868,46.021343786229494,2,0.2569862434186772,0,0,0,False
11,0.0005500661209225,1.8763615261976796,56.394680451854114,2,0.25179901600463817,0,0,0,False
12,0.0006000370485708,1.9089403992452902,69.68993947620194,2,0.24523595161595002,0,0,0,False
13,0.0006500027957372,2.0803683231666636,84.58331686315172,2,0.2371350478635722,0,0,0,False
14,0.0007000611512921,2.439881738047994,98.75391395379255,2,0.22733064711184958,0,0,0,False
15,0.0007500948267988,3.0035097097347103,110.41532632821878,2,0.21573063017781208,0,0,0,False
16,0.0008000059169717,3.7637592219450497,119.24318997529447,2,0.2022746164027305,0,0,0,False
17,0.0008500217227265,4.710819419345302,125.76233674410875,2,0.18400790528021485,0,0,0,False
18,0.0009000400896184,5.835554615270251,130.58352611767435,2,0.16123617697577544,0,0,0,False
19,0.0009500464075244,7.128810431983308,134.19287634125854,2,0.13598674595142643,0,0,0,False
20,0.001000058487989,8.585294595979155,136.9646105572441,2,0.10834101680173704,0,0,0,False
21,0.00105008832179,10.201988368951175,139.13289786733617,2,0.07838921611905102,0,0,0,False
22,0.0011000139638781,11.9673416673796,140.86158776243695,2,0.04642546877127132,0,0,0,False
23,0.0011501018889248,13.88766612393835,142.27022756018656,2,0.012474542713008546,0,2,0,False
24,0.0012000863207504,14.880196295690732,143.8191868782346,2,0.0076876854651988956,0,4,0,False
25,0.0012500407174229,14.77651702899988,145.85740123314028,2,0.03724965056023273,0,0,0,False
26,0.0013000426115468,14.875665288244596,147.97000386788656,2,0.06349886976661845,0,0,0,False
27,0.0013500681379809,15.172615528624794,150.0529930883659,2,0.0764425231615533,0,0,0,False
28,0.0014000559458509,15.65926590494283,152.03928251258685,2,0.04708619603474703,0,0,0,False
29,0.0014500233810395,16.31837822939615,153.84795153245653,2,0.015919623278092054,0,1,0,False
30,0.0015000704443082,16.60359065948162,156.0510052937218,2,-0.0005329405560106061,1,3,1,False
31,0.0015500304289162,15.596141206023036,160.06483840204555,2,0.02822710336693032,0,0,0,False
32,0.0016000049654394,14.873884077127379,164.43194905938233,2,0.04923617444236128,0,0,0,False
33,0.0016500835772603,14.431139205172267,168.97787634904026,2,0.061828333237914736,0,0,0,False
34,0.0017000631196424,14.259457018057798,173.48628689192583,2,0.07138267563903562,0,0,0,False
35,0.0017500647809356,14.340161708305802,177.75827250187854,2,0.07801258088803685,0,0,0,False
36,0.0018000535201281,14.643763202858748,181.6049356856311,2,0.08196575382797773,0,0,0,False
37,0.0018500443547964,15.159954311114339,184.88562734648227,2,0.08297130554514442,0,0,0,False
38,0.0019000484608113,15.864348707438158,187.54758848885564,2,0.08112754705095025,0,0,0,False
39,0.0019500425551086,16.739169887942218,189.58021510399115,2,0.07659271700404756,0,0,0,False
40,0.002000059466809,17.733571048190065,191.08844320787045,2,0.06984329224887544,0,0,0,False
41,0.0020500889513641,18.869273739967735,192.06877646359752,2,0.060657689575383214,0,0,0,False
42,0.0021000010892748,20.123501510442477,192.60368286571463,2,0.04933224663024957,0,0,0,False
43,0.0021500058937817,21.4803597315076,192.7956061006711,2,0.03623206687159975,0,0,0,False
44,0.0022000833414494,22.949355733182795,192.6672439722725,2,0.021289021500994695,0,0,0,False
45,0.0022500304039567,24.52828181490801,192.28671158749304,2,0.004739492377807065,1,3,0,True
46,0.0023000345099717,25.22573062771509,192.81578160035136,2,0.002812366636364892,3,3,0,True
47,0.002350004389882,24.516031473605402,195.48173861411448,1,0.01889038517115684,0,1,0,False
48,0.002400042489171,24.09067828352679,197.20219020997718,1,0.032838677313944596,0,0,0,False
49,0.0024500412400811,23.819369706848263,198.66759750495427,1,0.04427475849430096,0,0,0,False
50,0.0025000090245157,23.696854320935127,199.8307323015936,1,0.045459061589179124,0,0,0,False
51,0.0025500075425952,23.710279565263075,200.69797634792732,1,0.04499971587652483,0,0,0,False
52,0.0026000451762229,23.84606070722203,201.24506005857486,1,0.04302119723474573,0,0,0,False
53,0.002650010632351,24.099188875102378,201.47376944554637,1,0.0396252069366742,0,0,0,False
54,0.0027000687550753,24.469356191660523,201.3969804818583,1,0.03477489957276834,0,0,0,False
55,0.0027500945143401,24.95298061301339,201.0293208975329,1,0.028597585287441482,0,0,0,False
56,0.0028000453021377,25.53361483669342,200.40301278028508,1,0.021342368298106814,0,0,0,False
57,0.0028500182088464,26.23253152939531,199.52825450478022,1,0.013033121152268404,0,1,0,False
58,0.002900016028434,27.041834497811543,198.44057858167474,1,0.003889348002015433,1,5,0,False
59,0.0029500212986022,27.727637359267145,197.20838995243767,1,-0.0005266048999792379,4,5,1,False
60,0.003000036580488,28.014642319956728,195.92942251890435,1,0.0009492579596497875,2,7,0,True
61,0.0030500260181725,27.856399972604407,195.27815057260042,1,0.003307045389023648,2,6,0,True
62,0.0031000114977359,27.328988505199273,195.1288076301354,1,0.005977219952110141,0,5,0,True
63,0.0031500102486461,26.938891437154286,194.75429007982856,1,0.006606107387495386,0,3,0,False
64,0.0032000427599996,26.686463484834473,194.14226166981223,1,0.005189303513311985,0,3,0,False
65,0.0032500673551112,26.5679824007525,193.3152795350175,1,-0.0004809329767117815,2,4,1,False
66,0.0033000987023115,26.21630417433086,192.7949881729767,1,0.00299175089028865,1,4,0,False
67,0.0033500327263027,25.92469039119404,192.17480689219465,1,0.007150385750128102,0,2,0,False
68,0.003400043817237,25.77783190039641,191.33115351377114,1,0.00906474213942614,0,1,0,False
69,0.0034500602632761,25.778366815797355,190.29973964775112,1,0.008999283106635942,0,1,0,False
70,0.0035000653006136,25.915835769516267,189.11229057290853,1,0.0071166226899123785,0,1,0,False
71,0.0035500817466527,26.19581249122698,187.79422280092945,1,0.0035031131753077305,1,2,0,False
72,0.0036000872496515,26.609348942445887,186.38198244013284,1,-0.0014045491740554206,1,3,1,False
73,0.0036500636488199,26.817877169375915,185.15741903086138,1,0.00255734602643531,1,2,0,False
74,0.0037000402808189,27.164261631602834,183.83875031715473,1,0.005063097306784484,0,2,0,False
75,0.003750100499019,27.667114838252857,182.43972007423773,1,0.004793010560906928,1,5,0,True
76,0.003800090169534,27.698288443662936,181.4532728116616,1,0.003736144111788697,1,5,0,True
77,0.0038500519003719,27.280078888849136,180.82806839761264,1,0.005519572164289575,0,4,0,True
78,0.0039000490214675,27.025201209874428,180.0940822717383,1,0.0024767640960209696,2,3,0,False
79,0.0039501045830547,26.84597548596392,179.3053787892214,1,-0.000493236072772128,3,4,1,False
80,0.0040000760927796,26.526931645025545,178.56746851792911,1,0.0019119482068334624,2,4,0,False
81,0.0040500797331333,26.38531929709874,177.7365332671316,1,0.0009639214666565891,2,4,0,False
82,0.0041000111959874,26.36628561537456,176.85576878980402,1,-0.0009702699255415967,2,4,1,False
83,0.0041500837542116,26.297579113273915,176.01017277229678,1,0.0008937973904589847,1,4,0,False
84,0.0042000487446784,26.40372085673367,175.10783042996616,1,0.0002519727333142704,1,4,0,False
85,0.0042501022107899,26.598646391423475,174.19059558139875,1,-0.0005064720077330984,1,4,1,False
86,0.0043000429868698,26.813353535299484,173.29703715465732,1,0.0003938720732906975,1,3,0,False
87,0.004350084811449,27.181454927887014,172.39033786477893,1,-0.0008707945525349193,2,6,1,False
88,0.0044000102207064,27.551689412260558,171.51811811329029,1,1.3083501081417695e-05,2,6,0,False
89,0.0044500487856566,28.058705105280914,170.66257593073334,1,-0.0006221970514296191,2,6,1,False
90,0.0045000975951552,28.554229294499528,169.84102715442253,1,-0.00034966013146943745,4,7,1,True
91,0.0045500360429286,28.84191170401324,169.0845518641126,1,-0.00036946576203682863,5,7,1,True
92,0.004600026179105,28.470149517864144,168.54614547333668,1,0.00029290602907145526,2,7,0,True
93,0.004650046583265,28.1747786366931,168.20506977051826,1,0.0019622698698407836,1,6,0,False
94,0.0047000027261674,28.046823455894113,167.86568303997026,1,0.0020869061964052245,1,5,0,False
95,0.0047500790096819,28.079817474577702,167.54710774566186,1,0.0007474292736503596,1,5,0,False
96,0.0048000500537455,28.201369032168635,167.36737358363922,1,0.00014587293922119324,1,4,0,False
97,0.0048500085249543,28.380892926758687,167.37743838818201,1,0.0014600734865567709,1,4,0,False
98,0.004900075495243,28.712882140559365,167.41875981362455,1,-0.000644651856480552,1,4,1,False
99,0.0049500511959195,29.032244935636125,167.6934994582348,1,0.000911469158464308,1,4,0,False
100,0.0050000296905636,29.49937208157256,168.001902167491,1,0.0009870544026716673,1,6,0,True
101,0.0050500929355621,30.105194231443036,168.33055753925402,1,-0.0020593229167388716,4,8,3,True
102,0.0051000565290451,29.951889532491215,168.81268226332296,1,0.000915264641821254,2,8,0,True
103,0.0051500364206731,29.847100707091652,169.34319385967717,1,0.0011213106057932209,2,8,0,True
104,0.0052000349387526,29.876245256051476,169.90159935060754,1,-0.001102138340029181,2,6,1,False
105,0.0052500055171549,29.736014754981227,170.45708130614372,1,0.002075229189652086,2,5,0,False
106,0.0053000166080892,29.761452634679678,171.04205479694997,1,0.002592415633213561,1,5,0,False
107,0.0053500402718782,29.95425034094314,171.64682013684188,1,0.0003165428800451776,2,5,0,False
108,0.0054000713862478,30.04314723726657,172.27791703232626,1,0.0015635559629248214,2,5,0,False
109,0.005450002849102,30.1882094291268,172.92862273588884,1,0.0029630864253117413,1,5,0,False
110,0.0055000293068587,30.491121217748667,173.58181217051023,1,0.0014655260687106394,2,5,0,True
111,0.0055500301532447,30.86505490163874,174.23807841184527,1,-9.319954947058927e-05,2,5,1,True
112,0.0056000216864049,31.17927468707391,174.91901806419935,1,0.0014528866414740965,2,6,0,True
113,0.0056500933133065,31.252566671309246,175.68626517129795,1,0.0018759418660577215,2,5,0,True
114,0.0057000792585313,31.172475299202752,176.53007666992738,1,0.0034183337729027413,1,4,0,True
115,0.0057500936090946,31.257371670572063,177.3742093350833,1,0.0014332044298002544,2,4,0,True
116,0.0058000292629003,31.404608158723452,178.23390559120799,1,-0.0003210829337386589,2,5,1,True
117,0.0058500482700765,31.490344696486776,179.1365717337697,1,0.0018972831568986877,2,4,0,True
118,0.0059000621549785,31.754110672463604,180.00944248441203,1,0.0011411433565340218,2,6,0,True
119,0.0059500727802515,32.13118202793602,180.86218208206193,1,-0.0009928192655622656,2,6,1,True
120,0.0060000219382345,32.34545029336949,181.68313152421064,1,-0.0013974815662826671,3,6,1,True
121,0.0060500619001686,32.1368927560922,182.0259502874616,1,0.0028734696885343454,1,5,0,True
122,0.0061000040732324,32.09272894562981,182.35226765086307,1,0.0020121107212496855,2,5,0,True
123,0.0061500240117311,32.20795467471773,182.66517698092193,1,-0.0014151687597385235,2,6,2,True
124,0.0062000728212296,32.1876699806313,183.10914975495174,1,0.0010990181738992752,2,6,0,True
125,0.0062500489875674,32.307811944061164,183.53252327465714,1,0.00133384937333449,2,5,0,True
126,0.0063000484369695,32.581020912820684,183.92454531343017,1,-0.0007483845316132578,2,6,2,True
127,0.0063500790856778,32.80169463798788,184.4121117929007,1,0.0009040198222239162,2,5,0,True
128,0.0064000128768384,33.17134877756058,184.86992716706348,1,0.0005774873741821379,3,7,0,True
129,0.0064500705339014,33.51566583887637,185.26314845058096,1,-0.000804058488867476,3,7,2,True
130,0.0065000266768038,33.448425284075014,185.41433706087335,1,0.0007738577183030755,2,7,0,True
131,0.0065501043573021,33.529091923710624,185.55133831692322,1,-0.0007052384027221913,2,5,1,True
132,0.0066000875085592,33.557553197746664,185.80192094915233,1,0.0009886373879302028,1,5,0,True
133,0.0066500538960099,33.73605621790816,186.0285655320456,1,0.0004545112413301764,1,6,0,True
134,0.0067001045681536,33.99855147839513,186.26780255523235,1,-0.0002872795910105357,1,9,1,True
135,0.0067500388249754,34.290817801916475,186.55829960208436,1,0.00019710600416901385,1,9,0,True
136,0.0068000922910869,34.70707872957488,186.83205497357167,1,-0.001039314649895264,6,9,2,True
137,0.00685002701357,34.75332883295319,186.9352404632623,1,0.0005109588278519702,6,10,0,True
138,0.0069000264629721,34.85874789824626,186.95755059705473,1,-0.000709690193481342,5,11,1,True
139,0.0069500086829066,34.801346059855774,186.80541586682108,1,0.0014291529146779308,3,9,0,True
140,0.0070000174455344,34.86931049436408,186.66281234787857,1,-0.0013681053744861247,3,9,1,True
141,0.0070500564761459,34.84745851787233,186.67199212570966,1,0.0012389517782630856,3,9,0,True
142,0.0071000130847096,34.98502176294604,186.65993530184795,1,0.0005333202886371535,5,9,0,True
143,0.0071500833146274,35.000422542177034,186.51620127502645,1,-0.00031830913030243927,5,9,1,True
144,0.0072000287473201,34.95706285768456,186.28571232262365,1,-0.00034106307388873536,4,8,1,True
145,0.0072500668466091,34.89469148702252,186.1244886489579,1,-0.0006690267487481381,4,8,1,True
146,0.0073000458069145,34.78040375956255,185.96563931118973,1,-2.6631981946914798e-05,3,7,1,True
147,0.0073500303551554,34.768686636925906,185.8005254839709,1,-0.0006421498706563797,3,7,2,True
148,0.0074000693857669,34.70038681441658,185.6922895659485,1,-0.00034205009364917044,2,6,2,True
149,0.0074501005001366,34.65302499873079,185.6082754846341,1,-0.0003841649547119553,2,6,1,True
150,0.0075000310316681,34.64270414798471,185.52782241931476,1,-0.000574799882091781,2,5,2,True
151,0.0075500789098441,34.631110772206156,185.48442820655563,1,-0.0008592696105261923,2,5,2,True
152,0.0076000089757144,34.62327873536553,185.45842711667837,1,-0.0008435891755423485,2,5,2,True
153,0.0076500424183905,34.62162894460729,185.45981654554956,1,-0.0008297465665134955,2,5,2,True
154,0.0077000549063086,34.630014048158834,185.48585504510336,1,-0.0008506737136776372,2,5,2,True
155,0.0077500874176621,34.64629038586965,185.5360923793756,1,-0.0007939947084557863,2,5,2,True
156,0.0078000430949032,34.6751966133972,185.60898738657272,1,-0.0007655296754729894,3,6,2,True
157,0.0078500118106603,34.71437365005467,185.70504600256135,1,-0.0007632636425368476,3,6,2,True
158,0.0079000853002071,34.760348065599,185.82701710637937,1,-0.0007218638683241131,3,5,2,True
159,0.0079500526189804,34.7505776533122,185.92831549696393,1,-0.0006989434895791247,3,5,1,True
160,0.0080000245943665,34.75001181082607,185.9724876188985,1,-0.0006983349920454497,3,5,2,True
161,0.0080500990152359,34.75103992376476,185.96724474750454,1,-0.0005686882242413114,3,5,2,True
162,0.0081000914797186,34.76454870553559,185.92279262387194,1,-0.00044937287970327254,3,5,2,True
163,0.0081500997766852,34.78077697224248,185.82364906065575,1,-0.00042971705837180227,2,5,2,True
164,0.008200011216104,34.8066359456253,185.67617969413863,1,-0.0004970852660747241,2,5,2,True
165,0.0082500269636511,34.838422355660526,185.4783714552109,1,-0.00045637015741032343,2,5,2,True
166,0.0083000427111983,34.88095682632945,185.23471884549744,1,-0.00042998366250646564,3,5,2,True
167,0.0083330003544688,34.908830460583744,185.04893211470753,1,-0.00037315348207386687,3,5,2,True
