theta_deg,chi_deg,g_best_mm,u_best_mm,v_best_mm,pass_geometric,pass_5um,pass_20um
0.0,0.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,10.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,20.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,30.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,40.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,50.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,60.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,70.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,80.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,90.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,100.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,110.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,120.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,130.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,140.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,150.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,160.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,170.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,180.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,190.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,200.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,210.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,220.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,230.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,240.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,250.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,260.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,270.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,280.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,290.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,300.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,310.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,320.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,330.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,340.0,0.33934978660142573,0.0,0.12,True,True,True
0.0,350.0,0.33934978660142573,0.0,0.12,True,True,True
2.0,0.0,0.3529197817917244,0.0,0.12,True,True,True
2.0,10.0,0.3468057063751095,0.0,0.12,True,True,True
2.0,20.0,0.3406462120370144,0.0,0.12,True,True,True
2.0,30.0,0.33462932526721806,0.0,0.12,True,True,True
2.0,40.0,0.3289376259614251,0.0,0.12,True,True,True
2.0,50.0,0.32374272874517485,0.0,0.12,True,True,True
