chi_deg,theta_max_geometric_deg,theta_max_5um_deg,theta_max_20um_deg
0.0,30.0,30.0,30.0
10.0,30.0,30.0,30.0
20.0,30.0,30.0,30.0
30.0,30.0,30.0,28.0
40.0,28.0,28.0,28.0
50.0,26.0,26.0,24.0
60.0,24.0,24.0,22.0
70.0,22.0,22.0,22.0
80.0,22.0,20.0,20.0
90.0,20.0,20.0,18.0
100.0,18.0,18.0,18.0
110.0,18.0,18.0,18.0
120.0,18.0,18.0,18.0
130.0,18.0,18.0,16.0
140.0,18.0,18.0,16.0
150.0,18.0,18.0,16.0
160.0,18.0,18.0,18.0
170.0,18.0,18.0,18.0
180.0,20.0,20.0,20.0
190.0,20.0,20.0,20.0
200.0,22.0,22.0,22.0
210.0,24.0,24.0,22.0
220.0,26.0,26.0,26.0
230.0,30.0,30.0,28.0
240.0,30.0,30.0,30.0
250.0,30.0,30.0,30.0
260.0,30.0,30.0,30.0
270.0,30.0,30.0,30.0
280.0,30.0,30.0,30.0
290.0,30.0,30.0,30.0
300.0,30.0,30.0,30.0
310.0,30.0,30.0,30.0
320.0,30.0,30.0,30.0
330.0,30.0,30.0,30.0
340.0,30.0,30.0,30.0
350.0,30.0,30.0,30.0
