frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
0,0.0,0.2693853981525386,119,450,0.2743662673135967,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
1,5.0099999498343095e-05,0.269382860056602,119,450,0.2743642012162653,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
2,0.0001000999982352,0.2693464031093052,119,450,0.274336750906869,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
3,0.0001500999933341,0.2691923041942245,119,450,0.2742222053593006,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
4,0.000200099995709,0.2687906065735331,119,450,0.2739220802335269,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
5,0.0002500000118743,0.2679705173912673,119,450,0.273310422569022,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
6,0.0003000999859068,0.266519263230853,119,450,0.2722299259749386,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
7,0.0003499999875202,0.2642154451026827,119,450,0.2705191105977111,118,438,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
8,0.0004000999906565,0.260784196921808,119,450,0.2672390933770143,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
9,0.0004500999930314,0.2559754054018375,119,450,0.2621804481805362,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
10,0.0005000000237487,0.2495225001911323,119,450,0.2553985911853477,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
11,0.0005500999977812,0.2411103265502653,119,450,0.2465704861316143,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
12,0.0006000999710522,0.2305202025074166,119,450,0.235479817050152,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
13,0.0006501000025309,0.2174940855409514,119,450,0.2218750574260414,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
14,0.0006999999750405,0.2018539630258927,119,450,0.2055962924755056,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
15,0.0007500000065192,0.18021392537567,130,441,0.1864281406160853,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
16,0.0008000999805517,0.1475931275079192,130,429,0.1642676520236846,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
17,0.0008501000120304,0.1165439831083665,130,429,0.1391830655776852,119,450,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
18,0.0009000999853014,0.0818114156641417,130,429,0.1073033714265185,130,429,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
19,0.0009500000160187,0.0436660561917512,130,429,0.0627990240370997,130,429,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
20,0.0010000000474974,0.0022790546266628,130,429,0.0160123159058309,141,429,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
