frame,time_s,ur1_x,ur2_x,ur3_x,rp_x,rp_y,rp_z,head_x,head_y,head_z,tail_x,tail_y,tail_z,axis_x,axis_y,axis_z,recon_node_rms_mm,head_count,tail_count,t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1_y,ur2_y,ur3_y,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T,UR1,UR2,UR3,U1,torque_norm_Nmm,force_norm_N,a1,a2,b1,b2,phi_robot_rad,phi_field_rad,delta_phi_rad,theta_cone_deg,theta_pipe_directed_deg,theta_pipe_axis_deg,transverse_radius,head_x_rel,head_y_rel,head_z_rel,tail_x_rel,tail_y_rel,tail_z_rel
0,0.0,0.0,0.0,0.0,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.135878864087556,-3.866700260262741,-9.293127110129909,-8.82798551258288,-3.5406899075759086,-9.838923454284668,0.9732305135036684,-0.1178568550136206,0.1973122634599384,0.0,19,19,1.0559219828036989e-07,-7.468174204284,-3.676918015967,-9.550745259298,0.0,0.0,0.0,-8.30611331368731e-14,-9.086742559803868e-14,4.656346865085615e-14,1.3983896894542492e-11,-3.2883582797933126e-10,-2.0901914817223634e-10,18.899961259553187,13.799960625932426,3.935249012241908e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.806904142699761e-11,-1.5895976774637912e-10,-3.5491051913016536e-10,3.344678236777099e-08,False,,,,,,,,,,,,,,,,,,40.0,4.328443083159889,30.0,0.01,-0.0019882739482936,-0.0053173493874851,0.0082324092584096,0.0,0.0,0.0,0.0,3.8989428751631744e-10,1.3162141727544086e-13,0.24999260729103184,-0.8995353426235312,-0.0019635025562364074,-0.004388964430003294,-1.2997239020705595,-1.9914631822541455,0.691739280183586,110.99248738058611,115.79319413661186,64.20680586338815,0.9336274076573597,1.3322951166253345,-0.18978223047758513,0.2576179002460677,-1.3598115318699886,0.13622812220924718,-0.2881784439086914
1,0.000100101402495,2.575220150902169e-06,-2.3979971956578083e-05,-1.4636580999649595e-05,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.135887820045333,-3.866720423905905,-9.29309565059474,-8.827976607620078,-3.540669262484975,-9.838955711576313,0.9732240565555704,-0.1178716078857863,0.1973352978965994,1.1226731653816923e-11,19,19,0.0001002069930714,-7.468174204284,-3.676918015967,-9.550745259298,2.575220053561779e-06,-2.397997268505852e-05,-1.4636580627502533e-05,-6.98170877936461e-08,-7.637867184049468e-08,3.913895291334928e-08,1.0884673085902789e-05,-0.0002779793673827,-0.0001728937311896,18.900561867958427,13.799960625932426,3.935505874287169e-06,8.470329472543003e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.410446735113272e-05,-0.0001365080829889,-0.0002967621354145,0.0281118790715541,False,,,,,,,,,,,,,,,,,,40.0,4.353601309207661,30.0,0.01,-0.0019184847962703,-0.0052374028204246,0.0082999414325094,2.575220150902169e-06,-2.3979971956578083e-05,-1.4636580999649595e-05,0.0,0.0003275412143278,1.1063446522335179e-07,0.24991744577734315,-0.8995991759140413,-0.0018475721010572438,-0.0044359913357647045,-1.2998197703815182,-1.9654419126143172,0.665622142232799,110.985868131078,115.78486195099245,64.21513804900755,0.9336687887088726,1.3322861606675573,-0.18980239412074917,0.2576493597812366,-1.3598026269071877,0.13624876730018087,-0.2882107012003363
2,0.0002000974927796,3.856831244775094e-05,-0.0003669558500405,-0.000220840840484,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.13601543208998,-3.867004415534678,-9.292645567138416,-8.82784955411169,-3.540378496585138,-9.83941716004939,0.9731319917456216,-0.1180793899827629,0.1976648281877639,1.723603151794111e-10,19,19,0.000200308676127,-7.468174204284,-3.676918015967,-9.550745259298,3.864728153111307e-05,-0.0003677150253796,-0.0002212944958933,-2.5886712818192065e-07,-2.831961065482539e-07,1.451190340489713e-07,3.709683539179215e-05,-0.0010371553784462,-0.0006308399264036,18.90116247805676,13.799960625932426,3.933108076176002e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,9.134066589719432e-05,-0.0005173106065808,-0.0010950219568818,0.1042965005288939,False,,,,,,,,,,,,,,,,,,40.0,4.378759606175629,30.0,0.01,-0.0018506246954121,-0.0051551021803421,0.0083666068239736,3.856831244775094e-05,-0.0003669558500405,-0.000220840840484,0.0,0.0012145066763838,4.102094085470876e-07,0.2497701944979595,-0.8998150464397959,-0.0017304777706938944,-0.004480096996001758,-1.3000335770660592,-1.9394011779660778,0.6393676009000187,110.95887855850295,115.75740207127802,64.24259792872198,0.9338373883385697,1.3321585486229104,-0.19008638574952208,0.25809944323756007,-1.3596755733987997,0.13653953320001788,-0.28867214967341326
3,0.000300094980048,0.0001857092574937,-0.0017777530010789,-0.0010541109368205,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.136539735508231,-3.868152357936215,-9.29079458423518,-8.82732669343323,-3.539203122612639,-9.841314841687318,0.9727534287150188,-0.1189192981598774,0.1990200177076105,8.320064782728772e-10,19,19,0.0003004117363461,-7.468174204284,-3.676918015967,-9.550745259298,0.000186218725484,-0.0017825854246907,-0.001056939695106,-5.358756343246899e-07,-5.862385630058796e-07,3.0040799297208693e-07,7.00155764500325e-05,-0.0021648965582436,-0.0012869636225393,18.90176309641808,13.799960625932426,3.9219019081455645e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0001935504270626,-0.0010965635557814,-0.0022600976206562,0.2165189910887219,False,,,,,,,,,,,,,,,,,,40.0,4.403918249262513,30.0,0.01,-0.0017847359015277,-0.0050704985983308,0.0084323639464934,0.0001857092574937,-0.0017777530010789,-0.0010541109368205,0.0,0.0025195147656999,8.491662443006109e-07,0.24939373780218052,-0.9005333360379633,-0.0016122919022706897,-0.004521253586939715,-1.3006273725720041,-1.9133412625261472,0.6127138899541431,110.86391171075495,115.66658864282532,64.33341135717468,0.9344289838027318,1.3316342452046595,-0.19123432815105934,0.2599504261407972,-1.3591527127203396,0.137714907172517,-0.2905698313113412
4,0.0004000948392786,0.0005801383522339,-0.0053548426367342,-0.003119864501059,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.137875973112897,-3.871005228648032,-9.28610955256844,-8.825991198931886,-3.536281305918587,-9.84611940471138,0.9717875638556404,-0.121006920502951,0.2024506258965668,2.524861315545867e-09,19,19,0.0004005171736257,-7.468174204284,-3.676918015967,-9.550745259298,0.0005819384023461,-0.0053709958368875,-0.003129098533243,-8.665965876508817e-07,-9.480414964014432e-07,4.858077601171986e-07,0.0001022088847381,-0.0035449950112951,-0.0020584623597066,18.90236372904176,13.799960625932426,3.893004937721317e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.000321437949573,-0.0018232185933954,-0.0036588598193736,0.3527448902255862,False,,,,,,,,,,,,,,,,,,40.0,4.429077489769878,30.0,0.01,-0.0017208595716328,-0.0049836446495538,0.008497171784876,0.0005801383522339,-0.0053548426367342,-0.003119864501059,0.0,0.0041005735662898,1.3732375994041706e-06,0.24857866882751495,-0.9022478941910912,-0.0014930875905909977,-0.00455943497436353,-1.3019556727033625,-1.8872624976878467,0.5853068249844842,110.63171514486639,115.44893567676289,64.55106432323714,0.9358646361351185,1.3302980075999935,-0.19408719886287606,0.26463545780753606,-1.3578172182189956,0.14063672386656867,-0.29537439433540413
5,0.0005000082310289,0.0013334690593183,-0.0123594114556908,-0.007041634991765,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.14053352452378,-3.876419885455488,-9.276948764985326,-8.82332688175398,-3.530735506031999,-9.855513124800654,0.9698636412271076,-0.1249692638605373,0.2091583144793719,5.761336531988269e-09,19,19,0.0005005360409901,-7.468174204284,-3.676918015967,-9.550745259298,0.0013376566981977,-0.0123985184135669,-0.0070632307958185,-1.2125060545075366e-06,-1.3264603977118663e-06,6.797220977589998e-07,0.0001274615165881,-0.0050556422970994,-0.0028658391504587,18.90296384224594,13.799960625932426,3.836584652708237e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0004643326568771,-0.0026397584337198,-0.0051579908982176,0.5008040611772365,False,,,,,,,,,,,,,,,,,,40.0,4.454214972884474,30.0,0.01,-0.0016590902885079,-0.0048946752289494,0.0085609329992523,0.0013334690593183,-0.0123594114556908,-0.007041634991765,0.0,0.0058128133903242,1.921377175126542e-06,0.2471456468975414,-0.9054680825249268,-0.0013730468919039718,-0.004594586517279181,-1.3043388998337668,-1.8611886929007218,0.5568497930669549,110.18370492202502,115.03497696752693,64.96502303247308,0.9385911885649534,1.3276404561891102,-0.19950185567033207,0.27379624539065084,-1.3551529010410892,0.14618252375315688,-0.304768114424677
6,0.0006000376306474,0.0026230865623801,-0.0243785660713911,-0.0136200189590454,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.145260869049658,-3.8855010057827,-9.26128241101388,-8.818574909114133,-3.5214333270116813,-9.871578547895677,0.9664367484931148,-0.1316150584741676,0.2206297521752166,1.13397574032867e-08,19,19,0.0006005658050454,-7.468174204284,-3.676918015967,-9.550745259298,0.0026299594065674,-0.0244421019880907,-0.0136544608875084,-1.5312785129840372e-06,-1.6751918869101334e-06,8.584236253744182e-07,0.0001403336668246,-0.0065727440706367,-0.0036351267836987,18.90356402083027,13.799960625932426,3.739919962343266e-06,0.0,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0006099031742108,-0.0034839691533789,-0.0066275773813733,0.6488145668219147,False,,,,,,,,,,,,,,,,,,40.0,4.479355194636169,30.0,0.01,-0.0015994045796035,-0.004803562366578,0.0086236705399231,0.0026230865623801,-0.0243785660713911,-0.0136200189590454,0.0,0.0075123102232068,2.4265145503163787e-06,0.24481932106913007,-0.9107710754561945,-0.0012521293049586315,-0.004626723297479399,-1.3081991404415454,-1.8350950963512844,0.526895955909739,109.42088705206056,114.33558961689216,65.66441038310784,0.9431015066557698,1.3229131116632322,-0.20858297599754438,0.2894625993620963,-1.3504009284012426,0.15548470277347448,-0.32083353751970023
7,0.0007000482873991,0.004595682490617,-0.0429085232317447,-0.0235802177339792,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.152993509361277,-3.899233138668896,-9.23726315212369,-8.810782487741317,-3.5073653513111007,-9.896210790299362,0.9608242428504562,-0.1416651484178511,0.2382178836162303,2.038747948444645e-08,19,19,0.0007005765073881,-7.468174204284,-3.676918015967,-9.550745259298,0.0046055500073611,-0.0430025889583355,-0.0236303745497894,-1.7780058909187958e-06,-1.9451073192043414e-06,9.967372035053795e-07,0.0001357877018709,-0.0079644764625854,-0.0042953406505743,18.90416408504433,13.799960625932426,3.5904085107296885e-06,4.735058123106526e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0007432677301243,-0.0042859378969653,-0.007935966503977,0.7847260000929753,False,,,,,,,,,,,,,,,,,,40.0,4.504490625657003,30.0,0.01,-0.0015418577712598,-0.0047103911723844,0.0086853261088072,0.004595682490617,-0.0429085232317447,-0.0235802177339792,0.0,0.0090499323161851,2.817486909324685e-06,0.24130950137518892,-0.9185283263370401,-0.0011304470610990006,-0.004655815394488455,-1.3138885653816375,-1.8089901832836264,0.4951016179019889,108.25037263342297,113.26677753263456,66.73322246736545,0.9496970894645651,1.3151804713516135,-0.2223151088837403,0.31348185825228647,-1.3426085070284266,0.16955267847405509,-0.34546577992338534
8,0.0008000981179066,0.0073600760661065,-0.0693123191595077,-0.0375033654272556,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.164948599255147,-3.918374228267575,-9.203330179583329,-8.79870285702747,-3.48775395781551,-9.931010946517809,0.9521353881603798,-0.1556746599067285,0.263065776709186,3.2568534526758946e-08,19,19,0.0008006257648766,-7.468174204284,-3.676918015967,-9.550745259298,0.0073739397405304,-0.0694417301730018,-0.0375706667587945,-1.910216580482785e-06,-2.0897434991300886e-06,1.070853556922764e-06,0.0001097434575635,-0.0090940010424716,-0.004780207610951,18.90476438058926,13.799960625932426,3.376078787313984e-06,4.735058123106526e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008476259377183,-0.0049691940710243,-0.0089527606884664,0.8966000289445262,False,,,,,,,,,,,,,,,,,,40.0,4.529635746642844,30.0,0.01,-0.0014864537159695,-0.0046151662698015,0.0087458959319423,0.0073600760661065,-0.0693123191595077,-0.0375033654272556,0.0,0.0102743994175205,3.0269923384247188e-06,0.236329273350511,-0.9287828589430638,-0.0010080062787214332,-0.004681859912339728,-1.3216333533130276,-1.7828595898462578,0.46122623653323025,106.58880378937684,111.7536160866091,68.2463839133909,0.9583783827428661,1.303225381457744,-0.24145619848241928,0.3474148307926477,-1.3305288763145793,0.1891640719696457,-0.38026593614183213
9,0.0009000186109915,0.0111769363284111,-0.1045540794730186,-0.0555133260786533,-7.468173980712891,-3.676918029785156,-9.550745010375977,-6.182554069239128,-3.943085707713008,-9.158659859210251,-8.78085527288814,-3.4624265223459743,-9.976836007031007,0.9393186618657544,-0.1737643588735506,0.2957809984701389,4.808205020253401e-08,19,19,0.0009006518773501,-7.468174204284,-3.676918015967,-9.550745259298,0.0111997918320768,-0.1047652565856938,-0.0556195605042844,-1.8948849290431016e-06,-2.072970940848289e-06,1.0622587443525917e-06,6.117052186896898e-05,-0.0098191172905378,-0.0050282372637333,18.9053645372641,13.799960625932426,3.088079630998878e-06,4.735058123106526e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0009060557525208,-0.0054495919375083,-0.0095489783153199,0.9723509933492436,False,,,,,,,,,,,,,,,,,,40.0,4.554775050651933,30.0,0.01,-0.0014332620909364,-0.0045180060897827,0.008805304126001,0.0111769363284111,-0.1045540794730186,-0.0555133260786533,0.0,0.011031861863642,3.002697296743324e-06,0.22971522025101354,-0.9410253204527748,-0.0008849591872297099,-0.004704823239381062,-1.3313672956788183,-1.756720128098518,0.4253528324196998,104.38281735015659,109.7516048636161,70.24839513638392,0.9686576981308821,1.2856199114737628,-0.26616767792785234,0.39208515116572507,-1.3126812921752489,0.21449150743918155,-0.4260909966550308
