frame,time_s,ur1,ur2,ur3,rp_x,rp_y,rp_z,head_x,head_y,head_z,tail_x,tail_y,tail_z,axis_x,axis_y,axis_z,recon_node_rms_mm,head_count,tail_count
0,0.0,0.0,0.0,0.0,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.135878864087556,-3.8667002602627405,-9.293127110129909,-8.82798551258288,-3.5406899075759086,-9.838923454284668,0.9732305135036684,-0.11785685501362063,0.19731226345993846,0.0,19,19
1,0.00010010140249505639,2.575220150902169e-06,-2.3979971956578083e-05,-1.4636580999649595e-05,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.135887820045333,-3.8667204239059045,-9.29309565059474,-8.827976607620078,-3.540669262484975,-9.838955711576313,0.9732240565555703,-0.1178716078857863,0.1973352978965994,1.1226731653816925e-11,19,19
2,0.0002000974927796051,3.856831244775094e-05,-0.0003669558500405401,-0.00022084084048401564,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.13601543208998,-3.867004415534678,-9.292645567138416,-8.82784955411169,-3.540378496585138,-9.83941716004939,0.9731319917456215,-0.11807938998276292,0.1976648281877639,1.7236031517941113e-10,19,19
3,0.0003000949800480157,0.0001857092574937269,-0.0017777530010789633,-0.001054110936820507,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.136539735508231,-3.868152357936215,-9.290794584235181,-8.82732669343323,-3.539203122612639,-9.841314841687318,0.9727534287150187,-0.1189192981598774,0.1990200177076105,8.320064782728773e-10,19,19
4,0.00040009483927860856,0.0005801383522339165,-0.005354842636734247,-0.0031198645010590553,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.137875973112897,-3.871005228648032,-9.286109552568439,-8.825991198931886,-3.536281305918587,-9.846119404711379,0.9717875638556405,-0.12100692050295106,0.2024506258965668,2.524861315545867e-09,19,19
5,0.0005000082310289145,0.001333469059318304,-0.01235941145569086,-0.007041634991765022,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.1405335245237795,-3.8764198854554874,-9.276948764985326,-8.82332688175398,-3.530735506031999,-9.855513124800654,0.9698636412271077,-0.1249692638605373,0.20915831447937197,5.761336531988269e-09,19,19
6,0.0006000376306474209,0.0026230865623801947,-0.024378566071391106,-0.01362001895904541,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.145260869049658,-3.8855010057827,-9.261282411013879,-8.818574909114133,-3.5214333270116813,-9.871578547895675,0.9664367484931147,-0.13161505847416766,0.22062975217521666,1.13397574032867e-08,19,19
7,0.0007000482873991132,0.004595682490617037,-0.042908523231744766,-0.023580217733979225,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.152993509361277,-3.899233138668896,-9.23726315212369,-8.810782487741317,-3.5073653513111007,-9.896210790299362,0.9608242428504562,-0.14166514841785113,0.23821788361623036,2.0387479484446455e-08,19,19
8,0.0008000981179066002,0.007360076066106558,-0.06931231915950775,-0.03750336542725563,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.164948599255147,-3.918374228267575,-9.203330179583329,-8.79870285702747,-3.48775395781551,-9.931010946517807,0.9521353881603798,-0.15567465990672852,0.26306577670918607,3.2568534526758946e-08,19,19
9,0.0009000186109915376,0.011176936328411102,-0.10455407947301865,-0.055513326078653336,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.182554069239128,-3.9430857077130077,-9.158659859210253,-8.78085527288814,-3.4624265223459743,-9.976836007031007,0.9393186618657545,-0.17376435887355068,0.29578099847013894,4.808205020253401e-08,19,19
10,0.0010000303154811263,0.01578686758875847,-0.14929704368114471,-0.07761914283037186,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.207569339873845,-3.9731511892997364,-9.10295442314237,-8.755420921762257,-3.431609872177178,-10.033975327710193,0.9210804871933,-0.1957740175119799,0.3365758015350659,6.93589479262223e-08,19,19
11,0.0011000941740348935,0.02073146030306816,-0.20371298491954803,-0.10360246896743774,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.241907899280683,-4.007854780722119,-9.036792756052545,-8.720424420547223,-3.396047175609624,-10.10181008659686,0.896014988138666,-0.221176167007307,0.3850171998480358,9.209354136627149e-08,19,19
12,0.0012000256683677435,0.0256462674587965,-0.26729831099510193,-0.1331273913383484,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.287350774459596,-4.046182111525532,-8.961936765846332,-8.674038175030788,-3.356784951855126,-10.178517800721327,0.8628176026120284,-0.24922576974764507,0.4398093908916972,1.226556500130685e-07,19,19
13,0.00130006717517972,0.03082776628434658,-0.3397130072116852,-0.16583380103111267,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.345764234266509,-4.087188792754082,-8.880469829982866,-8.614338198444571,-3.314782600664955,-10.261981845746831,0.8201181053923261,-0.2792345820996627,0.49943402103513973,1.5579032506477534e-07,19,19
14,0.0014000377850607038,0.03565869852900505,-0.4209912121295929,-0.20200301706790924,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.4194865651184925,-4.130095461822932,-8.794253454057245,-8.538956058884294,-3.270853748407678,-10.350263527658235,0.7662149584326305,-0.3106267184616527,0.5625172701809495,1.874287329534684e-07,19,19
15,0.0015000776620581746,0.03894812613725662,-0.51166170835495,-0.24225865304470062,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.511445704244306,-4.1737380198211795,-8.70502906644326,-8.444944501819768,-3.2262182065167933,-10.441520704601725,0.6989842057983989,-0.3425403651718408,0.6277636324862435,2.3263821521666466e-07,19,19
16,0.0016000120667740703,0.04175925627350807,-0.6117944717407227,-0.2850893437862396,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.623049386033962,-4.215359828536851,-8.616272215618542,-8.330775306186668,-3.183676174413042,-10.532235583138066,0.6173644625567404,-0.3729666553282538,0.6926449266292815,2.732707846508632e-07,19,19
17,0.0017000195803120732,0.04360044747591019,-0.7206289172172546,-0.33030447363853455,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.754946223789966,-4.25283755398244,-8.532404485934853,-8.19581776490652,-3.1454127123404696,-10.617857441131656,0.5208932382517099,-0.4003480500671575,0.7539175506320784,3.1767365782978406e-07,19,19
18,0.001800013124011457,0.04393988475203514,-0.8372613191604614,-0.37762680649757385,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-6.906630478141575,-4.283756006520353,-8.458128371280715,-8.040629527476916,-3.113909164955403,-10.69355207376118,0.40995496137352333,-0.4229143904730704,0.8081338676085937,3.7017030688363375e-07,19,19
19,0.001900073024444282,0.042586252093315125,-0.9606273770332336,-0.42576801776885986,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.0756515182357855,-4.30508175014066,-8.398039058193897,-7.867708937286617,-3.0922759139540044,-10.75459621957627,0.2863387485403216,-0.4384446089429265,0.8519251410618464,4.1870558364344195e-07,19,19
20,0.0020000061485916376,0.039581023156642914,-1.0892839431762695,-0.47376546263694763,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.258015237144488,-4.314853268553127,-8.356481015709909,-7.681156980502647,-3.0825167424051534,-10.796545022569928,0.1529710780230308,-0.4455051997374104,0.8821139191144203,4.6764233489824437e-07,19,19
21,0.002100015990436077,0.03441485017538071,-1.2205511331558228,-0.5212492346763611,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.447469191410914,-4.312071208182157,-8.336847853699142,-7.487451260936537,-3.0856466832600584,-10.81594021281174,0.014454022494655158,-0.44336793671623403,0.8962231607840279,5.338880502647706e-07,19,19
22,0.0022000118624418974,0.0269483495503664,-1.3519794940948486,-0.5671740174293518,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.636897683260138,-4.296352266043617,-8.340278945397037,-7.29389743389586,-3.102046017960812,-10.811634448142613,-0.12399891698468202,-0.43175677447694055,0.8934261896093567,5.662151605429474e-07,19,19
23,0.0023000652436167,0.017035266384482384,-1.4819191694259644,-0.610646665096283,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.820240254976469,-4.268146417179684,-8.365885150400553,-7.106709324626527,-3.1312436949784686,-10.784550157777522,-0.2579504322881697,-0.41100467574345034,0.8743779108596966,6.131112751464863e-07,19,19
24,0.002400081604719162,0.004389765206724405,-1.6080957651138306,-0.6510225534439087,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-7.991407292896202,-4.2288765427934365,-8.411024318164362,-6.9321459630302185,-3.171768048246767,-10.737416733908583,-0.38293633299269386,-0.3821580558674261,0.8410202049949441,6.434975835321423e-07,19,19
25,0.0025000248569995165,-0.011042922735214233,-1.7279177904129028,-0.6873371005058289,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.144920156085819,-4.180822905617572,-8.47116683092514,-6.775811512598481,-3.2212698156432165,-10.674894127137929,-0.49495004549252686,-0.34689054648400836,0.7966752169027047,6.809048723976765e-07,19,19
26,0.0026000626385211945,-0.02909787744283676,-1.839713215827942,-0.7191102504730225,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.278072025943688,-4.126723736147383,-8.54122307491778,-6.640461142290691,-3.276931272199499,-10.602217487375768,-0.5920169923831202,-0.30721069557990954,0.7450754788952276,7.026246027882463e-07,19,19
27,0.002700087381526828,-0.04947740584611893,-1.9412579536437988,-0.7460579872131348,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.389126969263822,-4.069744690173685,-8.615369490553558,-6.527850641490738,-3.335496848239753,-10.525381308451903,-0.672874871901259,-0.265439857163059,0.6904933663643112,7.192217564531164e-07,19,19
28,0.0028000310994684696,-0.07239595055580139,-2.031198024749756,-0.7686126232147217,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.478788338431626,-4.012047663963293,-8.688340636787618,-6.437266976995466,-3.394742030108734,-10.44979994413357,-0.7380357253044666,-0.22316377375345423,0.6367897598567576,7.600396806423297e-07,19,19
29,0.0029000609647482634,-0.0980302095413208,-2.1107099056243896,-0.7871034741401672,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.550439163954266,-3.954281515226724,-8.757545082613012,-6.365236304404893,-3.4540032684224364,-10.378108177532827,-0.7899783993689786,-0.18085689707136335,0.5858540017036199,7.820040730768704e-07,19,19
30,0.0030000130645930767,-0.12670005857944489,-2.1792545318603516,-0.8016467690467834,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.605912295162364,-3.8972407158294087,-8.819715601142764,-6.309883469825898,-3.512463715368098,-10.31364093373621,-0.8300433840354667,-0.13910173950674148,0.5400728531273807,7.6958550285139e-07,19,19
31,0.003100103698670864,-0.1561211496591568,-2.235196352005005,-0.812513530254364,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.646473453473346,-3.844488503041275,-8.871830402858137,-6.26980205754168,-3.566470755123844,-10.259545724466841,-0.8591966905861145,-0.10050692297797538,0.5016765943507512,7.991508433582592e-07,19,19
32,0.003200049977749586,-0.1871335357427597,-2.2791190147399902,-0.8218754529953003,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.675268142065125,-3.7951661914516093,-8.91330041418914,-6.241834619832231,-3.6168882236870177,-10.216463053811433,-0.8797169152802514,-0.06444973426699127,0.47110973320736355,7.905819055571854e-07,19,19
33,0.0033000234980136156,-0.22047314047813416,-2.3112359046936035,-0.8294238448143005,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.69398989791609,-3.7484156619936293,-8.942749960202203,-6.224261534627508,-3.66460230724713,-10.185743017044615,-0.8928379581698056,-0.03029958501978066,0.44935767001220916,8.08841173100619e-07,19,19
34,0.0034000675659626722,-0.2553962767124176,-2.3323020935058594,-0.8358570337295532,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.704467319616588,-3.7045825357674325,-8.960653483062583,-6.215181476824931,-3.7092584040359866,-10.166907492530479,-0.8999082337215758,0.0016903853636793882,0.4360760409348765,7.942534496991878e-07,19,19
35,0.0035000150091946125,-0.29083558917045593,-2.3418939113616943,-0.8422231674194336,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.707554151699743,-3.6647455808782095,-8.96663613476445,-6.213687548047552,-3.7497492845603397,-10.160377455056672,-0.901564236557506,0.030729911175885978,0.4315525459542602,8.061563341399906e-07,19,19
36,0.0036000218242406845,-0.3263712227344513,-2.3399457931518555,-0.8475403785705566,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.703525630853632,-3.6292449422224564,-8.959958980977227,-6.219466165433493,-3.7857469290929933,-10.166843526651173,-0.8980188323726765,0.056577442476689305,0.4363039877273779,7.933712583898116e-07,19,19
37,0.003700046567246318,-0.36243483424186707,-2.325943946838379,-0.8515028953552246,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.692036092058888,-3.597752730813889,-8.93977124402716,-6.232892591040502,-3.8175902820863077,-10.187128169158855,-0.8890113969344445,0.07947404796605217,0.4509352634476011,8.150389093568672e-07,19,19
38,0.003800000064074993,-0.3989773690700531,-2.3002359867095947,-0.8537394404411316,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.672756190953667,-3.5701537954563785,-8.906557419409193,-6.254303281414007,-3.845403884902293,-10.220687366873893,-0.8743012348159633,0.09950637952738726,0.47507455334150794,8.182777531916256e-07,19,19
39,0.0039000744000077248,-0.43629154562950134,-2.262371778488159,-0.8544207811355591,-7.468173980712891,-3.6769180297851562,-9.550745010375977,-8.644501163844108,-3.5463533270069854,-8.860381503279193,-6.284934836369069,-3.869277777848234,-10.267428464655833,-0.8530129925640236,0.11674126256876816,0.5086652259893721,7.805086855952087e-07,19,19
