frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element
0,0.0,0.26938533088521566,119,450,0.2743660911082972,118,438
1,0.00010010140249505639,0.26936025930299967,119,450,0.27434743457896793,118,438
2,0.00020009747822768986,0.2690049954973783,119,450,0.2740831438425364,118,438
3,0.00030009495094418526,0.2675572530806646,119,450,0.2730069046711407,118,438
4,0.0004000964399892837,0.263926226659806,119,450,0.2703165434114601,118,438
5,0.0005000106757506728,0.256986245884727,119,450,0.2632411734841732,119,450
6,0.0006000370485708117,0.24523595632879544,119,450,0.2508844268316038,119,450
7,0.0007000611512921751,0.22733065422834625,119,450,0.2321099713762813,119,450
8,0.0008000059169717133,0.20227462668408805,119,450,0.2059769421891821,119,450
9,0.0009000400896184146,0.15636150418715095,130,429,0.17206751506271073,119,450
10,0.0010000584879890084,0.1046957461596249,130,429,0.13075403872553476,119,450
11,0.0011000139638781548,0.044426820216387095,130,429,0.06344853990326962,130,429
12,0.0012000863207504153,0.007218089488897899,130,429,0.012801389416315357,130,429
13,0.0013000426115468144,0.06293026268164953,130,429,0.0638544281778122,141,429
14,0.0014000559458509088,0.05261973854673766,74,388,0.06934205567428446,75,400
15,0.0015000704443082213,-0.0005329466905074562,74,400,0.05722760947588697,74,400
16,0.0016000049654394388,0.05391541893237355,7,389,0.07941009626779602,74,388
17,0.0017000631196424365,0.07580196856829222,7,389,0.09550748147761831,7,389
18,0.001800053520128131,0.08706767746417275,7,389,0.10991886812684505,7,389
19,0.0019000484608113766,0.08778030830689443,7,389,0.11075147719949578,2,401
20,0.0020000594668090343,0.07887812465450922,7,389,0.10748780766951521,2,401
21,0.0021000010892748833,0.04933229734230696,7,401,0.09329800561583963,56,401
22,0.002200083341449499,0.02128912184894454,7,401,0.03403251487693061,7,401
23,0.002300034509971738,0.002712568852275061,7,401,0.012210326539836676,5,442
24,0.002400042489171028,0.032825970937391355,7,401,0.03289461748601447,7,401
25,0.002500009024515748,0.04545873092271541,58,404,0.05429252336616709,7,401
26,0.0026000451762229204,0.043020819390936146,58,404,0.06633805088512834,7,401
27,0.0027000687550753355,0.0347745355805585,58,404,0.06414166201104864,58,404
28,0.0028000453021377325,0.021341928284640613,58,404,0.04246720523106475,61,404
29,0.002900016028434038,0.0038889386272311795,58,404,0.025610049822864397,58,404
30,0.003000000026077032,0.0009491465410101756,57,401,0.014349356899494495,58,401
