frame,time_s,cpress_max_mpa,instance,node,x_mm,y_mm,z_mm,pipe_max_mpa,robot_max_mpa,terminal_stop_max_mpa
0,0.0,8.683991026270377e-12,ROBOT_SOLID-1,11,-8.612797737121582,-3.927337169647217,-9.742330551147461,0.0,8.683991026270377e-12,0.0
1,0.00010010140249505639,0.0008854995830915868,ROBOT_SOLID-1,51,-6.062097775439952,-3.6175782591544703,-9.424464755487861,0.0,0.0008854995830915868,0.0
2,0.00020009747822768986,0.003192146075889468,ROBOT_SOLID-1,51,-6.062128234611009,-3.6178708701045252,-9.423981675470714,0.0,0.003192146075889468,0.0
3,0.00030009495094418526,0.006900398060679436,ROBOT_SOLID-1,217,-8.235526344622485,-3.401133917272091,-10.118536058929749,0.0,0.006900398060679436,0.0
4,0.0004000964399892837,0.007550165522843599,ROBOT_SOLID-1,141,-6.455647558439523,-3.984949411591515,-8.91795010259375,0.0,0.007550165522843599,0.0
5,0.0005000106757506728,0.012888474389910698,ROBOT_SOLID-1,36,-6.219148198142648,-4.1874525444582105,-9.152746754698455,0.0,0.012888474389910698,0.0
6,0.0006000370485708117,0.013268724083900452,ROBOT_SOLID-1,38,-6.262711353600025,-3.9978891350328922,-8.901574321091175,0.0,0.013268724083900452,0.0
7,0.0007000611512921751,0.028842324391007423,ROBOT_SOLID-1,217,-8.204787388443947,-3.380706613883376,-10.148195354267955,0.0,0.028842324391007423,0.0
8,0.0008000059169717133,0.045111034065485,ROBOT_SOLID-1,217,-8.184281226247549,-3.368291713297367,-10.166452135890722,0.0,0.045111034065485,0.0
9,0.0009000400896184146,0.03706100210547447,ROBOT_SOLID-1,38,-6.332106314599514,-4.053676277399063,-8.811802133917809,0.0,0.03706100210547447,0.0
10,0.0010000584879890084,0.039805151522159576,ROBOT_SOLID-1,38,-6.374561980366707,-4.0823643654584885,-8.764445126056671,0.0,0.039805151522159576,0.0
11,0.0011000139638781548,0.04927510768175125,ROBOT_SOLID-1,34,-6.213040351867676,-4.226640462875366,-9.216161131858826,0.0,0.04927510768175125,0.0
12,0.0012000863207504153,0.02499263361096382,ROBOT_SOLID-1,70,-8.642972201108932,-3.124204307794571,-10.065760254859924,0.0,0.02499263361096382,0.0
13,0.0013000426115468144,0.45015591382980347,ROBOT_SOLID-1,57,-8.532015413045883,-3.5178963989019394,-10.430014044046402,0.0,0.45015591382980347,0.0
14,0.0014000559458509088,0.010089936666190624,ROBOT_SOLID-1,141,-6.673707827925682,-4.043607417494059,-8.775785088539124,0.0,0.010089936666190624,0.0
15,0.0015000704443082213,0.2813631594181061,ROBOT_SOLID-1,60,-8.547157660126686,-3.5301459431648254,-10.466550290584564,0.012357928790152073,0.2813631594181061,0.0
16,0.0016000049654394388,0.01586533896625042,ROBOT_SOLID-1,36,-6.313030369579792,-4.148918349295855,-8.981103867292404,0.0,0.01586533896625042,0.0
17,0.0017000631196424365,0.016724348068237305,ROBOT_SOLID-1,36,-6.265213217586279,-4.103649087250233,-8.978847488760948,0.0,0.016724348068237305,0.0
18,0.001800053520128131,0.03096635825932026,ROBOT_SOLID-1,128,-6.850311350077391,-4.0158887431025505,-9.113894511014223,0.0,0.03096635825932026,0.0
19,0.0019000484608113766,0.08793257176876068,ROBOT_SOLID-1,60,-8.44794887304306,-3.724761191755533,-10.450416445732117,0.0,0.08793257176876068,0.0
20,0.0020000594668090343,0.04073414206504822,ROBOT_SOLID-1,178,-7.161159317940474,-3.2681382410228252,-9.24075148999691,0.0,0.04073414206504822,0.0
21,0.0021000010892748833,0.08690062910318375,ROBOT_SOLID-1,186,-7.141570068895817,-3.2224268913269043,-9.61369164288044,0.0,0.08690062910318375,0.0
22,0.002200083341449499,0.13406750559806824,ROBOT_SOLID-1,138,-7.049900572746992,-3.9088302451418713,-9.045969484373927,0.0,0.13406750559806824,0.0
23,0.002300034509971738,0.025317637249827385,ROBOT_SOLID-1,177,-7.268715463578701,-3.4341012351214886,-9.083597049117088,0.0,0.025317637249827385,0.0
24,0.002400042489171028,0.023758435621857643,ROBOT_SOLID-1,195,-7.728803850710392,-3.4615897685289383,-9.466084770858288,0.0,0.023758435621857643,0.0
25,0.002500009024515748,0.028602510690689087,ROBOT_SOLID-1,105,-6.633670538663864,-3.8592244684696198,-9.470053650438786,0.0,0.028602510690689087,0.0
26,0.0026000451762229204,0.16101981699466705,ROBOT_SOLID-1,129,-6.454223573207855,-3.972864344716072,-8.985787488520145,0.0,0.16101981699466705,0.0
27,0.0027000687550753355,0.011676527559757233,ROBOT_SOLID-1,4,-5.992443524301052,-3.3242445290088654,-8.897981524467468,0.0,0.011676527559757233,0.0
28,0.0028000453021377325,0.017879463732242584,ROBOT_SOLID-1,63,-8.09783285856247,-3.9492782652378082,-10.457759737968445,0.0,0.017879463732242584,0.0
29,0.002900016028434038,0.101051926612854,ROBOT_SOLID-1,63,-8.037321150302887,-3.9312910437583923,-10.501227915287018,0.0,0.101051926612854,0.0
30,0.003000000026077032,0.024375159293413162,ROBOT_SOLID-1,51,-6.156438052654266,-3.282644659280777,-8.59037971496582,0.0,0.024375159293413162,0.0
