frame,time_s,node,x_mm,y_mm,z_mm
0,0.0,1,-8.969931602478027,-3.5264968872070312,-9.859496116638184
0,0.0,2,-8.447900772094727,-3.5493698120117188,-10.208362579345703
0,0.0,3,-8.642191886901855,-3.5375540256500244,-9.436598777770996
0,0.0,4,-6.061990737915039,-3.8215198516845703,-9.52404499053955
0,0.0,5,-6.234184741973877,-3.8283982276916504,-8.896607398986816
0,0.0,6,-8.838465690612793,-3.5224409103393555,-10.024011611938477
0,0.0,7,-8.658005714416504,-3.5246880054473877,-10.17625904083252
0,0.0,8,-8.478053092956543,-3.720210075378418,-10.17269229888916
0,0.0,9,-8.52147388458252,-3.856043815612793,-10.067658424377441
0,0.0,10,-8.569563865661621,-3.929966449737549,-9.914064407348633
0,0.0,11,-8.612797737121582,-3.927337169647217,-9.742330551147461
0,0.0,12,-8.64261245727539,-3.8486766815185547,-9.586471557617188
0,0.0,13,-8.65310287475586,-3.7095651626586914,-9.477356910705566
0,0.0,14,-8.81191635131836,-3.530655860900879,-9.56651496887207
0,0.0,15,-8.92562198638916,-3.5285518169403076,-9.709344863891602
0,0.0,16,-8.612039566040039,-3.366713762283325,-9.472268104553223
0,0.0,17,-8.568617820739746,-3.2308802604675293,-9.577301979064941
0,0.0,18,-8.520528793334961,-3.1569573879241943,-9.730896949768066
0,0.0,19,-8.477294921875,-3.1595869064331055,-9.902629852294922
0,0.0,20,-8.447480201721191,-3.2382471561431885,-10.058489799499512
0,0.0,21,-8.436989784240723,-3.377359390258789,-10.167604446411133
0,0.0,22,-8.247740745544434,-3.574084758758545,-10.15798282623291
0,0.0,23,-8.04758071899414,-3.598799705505371,-10.107604026794434
0,0.0,24,-7.847419738769531,-3.6235146522521973,-10.05722427368164
0,0.0,25,-7.647259712219238,-3.6482295989990234,-10.006845474243164
0,0.0,26,-7.447099208831787,-3.6729445457458496,-9.956465721130371
0,0.0,27,-7.246938705444336,-3.697659492492676,-9.906086921691895
0,0.0,28,-7.046778202056885,-3.722374439239502,-9.855707168579102
0,0.0,29,-6.846618175506592,-3.747089385986328,-9.805328369140625
