frame,time_s,x_mm,y_mm,z_mm,s_mm,centerline_distance_mm,region,axis_tangent_angle_deg,u1,u2,u3,ur1,ur2,ur3,v_mag_mm_s,a_mag_mm_s2,vr_mag_rad_s
0,0.0,-7.468173980712891,-3.6769180297851562,-9.550745010375977,13.814214119926389,0.5126675116782966,IN_BEND,2.855352853608484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2988599105404646e-05,0.0
1,0.00010010140249505639,-7.468173960218191,-3.67691779554373,-9.550745049041971,13.81421412560787,0.5126672869386801,IN_BEND,2.856708804002254,2.0494699271011996e-08,2.342414262557213e-07,-3.866599485036204e-08,2.5732711037562694e-06,-2.3959208192536607e-05,-1.4681162610941101e-05,0.01000951317728841,232.38991206150874,1.113290417285219
2,0.00020009747822768986,-7.46817337936676,-3.676914198790655,-9.550745498003266,13.814213922524452,0.5126638587776101,IN_BEND,2.875986776104433,6.01346130224556e-07,3.830994501186069e-06,-4.876272896581213e-07,3.8621034036623314e-05,-0.00036633078707382083,-0.00022210238967090845,0.07707128821960917,124.52155429468922,8.40567025149612
3,0.00030009495094418526,-7.468168868766952,-3.676900123440646,-9.550745934959536,13.814210664934675,0.5126506822339291,IN_BEND,2.955184748434256,5.1119459385517985e-06,1.7906344510265626e-05,-9.245835599358543e-07,0.00018667122640181333,-0.0017732051201164722,-0.0010630215983837843,0.24168437626291536,12307.541664858927,26.619641903163277
4,0.0004000964399892837,-7.468152523328172,-3.67686759883145,-9.55074678445692,13.814197335730912,0.5126193072782941,IN_BEND,3.1578213440012957,2.1457384718814865e-05,5.043095370638184e-05,-1.7740809425959014e-06,0.0005845859413966537,-0.0053368136286735535,-0.0031558023765683174,0.5167436658181299,8976.580474695615,59.00194685470696
5,0.0005000106757506728,-7.4681163169807405,-3.676771930695395,-9.550779477522156,13.814176186543348,0.5125148995314086,IN_BEND,3.561612844554374,5.76637321501039e-05,0.00014609908976126462,-3.446714617894031e-05,0.0013467799872159958,-0.012308300472795963,-0.0071466355584561825,1.5552195696349405,14383.979759354788,106.15176684573122
6,0.0006000370485708117,-7.468039925821358,-3.6766134693170898,-9.550837445225625,13.814125987183864,0.512337397212887,IN_BEND,4.275849911724779,0.000134054891532287,0.00030456046806648374,-9.243484964827076e-05,0.0026618235278874636,-0.024260705336928368,-0.013871756382286549,2.2840310936908774,41192.25962430597,171.783598476243
7,0.0007000611512921751,-7.467840889963554,-3.6764057078398764,-9.550916503721965,13.813964542305188,0.512086503113425,IN_BEND,5.410088980994586,0.0003330907493364066,0.0005123219452798367,-0.00017149334598798305,0.004661812447011471,-0.04267110675573349,-0.024094488471746445,3.716263490691542,39376.59731550404,253.39125276331376
8,0.0008000059169717133,-7.467513442330528,-3.6761225961963646,-9.551022036990616,13.813689320569118,0.5117361266563888,IN_BEND,7.055683730816062,0.0006605383823625743,0.0007954335887916386,-0.0002770266146399081,0.00756329670548439,-0.06884010881185532,-0.03837313503026962,5.39013342775221,134957.67126659572,347.5047055738985
9,0.0009000400896184146,-7.467060075257905,-3.6757377819158137,-9.551139732153388,13.81330161790845,0.5112705333921836,IN_BEND,9.27680161198844,0.0011139054549857974,0.0011802478693425655,-0.00039472177741117775,0.011588637717068195,-0.10383927822113037,-0.05698458105325699,6.746869026483192,15707.609119483634,450.38734064454223
10,0.0010000584879890084,-7.466609754599631,-3.675171560025774,-9.55133983597625,13.812948025579317,0.510609545722881,IN_BEND,12.100341333626499,0.0015642261132597923,0.0017464697593823075,-0.0005948256002739072,0.016452930867671967,-0.14822569489479065,-0.0799592062830925,8.16062113720814,72228.27166642674,554.7171307717407
11,0.0011000139638781548,-7.466274624923244,-3.6744474065490067,-9.551594940654468,13.812730114570137,0.5098053491128529,IN_BEND,15.523038639771912,0.0018993557896465063,0.0024706232361495495,-0.0008499302784912288,0.021650219336152077,-0.20209501683712006,-0.10710851848125458,8.445039636676887,71834.23886682541,656.5614442659238
12,0.0012000863207504153,-7.463633380830288,-3.6663106586784124,-9.56025427673012,13.812622867051621,0.4982613610720976,IN_BEND,18.473532736922635,0.004540599882602692,0.010607371106743813,-0.00950926635414362,0.03383063152432442,-0.2525985538959503,-0.12335273623466492,513.6610304704808,130062.2831347364,469.03913196607186
13,0.0013000426115468144,-7.452720420435071,-3.6327686458826065,-9.5969641469419,13.812374506588707,0.45058267061844104,IN_BEND,18.528225795712085,0.015453560277819633,0.044149383902549744,-0.04621913656592369,0.06728029996156693,-0.2694191038608551,-0.09486446529626846,502.5734621002863,1010073.3232001655,475.23989378303645
14,0.0014000559458509088,-7.441515767946839,-3.599860154092312,-9.632565066218376,13.811556663354642,0.4046547586095882,IN_BEND,19.342907666808813,0.026658212766051292,0.07705787569284439,-0.0818200558423996,0.10004494339227676,-0.2966153621673584,-0.07148458808660507,490.55451995335676,62038.162503130814,490.5221349481828
15,0.0015000704443082213,-7.429105713963509,-3.572541542351246,-9.661088459193707,13.807628943390403,0.36718697944743944,IN_BEND,20.28995628717657,0.03906826674938202,0.10437648743391037,-0.11034344881772995,0.13071738183498383,-0.3250832259654999,-0.04670700058341026,219.63522174153323,850055.9301995464,695.4357990518865
16,0.0016000049654394388,-7.4117296524345875,-3.5777930542826653,-9.64880270510912,13.787676891379354,0.37382619127893063,IN_BEND,18.474724118610105,0.056444328278303146,0.099124975502491,-0.09805769473314285,0.1576286405324936,-0.31071603298187256,0.011557775549590588,218.6898259957057,154129.83497090524,622.8884951037318
17,0.0017000631196424365,-7.394133858382702,-3.5825511664152145,-9.636982031166553,13.767647415401413,0.37990596709344204,IN_BEND,17.67575145237933,0.07404012233018875,0.09436686336994171,-0.08623702079057693,0.18576394021511078,-0.30737075209617615,0.06457765400409698,215.64997664578402,113325.49094712306,579.2510434869563
