frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element
0,0.0,0.26938533088521566,119,450,0.2743660911082972,118,438
1,0.00010010140249505639,0.26936026432707283,119,450,0.2743474389709882,118,438
2,0.00020009747822768986,0.2690050815054268,119,450,0.27408321943424463,118,438
3,0.00030009500915184617,0.2675581212918874,119,450,0.27300728168860355,118,438
4,0.0004000964399892837,0.2639275753949292,119,450,0.27031771413053496,118,438
5,0.0005000102100893855,0.25698866380051455,119,450,0.26324422252647045,119,450
6,0.0006000337889418006,0.24524236068154023,119,450,0.2508906977071958,119,450
7,0.0007000539335422218,0.22733752159631587,119,450,0.23211788007327586,119,450
8,0.0008001028909347951,0.2022251218822871,119,450,0.20592615532869463,119,450
9,0.000900024373549968,0.15631430947934777,130,429,0.17201618951663641,119,450
10,0.0010000310139730573,0.10464128065294867,130,429,0.13069596634964073,119,450
11,0.001100089168176055,0.04432419699338662,130,429,0.06327934759021671,130,429
12,0.0012000525603070855,0.007249331977746723,130,429,0.012771715363128945,130,429
13,0.0013000078033655882,0.06281600830039355,130,429,0.06403015117320274,141,441
14,0.001400029519572854,0.052492401594123834,74,388,0.06961966440169136,75,400
15,0.0015000409912317991,-0.00042901735363780336,74,400,0.05657144800493004,74,400
16,0.0016000783070921898,0.05372132582077176,7,389,0.07946743005104585,74,388
17,0.001700031803920865,0.07533258130990553,7,389,0.09501804015429668,7,389
18,0.001800043974071741,0.08641300805844705,7,389,0.10930967703566692,7,389
19,0.0019000410102307796,0.08685586818262281,7,389,0.10949420062940028,2,401
20,0.0020000613294541836,0.06860677979737345,7,401,0.10681043766931222,2,401
21,0.0021000050473958254,0.047771135080492286,7,401,0.0907229578882164,7,401
22,0.002200073329731822,0.019153723744834764,7,401,0.030133611874660553,7,401
23,0.002300024265423417,0.0015328004005342928,5,442,0.008482330520645813,5,442
24,0.002400030381977558,0.032781575322795284,55,442,0.042372380226482306,7,401
25,0.0025000926107168198,0.04866616259541582,55,442,0.07059363479584058,7,401
26,0.0026000654324889183,0.052117299403488616,55,442,0.07901089124147433,152,442
27,0.0027000736445188522,0.04372293966398696,55,442,0.07428734529508309,152,442
28,0.0028000748716294765,0.024178044880050244,55,442,0.047286594325618596,54,442
29,0.0029000432696193457,-0.002726838697129249,55,442,0.03127487572445022,153,442
30,0.003000000026077032,0.01575192047134881,54,442,0.03918088938517788,58,404
