frame,time_s,cpress_max_mpa,instance,node,x_mm,y_mm,z_mm,pipe_max_mpa,robot_max_mpa,terminal_stop_max_mpa
0,0.0,8.683991026270377e-12,ROBOT_SOLID-1,11,-8.612797737121582,-3.927337169647217,-9.742330551147461,0.0,8.683991026270377e-12,0.0
1,0.00010010140249505639,0.0008029690361581743,ROBOT_SOLID-1,51,-6.062097770954779,-3.617578256082197,-9.424464757925307,0.0,0.0008029690361581743,0.0
2,0.00020009747822768986,0.0031026536598801613,ROBOT_SOLID-1,51,-6.062128163455782,-3.6178708068910055,-9.423981714295223,0.0,0.0031026536598801613,0.0
3,0.00030009500915184617,0.006758370902389288,ROBOT_SOLID-1,217,-8.235526007134467,-3.4011336001567543,-10.118536251480691,0.0,0.006758370902389288,0.0
4,0.0004000964399892837,0.007101365365087986,ROBOT_SOLID-1,75,-8.557725898455828,-3.3509182336274534,-10.153643670491874,0.0,0.007101365365087986,0.0
5,0.0005000102100893855,0.015271260403096676,ROBOT_SOLID-1,36,-6.219145381823182,-4.187451844103634,-9.152752076275647,0.0,0.015271260403096676,0.0
6,0.0006000337889418006,0.01464024931192398,ROBOT_SOLID-1,51,-6.064745526993647,-3.6371172480285168,-9.3903848528862,0.0,0.01464024931192398,0.0
7,0.0007000539335422218,0.029470792040228844,ROBOT_SOLID-1,217,-8.204772464931011,-3.3806919287890196,-10.14820421487093,0.0,0.029470792040228844,0.0
8,0.0008001028909347951,0.06120477616786957,ROBOT_SOLID-1,217,-8.184209305793047,-3.36824007704854,-10.166526906192303,0.0,0.06120477616786957,0.0
9,0.000900024373549968,0.03702821582555771,ROBOT_SOLID-1,38,-6.332156166434288,-4.053655989468098,-8.811751693487167,0.0,0.03702821582555771,0.0
10,0.0010000310139730573,0.028640586882829666,ROBOT_SOLID-1,197,-7.616901718080044,-3.239632645621896,-9.72159262187779,0.0,0.028640586882829666,0.0
11,0.001100089168176055,0.04481677711009979,ROBOT_SOLID-1,34,-6.213184334337711,-4.226841449737549,-9.215947419404984,0.0,0.04481677711009979,0.0
12,0.0012000525603070855,0.016107724979519844,ROBOT_SOLID-1,77,-7.929143488407135,-3.6723070293664932,-10.219914585351944,0.0,0.016107724979519844,0.0
13,0.0013000078033655882,0.035936061292886734,ROBOT_SOLID-1,57,-8.531912729144096,-3.5179796665906906,-10.429847091436386,0.0,0.035936061292886734,0.0
14,0.001400029519572854,0.015681317076086998,ROBOT_SOLID-1,87,-8.1292085647583,-3.689146876335144,-10.343920946121216,0.0,0.015681317076086998,0.0
15,0.0015000409912317991,0.22210414707660675,ROBOT_SOLID-1,116,-7.076047360897064,-4.072271589189768,-9.378532562404871,0.0,0.22210414707660675,0.0
16,0.0016000783070921898,0.02824479714035988,ROBOT_SOLID-1,75,-8.282922595739365,-3.153376415371895,-10.496040970087051,0.0,0.02824479714035988,0.0
17,0.001700031803920865,0.04932486638426781,ROBOT_SOLID-1,216,-8.03718239068985,-3.117074817419052,-10.235039085149765,0.0,0.04932486638426781,0.0
18,0.001800043974071741,0.021081065759062767,ROBOT_SOLID-1,119,-6.409977746196091,-4.094635419547558,-9.051568388938904,0.0,0.021081065759062767,0.0
19,0.0019000410102307796,0.028365157544612885,ROBOT_SOLID-1,4,-6.02571938931942,-3.5794607549905777,-9.145659744739532,0.0,0.028365157544612885,0.0
20,0.0020000613294541836,0.016207875683903694,ROBOT_SOLID-1,215,-8.1054018586874,-3.154894445091486,-10.067461967468262,0.0,0.016207875683903694,0.0
21,0.0021000050473958254,0.03266163170337677,ROBOT_SOLID-1,36,-6.188729660585523,-3.979688823223114,-8.861946642398834,0.0,0.03266163170337677,0.0
22,0.002200073329731822,0.08256936818361282,ROBOT_SOLID-1,53,-6.328542500734329,-3.325943872332573,-8.617695391178131,0.0,0.08256936818361282,0.0
23,0.002300024265423417,0.26477301120758057,ROBOT_SOLID-1,138,-7.042039413936436,-3.9168655490502715,-9.032786082476377,0.0,0.26477301120758057,0.0
24,0.002400030381977558,0.0064234607852995396,ROBOT_SOLID-1,2,-7.931988894939423,-3.415247693657875,-10.535011500120163,0.0,0.0064234607852995396,0.0
25,0.0025000926107168198,0.010747461579740047,ROBOT_SOLID-1,4,-6.012838296592236,-3.3776749670505524,-8.916179955005646,0.0,0.010747461579740047,0.0
26,0.0026000654324889183,0.011395562440156937,ROBOT_SOLID-1,2,-7.9327287673950195,-3.3865453898906708,-10.483826994895935,0.0,0.011395562440156937,0.0
27,0.0027000736445188522,0.0870124101638794,ROBOT_SOLID-1,158,-6.681109644472599,-3.6971719339489937,-8.656227797269821,0.0,0.0870124101638794,0.0
28,0.0028000748716294765,0.021711183711886406,ROBOT_SOLID-1,98,-7.671378493309021,-3.826861411333084,-10.378984868526459,0.0,0.021711183711886406,0.0
29,0.0029000432696193457,8.98662281036377,ROBOT_SOLID-1,55,-6.325412981212139,-3.712278291583061,-8.41432511806488,0.3495914041996002,8.98662281036377,0.0
30,0.003000000026077032,0.010026982985436916,ROBOT_SOLID-1,65,-8.179099917411804,-3.8934443593025208,-10.471487939357758,0.0,0.010026982985436916,0.0
