station,x_mm,y_mm,z_mm,arclength_mm
0,5.953066659831171,-4.74027199620593,-6.513360885666188,0.0
1,-7.013922040622581,-3.2601444204113523,-9.709470025728308,13.43684067158316
2,-7.438677387989865,-3.2278928365401356,-9.80332004242207,13.87303454523652
3,-7.868629493317964,-3.2273894538749897,-9.876845746380289,14.309228418889878
4,-8.300506161473152,-3.2586381034619443,-9.92948756259981,14.74542229254324
5,-8.731020550236504,-3.3214009642091957,-9.960844855073203,15.1816161661966
6,-9.156896185157839,-3.4152003728492026,-9.970678975870698,15.61781003984996
7,-9.574891895504662,-3.5393224592445853,-9.958915081395018,16.05400391350332
8,-9.981826481528527,-3.6928225793709095,-9.925642701986359,16.49019778715668
9,-10.374602925315969,-3.874532504628107,-9.871115060542431,16.92639166081004
10,-10.750231960964866,-4.083069312765518,-9.795747145339314,17.362585534463403
11,-11.105854824702917,-4.31684591275525,-9.700112551720096,17.79877940811676
12,-11.438765011806117,-4.5740831235132084,-9.584939116687963,18.234973281770124
13,-11.746428874733947,-4.852823214541454,-9.451103379627133,18.671167155423483
14,-12.026504905717005,-5.150944805439389,-9.299623911308867,19.10736102907684
15,-12.276861557044974,-5.466179010889546,-9.131653561952866,19.5435549027302
16,-12.495593463431778,-5.79612670824483,-8.948470687341006,19.979748776383563
17,-12.681035942995873,-6.1382767963005005,-8.751469419757921,20.41594265003692
18,-17.864003158327172,-16.836143179198515,-2.487190296668601,33.85278332162008
