node,x_mm,y_mm,z_mm
1,-16.53129005432129,-17.286890029907227,-1.966903567314148
2,-16.970186233520508,-17.1510066986084,-2.10575532913208
3,-17.05950927734375,-16.950855255126953,-1.8385711908340454
4,-16.72270393371582,-16.977619171142578,-1.5996919870376587
5,-16.3317928314209,-16.88944435119629,-2.1982030868530273
6,-16.523500442504883,-16.579700469970703,-1.830430269241333
7,-17.324413299560547,-17.031705856323242,-2.2037384510040283
8,-17.363563537597656,-16.87369155883789,-1.9659970998764038
9,-17.209299087524414,-16.770736694335938,-1.6574490070343018
10,-17.105709075927734,-16.681476593017578,-1.418755054473877
11,-16.90709114074707,-16.283105850219727,-1.649216890335083
12,-17.577678680419922,-16.477811813354492,-1.4725749492645264
13,-17.48390769958496,-16.68798828125,-1.7501235008239746
14,-17.37978172302246,-16.079130172729492,-1.703118920326233
15,-17.925607681274414,-16.744794845581055,-2.2251222133636475
16,-17.759902954101562,-16.66241455078125,-1.9421120882034302
17,-17.585744857788086,-16.818187713623047,-2.060621500015259
18,-17.62891960144043,-16.909709930419922,-2.2546041011810303
19,-17.333993911743164,-17.17780876159668,-2.4626851081848145
20,-17.651777267456055,-17.044994354248047,-2.5063276290893555
21,-16.982091903686523,-17.319700241088867,-2.4054620265960693
22,-17.971200942993164,-16.898441314697266,-2.5277953147888184
23,-17.05963897705078,-17.435022354125977,-2.6696643829345703
24,-17.34455680847168,-17.351375579833984,-2.769606113433838
25,-16.863309860229492,-17.63202476501465,-2.843027353286743
26,-16.58275604248047,-17.526418685913086,-2.4219961166381836
27,-16.664323806762695,-17.235105514526367,-3.0756664276123047
28,-16.383337020874023,-17.12933921813965,-2.653991222381592
29,-18.01132583618164,-16.42266082763672,-1.7466437816619873
30,-17.813894271850586,-16.02246856689453,-1.9768860340118408
31,-18.290287017822266,-16.5296573638916,-2.167555093765259
32,-18.34157371520996,-16.768352508544922,-2.6210641860961914
33,-17.939144134521484,-17.06184959411621,-2.780857801437378
34,-18.15082550048828,-17.076547622680664,-2.9869983196258545
35,-17.67214012145996,-17.212980270385742,-2.81204891204834
36,-17.769166946411133,-17.372276306152344,-3.1695187091827393
37,-17.29778289794922,-17.575410842895508,-3.117183208465576
38,-17.099458694458008,-17.17840576171875,-3.35024094581604
39,-17.570985794067383,-16.975019454956055,-3.404158592224121
40,-16.13510513305664,-16.494455337524414,-2.4283411502838135
41,-16.326812744140625,-16.184711456298828,-2.060568332672119
42,-16.71040153503418,-15.888117790222168,-1.87935471534729
43,-17.183094024658203,-15.684141159057617,-1.9332568645477295
44,-16.467634201049805,-16.840116500854492,-3.3058042526245117
45,-16.186649322509766,-16.734350204467773,-2.884129285812378
46,-17.617204666137695,-15.627480506896973,-2.207024097442627
47,-16.90277099609375,-16.783416748046875,-3.580379009246826
48,-17.374296188354492,-16.58003044128418,-3.634296417236328
49,-15.93841552734375,-16.09946632385254,-2.6584789752960205
50,-16.130123138427734,-15.789724349975586,-2.290706157684326
51,-16.513713836669922,-15.493128776550293,-2.109492540359497
52,-16.986404418945312,-15.289152145385742,-2.1633949279785156
53,-16.270946502685547,-16.445127487182617,-3.535942316055298
54,-15.989960670471191,-16.3393611907959,-3.114267110824585
55,-17.420516967773438,-15.232491493225098,-2.437161922454834
56,-16.70608139038086,-16.388427734375,-3.810516834259033
57,-17.177608489990234,-16.185041427612305,-3.8644344806671143
58,-15.741726875305176,-15.70447826385498,-2.8886170387268066
59,-15.933433532714844,-15.394735336303711,-2.5208442211151123
60,-16.31702423095703,-15.098139762878418,-2.339630603790283
61,-16.789716720581055,-14.894163131713867,-2.3935327529907227
62,-16.074256896972656,-16.050138473510742,-3.766080141067505
63,-15.793272018432617,-15.944372177124023,-3.344405174255371
64,-17.223827362060547,-14.837502479553223,-2.66729998588562
65,-16.5093936920166,-15.993439674377441,-4.040655136108398
66,-16.980918884277344,-15.79005241394043,-4.0945725440979
67,-15.545038223266602,-15.309489250183105,-3.1187548637390137
68,-15.73674488067627,-14.999746322631836,-2.7509820461273193
69,-16.12033462524414,-14.703150749206543,-2.5697684288024902
70,-16.593027114868164,-14.499174118041992,-2.623670816421509
71,-15.877568244934082,-15.6551513671875,-3.996218204498291
72,-15.596583366394043,-15.549383163452148,-3.574542999267578
73,-17.02713966369629,-14.442513465881348,-2.897437810897827
74,-16.31270408630371,-15.598450660705566,-4.2707929611206055
75,-16.784231185913086,-15.395063400268555,-4.324710369110107
76,-15.348349571228027,-14.91450023651123,-3.3488929271698
77,-15.540056228637695,-14.604757308959961,-2.9811201095581055
78,-15.9236478805542,-14.308161735534668,-2.7999064922332764
79,-16.396337509155273,-14.104185104370117,-2.853808641433716
80,-15.680879592895508,-15.260162353515625,-4.226356506347656
81,-15.399894714355469,-15.154394149780273,-3.8046810626983643
82,-16.8304500579834,-14.047524452209473,-3.1275758743286133
83,-16.116016387939453,-15.203461647033691,-4.5009307861328125
84,-16.587541580200195,-15.00007438659668,-4.5548481941223145
85,-15.151660919189453,-14.519511222839355,-3.579030752182007
86,-15.343367576599121,-14.209768295288086,-3.2112579345703125
87,-15.726959228515625,-13.913172721862793,-3.0300443172454834
88,-16.199649810791016,-13.709196090698242,-3.083946704864502
89,-15.484190940856934,-14.86517333984375,-4.456494331359863
90,-15.203206062316895,-14.759405136108398,-4.03481912612915
91,-16.63376235961914,-13.652535438537598,-3.3577136993408203
92,-15.919326782226562,-14.808472633361816,-4.731069087982178
93,-16.390853881835938,-14.605085372924805,-4.7849860191345215
94,-14.954972267150879,-14.12452220916748,-3.809168815612793
95,-15.146678924560547,-13.814779281616211,-3.4413959980010986
96,-15.53027057647705,-13.518183708190918,-3.2601823806762695
97,-16.002960205078125,-13.314207077026367,-3.314084529876709
98,-15.28750228881836,-14.470184326171875,-4.68663215637207
99,-15.00651741027832,-14.364416122436523,-4.264956951141357
100,-16.43707275390625,-13.257546424865723,-3.5878517627716064
101,-15.722638130187988,-14.413483619689941,-4.961206912994385
102,-16.194164276123047,-14.21009635925293,-5.015124320983887
103,-14.758283615112305,-13.729533195495605,-4.039307117462158
104,-14.949990272521973,-13.419790267944336,-3.6715338230133057
105,-15.333581924438477,-13.123194694519043,-3.4903202056884766
106,-15.806273460388184,-12.919218063354492,-3.544222593307495
107,-15.090813636779785,-14.0751953125,-4.916769981384277
108,-14.809828758239746,-13.969427108764648,-4.4950947761535645
109,-16.240385055541992,-12.862557411193848,-3.8179895877838135
110,-15.525949478149414,-14.018494606018066,-5.191344738006592
111,-15.997476577758789,-13.815107345581055,-5.245262145996094
112,-14.56159496307373,-13.33454418182373,-4.269444942474365
113,-14.753301620483398,-13.024801254272461,-3.901671886444092
114,-15.136893272399902,-12.728205680847168,-3.7204582691192627
115,-15.60958480834961,-12.524229049682617,-3.774360418319702
116,-14.894124984741211,-13.680206298828125,-5.146908283233643
117,-14.613140106201172,-13.574438095092773,-4.7252326011657715
118,-16.0436954498291,-12.467568397521973,-4.0481276512146
119,-15.329259872436523,-13.623505592346191,-5.421482563018799
120,-15.800787925720215,-13.42011833190918,-5.475399971008301
121,-14.364906311035156,-12.939555168151855,-4.499582767486572
122,-14.556612968444824,-12.629812240600586,-4.131809711456299
123,-14.940204620361328,-12.333216667175293,-3.9505960941314697
124,-15.412896156311035,-12.129240036010742,-4.00449800491333
125,-14.697436332702637,-13.28521728515625,-5.37704610824585
126,-14.416451454162598,-13.179449081420898,-4.955370903015137
127,-15.847006797790527,-12.072579383850098,-4.278265476226807
128,-15.13257122039795,-13.228516578674316,-5.651620864868164
129,-15.60409927368164,-13.025129318237305,-5.705537796020508
130,-14.168217658996582,-12.54456615447998,-4.729720592498779
131,-14.359925270080566,-12.234823226928711,-4.361947536468506
132,-14.743515968322754,-11.938227653503418,-4.180734157562256
133,-15.216207504272461,-11.734251022338867,-4.234636306762695
134,-14.500747680664062,-12.890228271484375,-5.607183933258057
135,-14.219762802124023,-12.784460067749023,-5.185508728027344
136,-15.650318145751953,-11.677590370178223,-4.508403301239014
137,-14.935882568359375,-12.833527565002441,-5.881758689880371
138,-15.40740966796875,-12.63014030456543,-5.935676097869873
139,-13.971529006958008,-12.149577140808105,-4.9598588943481445
140,-14.163235664367676,-11.839834213256836,-4.592085361480713
141,-14.54682731628418,-11.543238639831543,-4.410871982574463
142,-15.019518852233887,-11.339262008666992,-4.464774131774902
143,-14.304059028625488,-12.4952392578125,-5.837321758270264
144,-14.02307415008545,-12.389471054077148,-5.415646553039551
145,-15.453629493713379,-11.282601356506348,-4.738541603088379
146,-14.7391939163208,-12.438538551330566,-6.111896514892578
147,-15.210721015930176,-12.235151290893555,-6.16581392288208
148,-13.774839401245117,-11.75458812713623,-5.189996719360352
149,-13.966547966003418,-11.444845199584961,-4.82222318649292
150,-14.350137710571289,-11.148249626159668,-4.64100980758667
