frame,time_s,x_mm,y_mm,z_mm,s_mm,centerline_distance_mm,region,axis_tangent_angle_deg,u1,u2,u3,ur1,ur2,ur3,v_mag_mm_s,a_mag_mm_s2,vr_mag_rad_s
0,0.0,-7.468173980712891,-3.6769180297851562,-9.550745010375977,13.814214119926389,0.5126675116782966,IN_BEND,2.855352853608484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2988599105404646e-05,0.0
1,0.00010010140249505639,-7.4681739558518245,-3.676917791056411,-9.550745050821813,13.814214122070737,0.5126672814744926,IN_BEND,2.8567088245046324,2.4861066094672424e-08,2.387287452165765e-07,-4.0445836901881194e-08,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,0.010095100872752458,474.8925982064336,1.1130123806699006
2,0.00020009747822768986,-7.4681733085761834,-3.6769141285194564,-9.550745536081934,13.814213866978887,0.5126637680237301,IN_BEND,2.875986963832372,6.721367071804707e-07,3.901265699823853e-06,-5.257059569885314e-07,3.8606223824899644e-05,-0.00036633090348914266,-0.00022210874885786325,0.07885513110446656,1407.7078828699273,8.40560049674309
3,0.00030009500915184617,-7.46816852999973,-3.6768997922281415,-9.550746122401847,13.814210399869978,0.5126502498873233,IN_BEND,2.9551844662848756,5.450713160826126e-06,1.8237557014799677e-05,-1.112025870497746e-06,0.00018664634262677282,-0.0017732027918100357,-0.0010630217147991061,0.24764727471673156,13432.976473203025,26.623105341922685
4,0.0004000964399892837,-7.468151482831672,-3.6768665900490305,-9.550747415658861,13.81419653291517,0.5126179607687873,IN_BEND,3.1578209788166713,2.2497881218441762e-05,5.143973612575792e-05,-2.4052828848653007e-06,0.0005847837892360985,-0.005336893256753683,-0.003155715763568878,0.5297315323254395,8286.705793499888,59.002699587549266
5,0.0005000102100893855,-7.468114736362622,-3.6767712332803058,-9.550780926725565,13.814175010746247,0.5125133487974786,IN_BEND,3.561584415922811,5.924435026827268e-05,0.00014679650485049933,-3.591634958866052e-05,0.0013588151196017861,-0.01231006346642971,-0.0071428800001740456,1.5722807372318897,31683.986375535627,106.11192841301639
6,0.0006000337889418006,-7.468031563214026,-3.6766122018161695,-9.550842248849222,13.8141189711222,0.5123326338922907,IN_BEND,4.275729095096133,0.0001424174988642335,0.00030582796898670495,-9.723847324494272e-05,0.002664374653249979,-0.024259580299258232,-0.013869544491171837,2.3436678795617314,37353.86497918478,171.95739066510475
7,0.0007000539335422218,-7.4678277628845535,-3.6763993341010064,-9.550927263437188,13.813954545754028,0.5120737166225979,IN_BEND,5.410302406505343,0.00034621782833710313,0.0005186956841498613,-0.00018225306121166795,0.004674974828958511,-0.04267364740371704,-0.024095386266708374,3.7711504875986797,69509.05226591301,253.79651538192294
8,0.0008001028909347951,-7.467494435724802,-3.6760964679997414,-9.551047944492893,13.813678318438045,0.511698121188238,IN_BEND,7.060363114935969,0.0006795449880883098,0.000821561785414815,-0.000302934116916731,0.007517070509493351,-0.06889025121927261,-0.03844532370567322,5.580379568114961,63013.973617497744,347.78339871895173
9,0.000900024373549968,-7.467031919863075,-3.6756874398561195,-9.551193661318393,13.813289526289028,0.5111968612932479,IN_BEND,9.28266069630717,0.001142060849815607,0.001230589929036796,-0.00044865094241686165,0.011389890685677528,-0.10387371480464935,-0.05712582916021347,7.16499878771502,120127.61119285757,450.83855020788644
10,0.0010000310139730573,-7.466559377149679,-3.6751034774351865,-9.551432423351798,13.812923923926892,0.5104986273203199,IN_BEND,12.108447064348361,0.0016146035632118583,0.0018145523499697447,-0.0006874129758216441,0.016054634004831314,-0.14826343953609467,-0.08018417656421661,8.401990186445126,68624.5948188731,555.0588555666964
11,0.001100089168176055,-7.466200724011287,-3.67435904731974,-9.551718595437706,13.812691289909848,0.5096583081387493,IN_BEND,15.536219181797097,0.001973256701603532,0.002558982465416193,-0.0009735850617289543,0.021167881786823273,-0.20219320058822632,-0.10741294920444489,8.882245191976724,73875.66881465574,656.6710020084008
12,0.0012000525603070855,-7.463524242397398,-3.6662039011716843,-9.56040056142956,13.812555958242099,0.49808249348197303,IN_BEND,18.480279200554243,0.004649738315492868,0.010714128613471985,-0.009655551053583622,0.033088941127061844,-0.2525441348552704,-0.12371112406253815,511.47609967867754,220759.4451333726,459.40527476267124
13,0.0013000078033655882,-7.452416591346264,-3.6327220238745213,-9.597039978951216,13.812098407889282,0.45045941923488114,IN_BEND,18.534299636355758,0.01575738936662674,0.044196005910634995,-0.04629496857523918,0.06570808589458466,-0.2691432535648346,-0.09566063433885574,502.95244315162176,122014.6565332462,468.1557363482959
14,0.001400029519572854,-7.441285876557231,-3.5998261645436287,-9.632698275148869,13.811363974449556,0.4045364419413916,IN_BEND,19.34298912994155,0.026888104155659676,0.07709186524152756,-0.081953264772892,0.09803450107574463,-0.2961888611316681,-0.07242924720048904,489.85329597952557,86047.51014219108,488.99814262134373
15,0.0015000409912317991,-7.4288658536970615,-3.5726028233766556,-9.66124653071165,13.80742485220136,0.367153227058643,IN_BEND,20.27537675611984,0.039308127015829086,0.10431520640850067,-0.11050152033567429,0.1282176822423935,-0.32438334822654724,-0.04772457107901573,218.37515619882774,1383981.9246773878,684.4462012624193
16,0.0016000783070921898,-7.411377586424351,-3.5778134241700172,-9.64918738603592,13.787415318310371,0.3736521384362441,IN_BEND,18.460382387495187,0.056796394288539886,0.09910460561513901,-0.09844237565994263,0.15382693707942963,-0.3098900318145752,0.009983224794268608,217.94747754510976,85060.08876391524,612.3460965580142
17,0.001700031803920865,-7.3937209993600845,-3.582504630088806,-9.637592576444149,13.767380186699047,0.37956995469074595,IN_BEND,17.660940331138924,0.07445298135280609,0.0944133996963501,-0.08684756606817245,0.18065445125102997,-0.30646249651908875,0.06237137317657471,215.0187844705931,65541.3165442235,568.0314961220168
18,0.001800043974071741,-7.37605594843626,-3.5866980254650116,-9.626448474824429,13.747470593438598,0.38494136400823153,IN_BEND,17.787046547545064,0.0921180322766304,0.09022000432014465,-0.075703464448452,0.20831944048404694,-0.3132375478744507,0.11052559316158295,210.09451783722847,102847.86447949272,552.47252675859
19,0.0019000410102307796,-7.359022952616215,-3.590453639626503,-9.615930333733559,13.728343529116364,0.3898391691272296,IN_BEND,18.745438889930817,0.10915102809667587,0.08646439015865326,-0.06518532335758209,0.2369203120470047,-0.3302686810493469,0.15477748215198517,200.17308877537945,64681.16233191777,559.4592892644557
20,0.0020000613294541836,-7.3425237983465195,-3.5940116494894028,-9.60574121773243,13.709821709688383,0.3945725031914387,IN_BEND,20.40979352864572,0.12565018236637115,0.08290638029575348,-0.05499620735645294,0.2657108008861542,-0.3573257625102997,0.19574369490146637,193.88940719392744,55906.143076143475,580.9277678877673
21,0.0021000050473958254,-7.326435402035713,-3.597301669418812,-9.595807332545519,13.691774606133343,0.39908333522754436,IN_BEND,22.664359544835637,0.14173857867717743,0.07961636036634445,-0.04506232216954231,0.29422855377197266,-0.394014835357666,0.23398542404174805,190.93104276122065,98200.27611850866,623.5622075838442
22,0.002200073329731822,-7.310667991638184,-3.6004235073924065,-9.585918858647346,13.67406227680732,0.40353291982532763,IN_BEND,25.441911007587787,0.15750598907470703,0.07649452239274979,-0.035173848271369934,0.3218468427658081,-0.4402206242084503,0.2697916328907013,185.73786896142852,322211.18570881913,674.2313939610764
23,0.002300024265423417,-7.294302821159363,-3.6037899926304817,-9.572919623926282,13.655080472962407,0.4095400624193801,IN_BEND,27.564670185638317,0.17387115955352783,0.07312803715467453,-0.022174613550305367,0.35881683230400085,-0.4750331938266754,0.30746224522590637,227.63672693980948,916144.1170990178,890.0957541387407
24,0.002400030381977558,-7.272588893771172,-3.6044606789946556,-9.566515609622002,13.632508504596816,0.40940480096187704,IN_BEND,26.216269300671176,0.19558508694171906,0.07245735079050064,-0.015770599246025085,0.42780348658561707,-0.4458644986152649,0.3523654043674469,226.4794972037796,80245.76327668969,837.7130976162356
25,0.0025000926107168198,-7.250875189900398,-3.6050755828619003,-9.56001778319478,13.609920694066478,0.4092720127221459,IN_BEND,25.52281652693307,0.21729879081249237,0.07184244692325592,-0.009272772818803787,0.49750247597694397,-0.42819076776504517,0.39365798234939575,226.69286219990272,106402.52014122173,804.0854395649679
26,0.0026000654324889183,-7.229235723614693,-3.605776309967041,-9.553434852976352,13.587380518051223,0.4092751090923667,IN_BEND,25.437778570453315,0.23893825709819794,0.07114171981811523,-0.002689842600375414,0.5673945546150208,-0.42222294211387634,0.432675838470459,226.02861314273315,116546.96831620001,790.185200305121
27,0.0027000736445188522,-7.207669645547867,-3.60649836063385,-9.546868841163814,13.564913869231962,0.4093111134427234,IN_BEND,25.91231683029946,0.2605043351650238,0.07041966915130615,0.0038761692121624947,0.6367557048797607,-0.4277481138706207,0.4706094563007355,225.4865654708235,410606.37472755904,790.3589307837265
28,0.0028000748716294765,-7.186072617769241,-3.607312209904194,-9.540190313011408,13.542386086206257,0.40948392137278056,IN_BEND,26.908565749050958,0.2821013629436493,0.06960581988096237,0.01055469736456871,0.7049075961112976,-0.4444750249385834,0.5083411931991577,226.41745124245662,241170.31058310103,798.9907770722392
29,0.0029000432696193457,-7.164553314447403,-3.6079010665416718,-9.534292366355658,13.52011857238826,0.4091166938205689,IN_BEND,28.33039527741362,0.30362066626548767,0.0690169632434845,0.016452644020318985,0.7711933255195618,-0.47022849321365356,0.5467849969863892,256.64652407095565,14014891.016213436,836.460209692542
