frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element
0,0.0,0.26938533088521566,119,450,0.2743660911082972,118,438
1,0.00010010140249505639,0.26935960902062556,119,450,0.27434686369362665,118,438
2,0.0002000974927796051,0.26899508276499573,119,450,0.2740744440053834,118,438
3,0.0003000949218403548,0.267509646835948,119,450,0.2729651892314123,118,438
4,0.00040009189979173243,0.26378297877101614,119,450,0.2701919040506791,118,438
5,0.0005000107339583337,0.2566601323891301,119,450,0.26293943819639976,119,450
6,0.0006000451394356787,0.24459912164920156,119,450,0.2502930756701514,119,450
7,0.0007000503828749061,0.2262275779958157,119,450,0.23108462603939184,119,450
8,0.0008000911329872906,0.20049002630469764,119,450,0.20430698631479233,119,450
9,0.0009000228601507843,0.15383987035186142,130,429,0.16962138043293476,119,450
10,0.0010000327602028847,0.1011921939725941,130,429,0.12732987652602565,119,450
11,0.0011000962695106864,0.039695005539646,130,429,0.05798376111075019,130,429
12,0.001200039405375719,0.010975713777911705,130,429,0.015630656684307517,130,429
13,0.0013001045444980264,0.06530665926530241,130,429,0.06545974867252564,141,429
14,0.0014000082155689597,0.05833338207049448,74,388,0.07191923589641833,75,400
15,0.0015000303974375129,-0.005404879644314475,74,400,0.05845598409568948,75,400
16,0.0016000495525076985,0.04737771441770927,7,389,0.07218394872063734,74,388
17,0.0017000172520056367,0.07026741784840831,7,389,0.08808252808171656,7,389
18,0.0018000153359025717,0.08245450828062545,7,389,0.10229296971187002,7,389
19,0.0019000467145815492,0.0842652539045972,7,389,0.10967664262314109,2,401
20,0.002000015927478671,0.07666906152053216,7,389,0.10543518123585408,2,401
21,0.0021000048145651817,0.048810928526580116,7,401,0.08974795723233145,5,442
22,0.0022001047618687153,0.022880762559904975,7,401,0.0406534896871228,7,401
23,0.0023000272922217846,-0.0011507603767351932,7,401,0.0018358237159166713,7,401
24,0.0024000739213079214,0.006923818010424979,7,401,0.008054075638420337,7,401
25,0.002500025322660804,-7.867680351700268e-06,58,404,0.009847294356796753,7,401
26,0.0026000142097473145,0.008065152596087505,58,404,0.03038274686358328,7,401
27,0.0027000093832612038,0.01502824532845727,56,401,0.04263290828361006,9,404
28,0.0028000064194202423,0.004842564441875308,56,401,0.04459244345978731,7,401
29,0.002900015329942107,0.004530983549161444,56,401,0.03441866058185623,58,401
30,0.003000021679326892,0.010531349130052109,56,401,0.030276774360261834,58,404
31,0.0031000941526144743,0.008498255554632851,57,401,0.04523088071389077,58,401
32,0.003200103994458914,-0.0002775165216517433,57,401,0.015511411893783812,56,413
33,0.003300040028989315,-0.002223195218421779,54,442,0.018975505178245203,58,413
34,0.003400065004825592,0.01988858472582318,58,401,0.030432755097548357,58,401
35,0.0035000403877347708,0.01915833027684702,58,401,0.04535268148979638,58,401
36,0.003600055817514658,0.011173159482032843,58,401,0.04072535479109879,57,401
37,0.0037000372540205717,0.011721682848121463,58,401,0.023784342253348547,57,401
38,0.003800043137744069,0.011005928220348257,58,413,0.028249316468210613,60,401
39,0.0039000865072011948,0.009375982519772324,58,413,0.04129257695695642,61,413
40,0.004000056069344282,-2.9970002414624747e-06,58,413,0.01915349070501235,61,413
41,0.004100057762116194,0.005828396910406819,58,413,0.015199630198822298,61,413
42,0.004200067836791277,0.0088580372189031,60,413,0.015351332695821599,61,413
43,0.004300100728869438,0.007131558089719022,60,413,0.01019629603225211,61,413
44,0.004400007892400026,-0.00013613377608174214,61,413,0.010265452114503243,61,413
45,0.004500058479607105,0.005236505781449248,61,413,0.015168504060418612,61,413
46,0.004600043874233961,0.0012664751486366217,61,413,0.02737654846714176,61,413
47,0.004700100980699062,0.0022930729181811285,61,413,0.04268009867467219,53,454
48,0.004800090566277504,0.0012998967712374463,61,413,0.02124575461932227,53,454
49,0.004900049883872271,-0.0008818705579598739,53,454,0.0016991218116475504,53,454
50,0.0050000534392893314,0.005031235671313759,61,413,0.006922964228241886,62,413
51,0.005100024864077568,-0.0011921804590765924,62,413,0.011107855771484553,61,413
52,0.00520009221509099,0.004567812070184004,62,413,0.01848452406349697,60,413
53,0.005300050601363182,0.0007752262417433436,62,413,0.019454951875128117,57,412
54,0.0054000066593289375,0.0041715467086226475,62,413,0.025310830545563046,52,454
55,0.0055000088177621365,0.003021662513164306,62,413,0.007598707714574383,62,413
56,0.005600056145340204,0.004059884182199954,62,413,0.023143674443049447,62,413
57,0.005700059700757265,0.00440107808016678,62,413,0.02457967260221299,60,424
58,0.005800067447125912,0.006619129987197355,62,413,0.025418735156379706,57,424
59,0.005900000222027302,-0.0008269572004163126,53,454,0.024828151174187,64,413
60,0.00600000936537981,0.006857683029849656,52,466,0.013860857420087361,52,466
61,0.006100025959312916,-0.0006509885901905994,62,425,0.012690995692039743,63,425
62,0.006200048141181469,-0.0004724153785202476,52,466,0.04031168980056346,63,425
63,0.006300090812146664,-0.0006653312126966848,62,425,0.023583060600363744,65,425
64,0.006400052458047867,-0.0010377249982559261,62,425,0.01755378957537791,61,425
65,0.006500068120658398,-0.0009422736071162672,62,425,0.017027825820041177,62,425
66,0.0066000474616885185,-0.0009934427202524278,62,425,0.017698941053945295,64,425
67,0.0067000132985413074,-0.00015888555462111736,62,425,0.029910704850768046,63,425
68,0.006800047121942043,-0.0010757457558776117,62,425,0.003930802303854538,63,437
69,0.006900073494762182,0.0022602454919603034,63,425,0.023941114243672224,63,425
70,0.007000016048550606,0.004312799672074475,63,425,0.026458049482959406,50,467
71,0.007100027520209551,-0.0006531696343488238,63,437,0.0065887462819981145,51,467
72,0.007200097199529409,-0.0007494137392546614,63,437,0.0235115556150346,65,425
73,0.007300031371414661,-0.0008511911998572481,63,437,0.002214220603643542,63,437
74,0.007400065194815397,-0.001028266618012863,63,437,0.01524466766962106,65,437
75,0.007500050123780966,0.005281162466583908,66,440,0.02927109161941907,15,428
76,0.0076000867411494255,0.003795749781151256,65,440,0.016549179472073888,4,479
77,0.0077000148594379425,0.0074472064222961655,14,440,0.012959201393410847,4,479
78,0.007800059858709574,0.002929626756639139,4,479,0.012916410458952914,4,479
79,0.007900097407400608,-0.0005093539839453618,14,440,0.0031190877163974466,14,440
80,0.008000039495527744,-0.0006704481795853515,14,440,0.01802709916000739,14,440
81,0.008100101724267006,-0.0008327092258505909,14,440,0.03425101335361437,13,440
82,0.008200032636523247,-0.0009501464179107431,4,479,0.018407929815631816,66,440
83,0.008300088346004486,-0.001189354442882165,14,440,0.013719942350274726,66,440
84,0.008333000354468822,-0.0004933093650296601,14,440,0.01818945757407407,66,440
