case,time_ms,CPRESS_MPa,instance,node,x_mm,y_mm,z_mm
G6_L45,1.3000426115468,0.4501559138298034,ROBOT_SOLID-1,57,-8.532015413045883,-3.5178963989019394,-10.430014044046402
G6_L45,1.5000704443082,0.2813631594181061,ROBOT_SOLID-1,60,-8.547157660126686,-3.530145943164825,-10.466550290584564
G6_L45,2.6000451762229,0.161019816994667,ROBOT_SOLID-1,129,-6.454223573207855,-3.972864344716072,-8.985787488520145
G6_L45,2.2000833414493997,0.1340675055980682,ROBOT_SOLID-1,138,-7.049900572746992,-3.9088302451418713,-9.045969484373927
G6_L45,2.900016028434,0.101051926612854,ROBOT_SOLID-1,63,-8.037321150302887,-3.931291043758392,-10.501227915287018
G6_L45,1.9000484608113,0.0879325717687606,ROBOT_SOLID-1,60,-8.44794887304306,-3.724761191755533,-10.450416445732117
G6_L45,2.1000010892748,0.0869006291031837,ROBOT_SOLID-1,186,-7.141570068895817,-3.2224268913269043,-9.61369164288044
G6_L45,1.1000139638781,0.0492751076817512,ROBOT_SOLID-1,34,-6.213040351867676,-4.226640462875366,-9.216161131858826
Local_G6_L3p75,1.5000303974375,13.97852897644043,ROBOT_SOLID-1,74,-8.396818786859512,-3.0827434211969376,-10.514900714159012
Local_G6_L3p75,3.3000400289893,6.210136413574219,ROBOT_SOLID-1,54,-6.288288652896881,-3.692305654287338,-8.400380671024323
Local_G6_L3p75,8.2000326365232,3.554581880569458,ROBOT_SOLID-1,4,-4.8706134557724,-3.4343453645706177,-8.092469811439514
Local_G6_L3p75,5.1000248640775006,2.71010971069336,ROBOT_SOLID-1,61,-7.274438858032227,-3.195356726646424,-10.537503600120544
Local_G6_L3p75,5.3000506013630995,1.6094882488250732,ROBOT_SOLID-1,61,-7.202030777931213,-3.1739882826805115,-10.520930767059326
Local_G6_L3p75,5.800067447125899,0.9717736840248108,ROBOT_SOLID-1,62,-7.191213726997376,-3.195831775665283,-10.523260235786438
Local_G6_L3p75,7.100027520209499,0.770878255367279,ROBOT_SOLID-1,51,-5.212253153324127,-3.5275525227189064,-8.1329927444458
Local_G6_L3p75,6.1000259593129,0.7274395823478699,ROBOT_SOLID-1,62,-7.088653802871704,-3.2013338208198547,-10.507185578346252
